epoch,step,train_loss,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_loss
0,9,0.31894364953041077,,,,,,
0,19,0.1580287367105484,,,,,,
0,29,0.21692076325416565,,,,,,
0,39,0.15339253842830658,,,,,,
0,49,0.233786478638649,,,,,,
0,59,0.17312844097614288,,,,,,
0,69,0.2369459867477417,,,,,,
0,79,0.2325131893157959,,,,,,
0,89,0.1834321916103363,,,,,,
0,99,0.2430352121591568,,,,,,
0,99,,0.22083333134651184,0.6154215335845947,0.5223900079727173,0.10650478303432465,0.8677388429641724,
1,109,0.1029224768280983,,,,,,
1,119,0.15469969809055328,,,,,,
1,129,0.1713118702173233,,,,,,
1,139,0.10263178497552872,,,,,,
1,149,0.10299674421548843,,,,,,
1,159,0.09154754132032394,,,,,,
1,169,0.15152713656425476,,,,,,
1,179,0.12015964835882187,,,,,,
1,189,0.6138222813606262,,,,,,
1,199,0.0797220766544342,,,,,,
1,199,,0.23749999701976776,0.6680888533592224,0.5921618938446045,0.09393540769815445,0.8877169489860535,
2,209,0.05941465497016907,,,,,,
2,219,0.09821359813213348,,,,,,
2,229,0.12250310927629471,,,,,,
2,239,0.06480547785758972,,,,,,
2,249,0.07235734909772873,,,,,,
2,259,0.053158409893512726,,,,,,
2,269,0.08448094874620438,,,,,,
2,279,0.07367434352636337,,,,,,
2,289,0.1211521103978157,,,,,,
2,299,0.02970469929277897,,,,,,
2,299,,0.26249998807907104,0.6942326426506042,0.61845463514328,0.0915917232632637,0.89467453956604,
3,309,0.033465322107076645,,,,,,
3,319,0.05827493965625763,,,,,,
3,329,0.07861898839473724,,,,,,
3,339,0.03936200588941574,,,,,,
3,349,0.04814045503735542,,,,,,
3,359,0.0330759659409523,,,,,,
3,369,0.05281255766749382,,,,,,
3,379,0.049236420542001724,,,,,,
3,389,0.055204059928655624,,,,,,
3,399,0.013186505995690823,,,,,,
3,399,,0.26249998807907104,0.7016546726226807,0.6257455945014954,0.09538844972848892,0.8975395560264587,
4,409,0.020945116877555847,,,,,,
4,419,0.027704410254955292,,,,,,
4,429,0.04498954862356186,,,,,,
4,439,0.02438570000231266,,,,,,
4,449,0.026943353936076164,,,,,,
4,459,0.016739120706915855,,,,,,
4,469,0.03120865672826767,,,,,,
4,479,0.03066176176071167,,,,,,
4,489,0.03796881437301636,,,,,,
4,499,0.006680469494313002,,,,,,
4,499,,0.2874999940395355,0.7137666344642639,0.6482205986976624,0.10467442125082016,0.9029529094696045,
5,500,,,,,,,0.10467442125082016
