step,train_loss,epoch,val_qa_sas,val_qa_em,val_qa_bert_score,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score
9,1.2933152914047241,0,,,,,,,,,,
19,1.0052767992019653,0,,,,,,,,,,
29,0.5693821907043457,0,,,,,,,,,,
39,2.9881672859191895,0,,,,,,,,,,
49,1.5035169124603271,0,,,,,,,,,,
54,,0,0.5307173132896423,0.1111111119389534,0.8399114608764648,0.3961426913738251,1.108410358428955,,,,,
59,0.3304119110107422,1,,,,,,,,,,
69,1.2208971977233887,1,,,,,,,,,,
79,2.9462227821350098,1,,,,,,,,,,
89,0.9024232625961304,1,,,,,,,,,,
99,1.2080916166305542,1,,,,,,,,,,
109,0.6068605780601501,1,,,,,,,,,,
109,,1,0.5502485632896423,0.1419753134250641,0.8526691794395447,0.4358120560646057,1.0715123414993286,,,,,
119,1.5632851123809814,2,,,,,,,,,,
129,0.7225521206855774,2,,,,,,,,,,
139,1.2544641494750977,2,,,,,,,,,,
149,1.2145638465881348,2,,,,,,,,,,
159,0.9213215708732605,2,,,,,,,,,,
164,,2,0.5543546080589294,0.16049382090568542,0.8569381833076477,0.4520401060581207,1.0463249683380127,,,,,
169,1.3324517011642456,3,,,,,,,,,,
179,1.0766509771347046,3,,,,,,,,,,
189,0.9146726131439209,3,,,,,,,,,,
199,0.6580381989479065,3,,,,,,,,,,
209,1.553082823753357,3,,,,,,,,,,
219,1.2051308155059814,3,,,,,,,,,,
219,,3,0.5673606395721436,0.14814814925193787,0.8526758551597595,0.44807058572769165,1.0314193964004517,,,,,
229,1.7066421508789062,4,,,,,,,,,,
239,0.6124381422996521,4,,,,,,,,,,
249,0.9837769269943237,4,,,,,,,,,,
259,0.8712823987007141,4,,,,,,,,,,
269,1.2563068866729736,4,,,,,,,,,,
274,,4,0.5602805614471436,0.14814814925193787,0.8545919060707092,0.44717010855674744,1.020471453666687,,,,,
275,,5,,,,,,0.14814814925193787,0.5602805614471436,0.44717010855674744,1.020471453666687,0.8545919060707092
