step,epoch,train_loss,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_qa_em,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss
9,0,0.9472259283065796,,,,,,,,,,
19,0,2.870514154434204,,,,,,,,,,
29,0,1.3833484649658203,,,,,,,,,,
39,0,1.0481590032577515,,,,,,,,,,
49,0,1.4260432720184326,,,,,,,,,,
49,0,,1.4568990468978882,0.45728352665901184,0.3767171800136566,0.8276174068450928,0.1458333283662796,,,,,
59,1,0.5457297563552856,,,,,,,,,,
69,1,0.8427693843841553,,,,,,,,,,
79,1,1.755758285522461,,,,,,,,,,
89,1,0.7906702160835266,,,,,,,,,,
99,1,0.5944611430168152,,,,,,,,,,
99,1,,1.3875335454940796,0.46733397245407104,0.370857298374176,0.8273388147354126,0.10833333432674408,,,,,
109,2,0.4169791638851166,,,,,,,,,,
119,2,0.8003507852554321,,,,,,,,,,
129,2,0.27044087648391724,,,,,,,,,,
139,2,1.6331497430801392,,,,,,,,,,
149,2,1.0673390626907349,,,,,,,,,,
149,2,,1.3504140377044678,0.48145344853401184,0.3851092755794525,0.8313360810279846,0.10833333432674408,,,,,
159,3,0.8028383851051331,,,,,,,,,,
169,3,0.5836790800094604,,,,,,,,,,
179,3,0.8769095540046692,,,,,,,,,,
189,3,0.9965478181838989,,,,,,,,,,
199,3,0.5375658869743347,,,,,,,,,,
199,3,,1.3309953212738037,0.49453938007354736,0.39657777547836304,0.8337324857711792,0.1041666641831398,,,,,
209,4,1.1281702518463135,,,,,,,,,,
219,4,0.552960991859436,,,,,,,,,,
229,4,0.6971632242202759,,,,,,,,,,
239,4,0.9449100494384766,,,,,,,,,,
249,4,0.6156752705574036,,,,,,,,,,
249,4,,1.3194559812545776,0.48666179180145264,0.3982637822628021,0.8353801965713501,0.11666666716337204,,,,,
250,5,,,,,,,0.8353801965713501,0.11666666716337204,0.48666179180145264,0.3982637822628021,1.3194559812545776
