epoch,step,train_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,9,0.3588627278804779,,,,,,,,,,
0,19,0.28896021842956543,,,,,,,,,,
0,29,0.22238898277282715,,,,,,,,,,
0,39,0.1364111304283142,,,,,,,,,,
0,49,0.14121776819229126,,,,,,,,,,
0,59,0.16172488033771515,,,,,,,,,,
0,69,0.14400915801525116,,,,,,,,,,
0,79,0.1312759965658188,,,,,,,,,,
0,89,0.13152596354484558,,,,,,,,,,
0,94,,0.5910511612892151,0.6241826415061951,0.9057195782661438,0.08028090745210648,0.5429362654685974,,,,,
1,99,0.07509779930114746,,,,,,,,,,
1,109,0.0687294527888298,,,,,,,,,,
1,119,0.08446600288152695,,,,,,,,,,
1,129,0.08569571375846863,,,,,,,,,,
1,139,0.11916280537843704,,,,,,,,,,
1,149,0.10230803489685059,,,,,,,,,,
1,159,0.0580270029604435,,,,,,,,,,
1,169,0.11390382051467896,,,,,,,,,,
1,179,0.13339371979236603,,,,,,,,,,
1,189,0.15667466819286346,,,,,,,,,,
1,189,,0.6438915133476257,0.66159987449646,0.9171893000602722,0.0748782679438591,0.6038781404495239,,,,,
2,199,0.10045111924409866,,,,,,,,,,
2,209,0.0966966524720192,,,,,,,,,,
2,219,0.10387421399354935,,,,,,,,,,
2,229,0.1556018888950348,,,,,,,,,,
2,239,0.08444077521562576,,,,,,,,,,
2,249,0.05556432157754898,,,,,,,,,,
2,259,0.10843880474567413,,,,,,,,,,
2,269,0.10273706167936325,,,,,,,,,,
2,279,0.16457638144493103,,,,,,,,,,
2,284,,0.6513409614562988,0.67406165599823,0.9187179207801819,0.07515019923448563,0.6121883392333984,,,,,
3,289,0.05995997413992882,,,,,,,,,,
3,299,0.062414295971393585,,,,,,,,,,
3,309,0.09393525123596191,,,,,,,,,,
3,319,0.09154490381479263,,,,,,,,,,
3,329,0.12147530913352966,,,,,,,,,,
3,339,0.10073985159397125,,,,,,,,,,
3,349,0.09511067718267441,,,,,,,,,,
3,359,0.10163278877735138,,,,,,,,,,
3,369,0.07647360861301422,,,,,,,,,,
3,379,0.07887106388807297,,,,,,,,,,
3,379,,0.6655153036117554,0.684209406375885,0.9219555854797363,0.07300587743520737,0.6315789222717285,,,,,
4,389,0.075166717171669,,,,,,,,,,
4,399,0.051609691232442856,,,,,,,,,,
4,409,0.06556891649961472,,,,,,,,,,
4,419,0.08007017523050308,,,,,,,,,,
4,429,0.06413763761520386,,,,,,,,,,
4,439,0.07136973738670349,,,,,,,,,,
4,449,0.07720518112182617,,,,,,,,,,
4,459,0.09754163026809692,,,,,,,,,,
4,469,0.10003886371850967,,,,,,,,,,
4,474,,0.6863083839416504,0.6999193429946899,0.9268947839736938,0.06950419396162033,0.6537396311759949,,,,,
5,475,,,,,,,0.6537396311759949,0.9268947839736938,0.6863083839416504,0.6999193429946899,0.06950419396162033
