step,epoch,train_loss,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
9,0,2.579230308532715,,,,,,,,,,
19,0,1.351049542427063,,,,,,,,,,
29,0,1.847827672958374,,,,,,,,,,
39,0,1.7826626300811768,,,,,,,,,,
49,0,1.6557953357696533,,,,,,,,,,
53,0,,0.3274903893470764,0.3706868588924408,1.640576720237732,0.1945945918560028,0.7833027243614197,,,,,
59,1,1.4688087701797485,,,,,,,,,,
69,1,1.3480418920516968,,,,,,,,,,
79,1,2.0308656692504883,,,,,,,,,,
89,1,2.0258431434631348,,,,,,,,,,
99,1,1.453948974609375,,,,,,,,,,
107,1,,0.40590932965278625,0.4468587338924408,1.3583980798721313,0.2702702581882477,0.8186598420143127,,,,,
109,2,1.7186230421066284,,,,,,,,,,
119,2,1.4235635995864868,,,,,,,,,,
129,2,1.0862444639205933,,,,,,,,,,
139,2,7.057220935821533,,,,,,,,,,
149,2,1.1351943016052246,,,,,,,,,,
159,2,1.0297150611877441,,,,,,,,,,
161,2,,0.5141191482543945,0.5636799931526184,1.1944128274917603,0.36216217279434204,0.850731372833252,,,,,
169,3,1.040218472480774,,,,,,,,,,
179,3,4.068171977996826,,,,,,,,,,
189,3,1.2677644491195679,,,,,,,,,,
199,3,1.2377784252166748,,,,,,,,,,
209,3,1.4083354473114014,,,,,,,,,,
215,3,,0.5347349643707275,0.5812785029411316,1.1249192953109741,0.37837839126586914,0.8594030737876892,,,,,
219,4,0.46936479210853577,,,,,,,,,,
229,4,1.034216046333313,,,,,,,,,,
239,4,1.2063112258911133,,,,,,,,,,
249,4,0.8001846671104431,,,,,,,,,,
259,4,2.984264373779297,,,,,,,,,,
269,4,0.9195287823677063,,,,,,,,,,
269,4,,0.545030951499939,0.58685302734375,1.0721479654312134,0.3891891837120056,0.8635953068733215,,,,,
270,5,,,,,,,0.8635953068733215,0.545030951499939,0.58685302734375,1.0721479654312134,0.3891891837120056
