train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,test_loss
0.6789638996124268,9,0,,,,,,
0.5847586393356323,19,0,,,,,,
0.2165130078792572,29,0,,,,,,
0.6590597033500671,39,0,,,,,,
0.5002977252006531,49,0,,,,,,
0.33907508850097656,59,0,,,,,,
0.34424909949302673,69,0,,,,,,
0.26401495933532715,79,0,,,,,,
1.0577243566513062,89,0,,,,,,
,97,0,0.5967873930931091,0.15906722843647003,0.8794969320297241,0.6285762786865234,0.42583730816841125,
0.4328722059726715,99,1,,,,,,
0.6322434544563293,109,1,,,,,,
0.3437592387199402,119,1,,,,,,
0.5265858173370361,129,1,,,,,,
0.37189191579818726,139,1,,,,,,
0.5060701966285706,149,1,,,,,,
0.37423208355903625,159,1,,,,,,
0.5166299343109131,169,1,,,,,,
0.19398899376392365,179,1,,,,,,
0.6632272601127625,189,1,,,,,,
,195,1,0.6262019276618958,0.1372855007648468,0.8907707333564758,0.64997798204422,0.4928229749202728,
1.2264416217803955,199,2,,,,,,
0.15932397544384003,209,2,,,,,,
0.2516413629055023,219,2,,,,,,
0.11006069928407669,229,2,,,,,,
0.3034426271915436,239,2,,,,,,
0.06296775490045547,249,2,,,,,,
0.23247818648815155,259,2,,,,,,
0.16771309077739716,269,2,,,,,,
0.22615912556648254,279,2,,,,,,
0.13943473994731903,289,2,,,,,,
,293,2,0.6328505277633667,0.13418026268482208,0.8895623683929443,0.6572398543357849,0.5215311050415039,
0.12891048192977905,299,3,,,,,,
0.1486627459526062,309,3,,,,,,
0.21716658771038055,319,3,,,,,,
0.1474587321281433,329,3,,,,,,
0.1206679418683052,339,3,,,,,,
0.15916360914707184,349,3,,,,,,
0.06417273730039597,359,3,,,,,,
0.14817702770233154,369,3,,,,,,
0.08288087695837021,379,3,,,,,,
0.078431636095047,389,3,,,,,,
,391,3,0.6467057466506958,0.13968932628631592,0.8945146203041077,0.6692278385162354,0.5311004519462585,
0.11611741781234741,399,4,,,,,,
0.03468949720263481,409,4,,,,,,
0.1746356338262558,419,4,,,,,,
0.4020952880382538,429,4,,,,,,
0.18507950007915497,439,4,,,,,,
0.13337822258472443,449,4,,,,,,
0.22852928936481476,459,4,,,,,,
0.08090916275978088,469,4,,,,,,
0.10414418578147888,479,4,,,,,,
2.959747314453125,489,4,,,,,,
,489,4,0.6329212188720703,0.15094996988773346,0.8900402188301086,0.6592493653297424,0.5215311050415039,
,490,5,,,,,,0.13968932628631592
