train_loss,epoch,step,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,test_loss
0.9325544834136963,0,9,,,,,,
0.36453133821487427,0,19,,,,,,
0.9622955322265625,0,29,,,,,,
1.1754534244537354,0,39,,,,,,
1.059236764907837,0,49,,,,,,
2.2502899169921875,0,59,,,,,,
13.19915771484375,0,69,,,,,,
0.27651867270469666,0,79,,,,,,
0.5317257046699524,0,89,,,,,,
,0,96,0.3918474614620209,0.8246451020240784,0.21266968548297882,0.4526914656162262,0.15381848812103271,
0.311504065990448,1,99,,,,,,
0.44459545612335205,1,109,,,,,,
0.4285399913787842,1,119,,,,,,
0.3475685715675354,1,129,,,,,,
0.35166746377944946,1,139,,,,,,
0.14532138407230377,1,149,,,,,,
0.6703755855560303,1,159,,,,,,
0.22787463665008545,1,169,,,,,,
0.1785954236984253,1,179,,,,,,
0.8946102261543274,1,189,,,,,,
,1,193,0.49683722853660583,0.8529911041259766,0.3257918655872345,0.5458335876464844,0.12225281447172165,
0.6582072377204895,2,199,,,,,,
0.21975766122341156,2,209,,,,,,
0.5387048721313477,2,219,,,,,,
0.21492701768875122,2,229,,,,,,
0.5487019419670105,2,239,,,,,,
0.12351211905479431,2,249,,,,,,
0.21915975213050842,2,259,,,,,,
0.38882210850715637,2,269,,,,,,
0.33751633763313293,2,279,,,,,,
0.529845118522644,2,289,,,,,,
,2,290,0.5013861060142517,0.8532595038414001,0.3529411852359772,0.549593985080719,0.11110959947109222,
0.3634750247001648,3,299,,,,,,
0.100398488342762,3,309,,,,,,
0.1017545759677887,3,319,,,,,,
0.0712856873869896,3,329,,,,,,
0.06575378030538559,3,339,,,,,,
0.307666152715683,3,349,,,,,,
0.45018213987350464,3,359,,,,,,
0.13530080020427704,3,369,,,,,,
0.060351889580488205,3,379,,,,,,
,3,387,0.507268488407135,0.8554806709289551,0.3891402781009674,0.548153281211853,0.1134205311536789,
0.12310277670621872,4,389,,,,,,
0.08134576678276062,4,399,,,,,,
0.08383148163557053,4,409,,,,,,
0.047211505472660065,4,419,,,,,,
0.03081737644970417,4,429,,,,,,
0.08337213844060898,4,439,,,,,,
0.03594611957669258,4,449,,,,,,
0.036313723772764206,4,459,,,,,,
0.155141681432724,4,469,,,,,,
0.018026158213615417,4,479,,,,,,
,4,484,0.5182790756225586,0.8570169806480408,0.3891402781009674,0.558144748210907,0.1215580403804779,
,5,485,,,,,,0.1215580403804779
