step,epoch,train_loss,val_qa_em,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,test_avg_qa_em,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas
9,0,0.9033087491989136,,,,,,,,,,
19,0,1.6258946657180786,,,,,,,,,,
29,0,0.9547114372253418,,,,,,,,,,
39,0,0.9595931768417358,,,,,,,,,,
49,0,0.67559814453125,,,,,,,,,,
59,0,2.47696852684021,,,,,,,,,,
69,0,0.6997199058532715,,,,,,,,,,
79,0,1.2762911319732666,,,,,,,,,,
89,0,1.8242679834365845,,,,,,,,,,
99,0,2.4964921474456787,,,,,,,,,,
108,0,,0.18731988966464996,1.1259779930114746,0.8345306515693665,0.4430604875087738,0.5220392346382141,,,,,
109,1,1.696114420890808,,,,,,,,,,
119,1,0.468643456697464,,,,,,,,,,
129,1,0.5560919046401978,,,,,,,,,,
139,1,1.1262332201004028,,,,,,,,,,
149,1,1.3987653255462646,,,,,,,,,,
159,1,0.9067317247390747,,,,,,,,,,
169,1,1.1287612915039062,,,,,,,,,,
179,1,0.8193728923797607,,,,,,,,,,
189,1,0.7919711470603943,,,,,,,,,,
199,1,0.6840260028839111,,,,,,,,,,
209,1,1.5599106550216675,,,,,,,,,,
217,1,,0.24783861637115479,1.041394591331482,0.8470410704612732,0.4803012013435364,0.5517522692680359,,,,,
219,2,1.1468931436538696,,,,,,,,,,
229,2,1.0196583271026611,,,,,,,,,,
239,2,0.9494220018386841,,,,,,,,,,
249,2,1.2183597087860107,,,,,,,,,,
259,2,0.8731698393821716,,,,,,,,,,
269,2,1.1588222980499268,,,,,,,,,,
279,2,1.3237849473953247,,,,,,,,,,
289,2,1.330363154411316,,,,,,,,,,
299,2,0.47421500086784363,,,,,,,,,,
309,2,0.7143850922584534,,,,,,,,,,
319,2,1.1877057552337646,,,,,,,,,,
326,2,,0.26224783062934875,1.0187543630599976,0.8504257202148438,0.4862903654575348,0.5593650341033936,,,,,
329,3,1.0857867002487183,,,,,,,,,,
339,3,1.6789045333862305,,,,,,,,,,
349,3,1.0842338800430298,,,,,,,,,,
359,3,1.0685821771621704,,,,,,,,,,
369,3,0.8462820053100586,,,,,,,,,,
379,3,0.5506670475006104,,,,,,,,,,
389,3,1.1283683776855469,,,,,,,,,,
399,3,1.043707251548767,,,,,,,,,,
409,3,0.8480649590492249,,,,,,,,,,
419,3,0.45206037163734436,,,,,,,,,,
429,3,1.0530519485473633,,,,,,,,,,
435,3,,0.2708933651447296,1.0010768175125122,0.8580513596534729,0.4999196529388428,0.5703458189964294,,,,,
439,4,1.0817352533340454,,,,,,,,,,
449,4,0.6021589040756226,,,,,,,,,,
459,4,1.6139334440231323,,,,,,,,,,
469,4,1.9434943199157715,,,,,,,,,,
479,4,0.535853385925293,,,,,,,,,,
489,4,0.6388212442398071,,,,,,,,,,
499,4,1.0709388256072998,,,,,,,,,,
509,4,1.6135342121124268,,,,,,,,,,
519,4,1.2832804918289185,,,,,,,,,,
529,4,0.4355952739715576,,,,,,,,,,
539,4,0.36872589588165283,,,,,,,,,,
544,4,,0.2766570746898651,0.9918929934501648,0.8612146377563477,0.5106455087661743,0.5810768604278564,,,,,
545,5,,,,,,,0.2766570746898651,0.8612146377563477,0.9918929934501648,0.5106455087661743,0.5810768604278564
