epoch,step,train_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,test_loss
0,9,0.6758783459663391,,,,,,
0,19,0.539997935295105,,,,,,
0,29,0.27358853816986084,,,,,,
0,39,0.5878483057022095,,,,,,
0,49,0.5520672798156738,,,,,,
0,59,0.28291085362434387,,,,,,
0,69,0.2630070745944977,,,,,,
0,79,0.255224347114563,,,,,,
0,89,1.1009294986724854,,,,,,
0,97,,0.8636106252670288,0.5305417776107788,0.3779904246330261,0.5725900530815125,0.1763184815645218,
1,99,0.47135138511657715,,,,,,
1,109,0.7845473289489746,,,,,,
1,119,0.3444023132324219,,,,,,
1,129,0.6643818616867065,,,,,,
1,139,0.42695459723472595,,,,,,
1,149,0.4884793758392334,,,,,,
1,159,0.4038175940513611,,,,,,
1,169,0.5888703465461731,,,,,,
1,179,0.19461382925510406,,,,,,
1,189,0.5546314716339111,,,,,,
1,195,,0.8739640116691589,0.570175051689148,0.43062201142311096,0.6029825210571289,0.14721092581748962,
2,199,1.392011046409607,,,,,,
2,209,0.25004348158836365,,,,,,
2,219,0.23270311951637268,,,,,,
2,229,0.14808222651481628,,,,,,
2,239,0.2821514308452606,,,,,,
2,249,0.08121287822723389,,,,,,
2,259,0.21761083602905273,,,,,,
2,269,0.2577037811279297,,,,,,
2,279,0.2821040451526642,,,,,,
2,289,0.17667001485824585,,,,,,
2,293,,0.8767321109771729,0.5725767612457275,0.4449760913848877,0.6016559600830078,0.14598211646080017,
3,299,0.10052558034658432,,,,,,
3,309,0.18558385968208313,,,,,,
3,319,0.2447982132434845,,,,,,
3,329,0.13456392288208008,,,,,,
3,339,0.12282979488372803,,,,,,
3,349,0.08654657006263733,,,,,,
3,359,0.059023793786764145,,,,,,
3,369,0.11532723903656006,,,,,,
3,379,0.045860521495342255,,,,,,
3,389,0.07897596061229706,,,,,,
3,391,,0.8775796294212341,0.5767918229103088,0.46411484479904175,0.6062280535697937,0.15358158946037292,
4,399,0.18439124524593353,,,,,,
4,409,0.04164227098226547,,,,,,
4,419,0.2152528315782547,,,,,,
4,429,0.46453535556793213,,,,,,
4,439,0.1819155216217041,,,,,,
4,449,0.04387586563825607,,,,,,
4,459,0.20829297602176666,,,,,,
4,469,0.016470611095428467,,,,,,
4,479,0.08423371613025665,,,,,,
4,489,3.064204216003418,,,,,,
4,489,,0.8788303136825562,0.5878947973251343,0.4736842215061188,0.6139038801193237,0.16897575557231903,
5,490,,,,,,,0.16897575557231903
