step,epoch,train_loss,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_loss
9,0,0.0904422476887703,,,,,,
19,0,0.12143120169639587,,,,,,
29,0,0.09539224952459335,,,,,,
39,0,0.07458875328302383,,,,,,
49,0,0.06531108915805817,,,,,,
59,0,0.04375351220369339,,,,,,
69,0,0.05496068298816681,,,,,,
79,0,0.06071018427610397,,,,,,
89,0,0.06625725328922272,,,,,,
99,0,0.07032019644975662,,,,,,
109,0,0.048399291932582855,,,,,,
119,0,0.08903778344392776,,,,,,
129,0,0.06835636496543884,,,,,,
139,0,0.08246555924415588,,,,,,
149,0,0.04689312353730202,,,,,,
159,0,0.04764054715633392,,,,,,
169,0,0.0671752393245697,,,,,,
179,0,0.044512081891298294,,,,,,
186,0,,0.11227524280548096,0.32424435019493103,0.14136125147342682,0.2179800271987915,0.8230499625205994,
189,1,0.04523766413331032,,,,,,
199,1,0.05064782500267029,,,,,,
209,1,0.07847696542739868,,,,,,
219,1,0.04688022658228874,,,,,,
229,1,0.03807554394006729,,,,,,
239,1,0.042946554720401764,,,,,,
249,1,0.05511019378900528,,,,,,
259,1,0.0500229075551033,,,,,,
269,1,0.06748099625110626,,,,,,
279,1,0.05962429568171501,,,,,,
289,1,0.05336194485425949,,,,,,
299,1,0.06796715408563614,,,,,,
309,1,0.0569576621055603,,,,,,
319,1,0.05741510167717934,,,,,,
329,1,0.05388462543487549,,,,,,
339,1,0.05253078415989876,,,,,,
349,1,0.054492708295583725,,,,,,
359,1,0.07304948568344116,,,,,,
369,1,0.07546472549438477,,,,,,
373,1,,0.10778185725212097,0.3476186990737915,0.16492146253585815,0.2418246865272522,0.8282167911529541,
379,2,0.04818600043654442,,,,,,
389,2,0.09142749011516571,,,,,,
399,2,0.05169946700334549,,,,,,
409,2,0.037676360458135605,,,,,,
419,2,0.036580923944711685,,,,,,
429,2,0.050261449068784714,,,,,,
439,2,0.042112693190574646,,,,,,
449,2,0.0369972363114357,,,,,,
459,2,0.0504927933216095,,,,,,
469,2,0.10694164782762527,,,,,,
479,2,0.04625725746154785,,,,,,
489,2,0.06654658168554306,,,,,,
499,2,0.05527874827384949,,,,,,
509,2,0.05278613790869713,,,,,,
519,2,0.04549369588494301,,,,,,
529,2,0.04047970101237297,,,,,,
539,2,0.040314558893442154,,,,,,
549,2,0.05216500163078308,,,,,,
559,2,0.04650907963514328,,,,,,
560,2,,0.12115547806024551,0.35546427965164185,0.17539267241954803,0.252520352602005,0.8293821811676025,
569,3,0.05776200443506241,,,,,,
579,3,0.03575451299548149,,,,,,
589,3,0.03878181427717209,,,,,,
599,3,0.06847348064184189,,,,,,
609,3,0.02895519696176052,,,,,,
619,3,0.0415850505232811,,,,,,
629,3,0.041507359594106674,,,,,,
639,3,0.05517640337347984,,,,,,
649,3,0.05822933092713356,,,,,,
659,3,0.030357323586940765,,,,,,
669,3,0.04160506650805473,,,,,,
679,3,0.06658650934696198,,,,,,
689,3,0.05150160565972328,,,,,,
699,3,0.04196282848715782,,,,,,
709,3,0.03790609911084175,,,,,,
719,3,0.04811782017350197,,,,,,
729,3,0.02638164721429348,,,,,,
739,3,0.03148454800248146,,,,,,
747,3,,0.1622297614812851,0.3681895434856415,0.19371727108955383,0.26834437251091003,0.8350716233253479,
749,4,0.03156731650233269,,,,,,
759,4,0.03394647315144539,,,,,,
769,4,0.05123719945549965,,,,,,
779,4,0.035458050668239594,,,,,,
789,4,0.045280005782842636,,,,,,
799,4,0.0370183102786541,,,,,,
809,4,0.027018876746296883,,,,,,
819,4,0.026942044496536255,,,,,,
829,4,0.024260951206088066,,,,,,
839,4,0.02351212128996849,,,,,,
849,4,0.02540607377886772,,,,,,
859,4,0.027293246239423752,,,,,,
869,4,0.03545472398400307,,,,,,
879,4,0.03022509627044201,,,,,,
889,4,0.026397932320833206,,,,,,
899,4,0.020406106486916542,,,,,,
909,4,0.031790591776371,,,,,,
919,4,0.029512297362089157,,,,,,
929,4,0.013154921121895313,,,,,,
934,4,,0.2764604091644287,0.3664613962173462,0.2041884809732437,0.27707743644714355,0.8372142314910889,
935,5,,,,,,,0.2764604091644287
