train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_meteor,val_qa_sas,test_loss
0.5017411112785339,0,9,,,,,,,
0.3629181981086731,0,19,,,,,,,
0.8435311913490295,0,29,,,,,,,
0.38262856006622314,0,39,,,,,,,
0.47562694549560547,0,49,,,,,,,
0.45802977681159973,0,59,,,,,,,
0.37252116203308105,0,69,,,,,,,
0.7307029962539673,0,79,,,,,,,
0.2768355906009674,0,89,,,,,,,
,0,96,0.15070445835590363,0.4377356469631195,0.8746507167816162,0.24434389173984528,0.513261079788208,0.5076677203178406,
0.3201688230037689,1,99,,,,,,,
0.21192973852157593,1,109,,,,,,,
1.4801361560821533,1,119,,,,,,,
0.4022825062274933,1,129,,,,,,,
0.334031343460083,1,139,,,,,,,
0.11102931946516037,1,149,,,,,,,
0.5081676244735718,1,159,,,,,,,
0.10913817584514618,1,169,,,,,,,
0.19356802105903625,1,179,,,,,,,
0.7589346766471863,1,189,,,,,,,
,1,193,0.13431614637374878,0.4913491904735565,0.8879241347312927,0.31674209237098694,0.5518209338188171,0.5490893721580505,
0.49597713351249695,2,199,,,,,,,
0.11877930164337158,2,209,,,,,,,
0.5991811156272888,2,219,,,,,,,
0.251115083694458,2,229,,,,,,,
0.4117514491081238,2,239,,,,,,,
0.16849565505981445,2,249,,,,,,,
0.2407200038433075,2,259,,,,,,,
0.3296133279800415,2,269,,,,,,,
0.3344113528728485,2,279,,,,,,,
0.4048408269882202,2,289,,,,,,,
,2,290,0.12948381900787354,0.4955868124961853,0.8911257982254028,0.33484163880348206,0.5617256760597229,0.5523653626441956,
0.32798275351524353,3,299,,,,,,,
0.0784543827176094,3,309,,,,,,,
0.09001553058624268,3,319,,,,,,,
0.0663527101278305,3,329,,,,,,,
0.05287884920835495,3,339,,,,,,,
0.301466166973114,3,349,,,,,,,
0.27244463562965393,3,359,,,,,,,
0.17677292227745056,3,369,,,,,,,
0.0693395733833313,3,379,,,,,,,
,3,387,0.13461953401565552,0.5151946544647217,0.8983271718025208,0.36199095845222473,0.5738576650619507,0.5692458748817444,
0.13343475759029388,4,389,,,,,,,
0.06715008616447449,4,399,,,,,,,
0.026263682171702385,4,409,,,,,,,
0.044330425560474396,4,419,,,,,,,
0.0680045634508133,4,429,,,,,,,
0.055398765951395035,4,439,,,,,,,
0.05104586109519005,4,449,,,,,,,
0.032137054949998856,4,459,,,,,,,
0.10025795549154282,4,469,,,,,,,
0.015096013434231281,4,479,,,,,,,
,4,484,0.14585526287555695,0.5048256516456604,0.8965238332748413,0.3529411852359772,0.5656176805496216,0.5573269128799438,
,5,485,,,,,,,0.13461953401565552
