step,train_loss,epoch,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_em,test_loss
9,0.10339533537626266,0,,,,,,
19,0.08665812015533447,0,,,,,,
29,0.057826459407806396,0,,,,,,
39,0.05007974058389664,0,,,,,,
49,0.06755569577217102,0,,,,,,
59,0.05446757376194,0,,,,,,
69,0.06243574991822243,0,,,,,,
79,0.07127494364976883,0,,,,,,
89,0.06751201301813126,0,,,,,,
99,0.0567118376493454,0,,,,,,
109,0.061000268906354904,0,,,,,,
119,0.03826996311545372,0,,,,,,
129,0.0747259259223938,0,,,,,,
139,0.07603458315134048,0,,,,,,
149,0.05718037858605385,0,,,,,,
159,0.05227086693048477,0,,,,,,
169,0.048601873219013214,0,,,,,,
179,0.05567697435617447,0,,,,,,
189,0.06293518096208572,0,,,,,,
189,,0,0.830630898475647,0.35439595580101013,0.25913006067276,0.12016715854406357,0.19498607516288757,
199,0.04275808855891228,1,,,,,,
209,0.05172308161854744,1,,,,,,
219,0.06474654376506805,1,,,,,,
229,0.052443742752075195,1,,,,,,
239,0.05824201926589012,1,,,,,,
249,0.0649084523320198,1,,,,,,
259,0.07514744251966476,1,,,,,,
269,0.04930746927857399,1,,,,,,
279,0.0723796933889389,1,,,,,,
289,0.06759771704673767,1,,,,,,
299,0.07900693267583847,1,,,,,,
309,0.05441577360033989,1,,,,,,
319,0.050894398242235184,1,,,,,,
329,0.049800582230091095,1,,,,,,
339,0.05642324313521385,1,,,,,,
349,0.07576432824134827,1,,,,,,
359,0.045337822288274765,1,,,,,,
369,0.05543093755841255,1,,,,,,
379,0.06642290204763412,1,,,,,,
379,,1,0.8192785382270813,0.34308093786239624,0.25842222571372986,0.08561012148857117,0.20055709779262543,
389,0.043344900012016296,2,,,,,,
399,0.04701264947652817,2,,,,,,
409,0.05652393773198128,2,,,,,,
419,0.05038042739033699,2,,,,,,
429,0.04885547608137131,2,,,,,,
439,0.057554956525564194,2,,,,,,
449,0.06775490194559097,2,,,,,,
459,0.04508838802576065,2,,,,,,
469,0.06739518791437149,2,,,,,,
479,0.06255761533975601,2,,,,,,
489,0.0688290223479271,2,,,,,,
499,0.050198011100292206,2,,,,,,
509,0.047699153423309326,2,,,,,,
519,0.04740260913968086,2,,,,,,
529,0.05001615360379219,2,,,,,,
539,0.06944774091243744,2,,,,,,
549,0.04017072170972824,2,,,,,,
559,0.0492812916636467,2,,,,,,
569,0.05480095371603966,2,,,,,,
569,,2,0.8287776708602905,0.35828855633735657,0.27062949538230896,0.08893729746341705,0.21169915795326233,
579,0.04041158780455589,3,,,,,,
589,0.04457426816225052,3,,,,,,
599,0.0510113462805748,3,,,,,,
609,0.04829694703221321,3,,,,,,
619,0.04273761436343193,3,,,,,,
629,0.050391796976327896,3,,,,,,
639,0.06007155403494835,3,,,,,,
649,0.04011193662881851,3,,,,,,
659,0.06126498058438301,3,,,,,,
669,0.05628607049584389,3,,,,,,
679,0.05541202798485756,3,,,,,,
689,0.04612511396408081,3,,,,,,
699,0.04420611262321472,3,,,,,,
709,0.04471568763256073,3,,,,,,
719,0.04075132682919502,3,,,,,,
729,0.05915244296193123,3,,,,,,
739,0.037850845605134964,3,,,,,,
749,0.03966853767633438,3,,,,,,
759,0.03680442273616791,3,,,,,,
759,,3,0.8347638249397278,0.37542054057121277,0.2924325168132782,0.09621860086917877,0.23676879703998566,
769,0.03238822892308235,4,,,,,,
779,0.046187616884708405,4,,,,,,
789,0.03892339766025543,4,,,,,,
799,0.04105459898710251,4,,,,,,
809,0.02989480271935463,4,,,,,,
819,0.03937968611717224,4,,,,,,
829,0.04060737043619156,4,,,,,,
839,0.03125796467065811,4,,,,,,
849,0.07169803231954575,4,,,,,,
859,0.03336736932396889,4,,,,,,
869,0.027202939614653587,4,,,,,,
879,0.031635038554668427,4,,,,,,
889,0.035939596593379974,4,,,,,,
899,0.036165088415145874,4,,,,,,
909,0.023339787498116493,4,,,,,,
919,0.04261226952075958,4,,,,,,
929,0.02566339448094368,4,,,,,,
939,0.023768499493598938,4,,,,,,
949,0.011577877216041088,4,,,,,,
949,,4,0.8469082117080688,0.40122896432876587,0.32612553238868713,0.15282681584358215,0.27019497752189636,
950,,5,,,,,,0.15282681584358215
