train_loss,epoch,step,val_qa_bert_score,val_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_sas,test_loss
1.524493932723999,0,9,,,,,,,,,,
1.1313655376434326,0,19,,,,,,,,,,
3.6030285358428955,0,29,,,,,,,,,,
1.2533848285675049,0,39,,,,,,,,,,
0.8859738707542419,0,49,,,,,,,,,,
1.8440492153167725,0,59,,,,,,,,,,
1.4005851745605469,0,69,,,,,,,,,,
0.9973949193954468,0,79,,,,,,,,,,
0.4309975504875183,0,89,,,,,,,,,,
1.435839295387268,0,99,,,,,,,,,,
,0,102,0.8370543122291565,1.2359294891357422,0.21768707036972046,0.4495593011379242,0.5490025281906128,,,,,
1.0211944580078125,1,109,,,,,,,,,,
0.8208025693893433,1,119,,,,,,,,,,
0.6462733745574951,1,129,,,,,,,,,,
1.3372360467910767,1,139,,,,,,,,,,
1.1477848291397095,1,149,,,,,,,,,,
1.686478614807129,1,159,,,,,,,,,,
2.4680964946746826,1,169,,,,,,,,,,
0.4209524691104889,1,179,,,,,,,,,,
1.5371707677841187,1,189,,,,,,,,,,
0.6393021941184998,1,199,,,,,,,,,,
,1,205,0.8419989347457886,1.16553795337677,0.2539682686328888,0.456141859292984,0.5525338053703308,,,,,
1.1664234399795532,2,209,,,,,,,,,,
1.0747090578079224,2,219,,,,,,,,,,
1.4635169506072998,2,229,,,,,,,,,,
1.0118885040283203,2,239,,,,,,,,,,
1.1355866193771362,2,249,,,,,,,,,,
0.3069474697113037,2,259,,,,,,,,,,
0.9005057215690613,2,269,,,,,,,,,,
1.5952467918395996,2,279,,,,,,,,,,
1.4564094543457031,2,289,,,,,,,,,,
1.2725204229354858,2,299,,,,,,,,,,
,2,308,0.8459731936454773,1.1402058601379395,0.2630385458469391,0.4672871232032776,0.5609043836593628,,,,,
0.9467090368270874,3,309,,,,,,,,,,
1.059630036354065,3,319,,,,,,,,,,
2.3179314136505127,3,329,,,,,,,,,,
1.5478681325912476,3,339,,,,,,,,,,
0.9685239195823669,3,349,,,,,,,,,,
0.3029824197292328,3,359,,,,,,,,,,
0.9305199980735779,3,369,,,,,,,,,,
2.300652265548706,3,379,,,,,,,,,,
0.7503228783607483,3,389,,,,,,,,,,
0.38071686029434204,3,399,,,,,,,,,,
0.8151193857192993,3,409,,,,,,,,,,
,3,411,0.8481956720352173,1.1180428266525269,0.26757368445396423,0.47252005338668823,0.56414794921875,,,,,
1.138883113861084,4,419,,,,,,,,,,
1.2159358263015747,4,429,,,,,,,,,,
0.2715897858142853,4,439,,,,,,,,,,
1.1563405990600586,4,449,,,,,,,,,,
1.0549920797348022,4,459,,,,,,,,,,
1.1137712001800537,4,469,,,,,,,,,,
1.5168540477752686,4,479,,,,,,,,,,
0.46389490365982056,4,489,,,,,,,,,,
0.5010556578636169,4,499,,,,,,,,,,
0.6181774139404297,4,509,,,,,,,,,,
,4,514,0.8518106341362,1.1168533563613892,0.27210885286331177,0.48044151067733765,0.5725533366203308,,,,,
,5,515,,,,,,0.27210885286331177,0.48044151067733765,0.8518106341362,0.5725533366203308,1.1168533563613892
