train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score,test_loss
1.3488988876342773,9,0,,,,,,
0.5274655222892761,19,0,,,,,,
0.306551456451416,29,0,,,,,,
0.2715994715690613,39,0,,,,,,
0.5348217487335205,49,0,,,,,,
0.5251268148422241,59,0,,,,,,
0.7266510725021362,69,0,,,,,,
0.576451301574707,79,0,,,,,,
0.8312678337097168,89,0,,,,,,
0.5266755223274231,99,0,,,,,,
,101,0,0.5394182801246643,0.16163845360279083,0.3391304314136505,0.5892682075500488,0.8590470552444458,
0.43944159150123596,109,1,,,,,,
0.3024694323539734,119,1,,,,,,
0.37720879912376404,129,1,,,,,,
0.18893000483512878,139,1,,,,,,
0.35154134035110474,149,1,,,,,,
0.5838899612426758,159,1,,,,,,
0.2015223503112793,169,1,,,,,,
0.3702186644077301,179,1,,,,,,
0.29325219988822937,189,1,,,,,,
0.3708001673221588,199,1,,,,,,
,203,1,0.6003623604774475,0.13889095187187195,0.43043479323387146,0.6394964456558228,0.8758522272109985,
0.4841553270816803,209,2,,,,,,
0.26216697692871094,219,2,,,,,,
0.4689890742301941,229,2,,,,,,
0.2491041123867035,239,2,,,,,,
0.10444441437721252,249,2,,,,,,
0.07308866083621979,259,2,,,,,,
0.21353207528591156,269,2,,,,,,
0.23958584666252136,279,2,,,,,,
0.26862046122550964,289,2,,,,,,
0.29007425904273987,299,2,,,,,,
,305,2,0.616407573223114,0.1376817375421524,0.46086955070495605,0.6542529463768005,0.8833150863647461,
0.28084060549736023,309,3,,,,,,
0.1439591497182846,319,3,,,,,,
0.1171904057264328,329,3,,,,,,
0.19499708712100983,339,3,,,,,,
0.19096793234348297,349,3,,,,,,
0.2883031964302063,359,3,,,,,,
0.3341231644153595,369,3,,,,,,
0.1015259325504303,379,3,,,,,,
0.06354755908250809,389,3,,,,,,
0.10863648355007172,399,3,,,,,,
,407,3,0.6251412630081177,0.14339852333068848,0.46521738171577454,0.6590070724487305,0.8857643008232117,
0.06282313168048859,409,4,,,,,,
0.21745938062667847,419,4,,,,,,
0.06262460350990295,429,4,,,,,,
0.050793807953596115,439,4,,,,,,
0.09426162391901016,449,4,,,,,,
0.053379081189632416,459,4,,,,,,
0.09797210246324539,469,4,,,,,,
0.7599978446960449,479,4,,,,,,
0.01704893261194229,489,4,,,,,,
2.7402870655059814,499,4,,,,,,
0.027611801400780678,509,4,,,,,,
,509,4,0.6415868401527405,0.1548174023628235,0.5130434632301331,0.6731235384941101,0.891523540019989,
,510,5,,,,,,0.1548174023628235
