epoch,step,train_loss,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss
0,9,0.6405314207077026,,,,,,
0,19,0.5567564368247986,,,,,,
0,29,0.5355527400970459,,,,,,
0,39,0.3833785057067871,,,,,,
0,49,0.3337468206882477,,,,,,
0,59,0.5305991172790527,,,,,,
0,69,0.34381675720214844,,,,,,
0,79,0.2973005473613739,,,,,,
0,89,0.309211790561676,,,,,,
0,99,0.3209204077720642,,,,,,
0,107,,0.16935186088085175,0.5277931690216064,0.5764796733856201,0.3567567467689514,0.8499504923820496,
1,109,0.5752784013748169,,,,,,
1,119,0.6517138481140137,,,,,,
1,129,0.12066158652305603,,,,,,
1,139,0.1659058779478073,,,,,,
1,149,0.3175218403339386,,,,,,
1,159,0.5908054709434509,,,,,,
1,169,0.4364860951900482,,,,,,
1,179,0.254555344581604,,,,,,
1,189,0.4278465211391449,,,,,,
1,199,0.5676605105400085,,,,,,
1,209,0.45118448138237,,,,,,
1,215,,0.15387198328971863,0.6077879071235657,0.6457085013389587,0.42702701687812805,0.873490571975708,
2,219,0.07320746034383774,,,,,,
2,229,0.2335132658481598,,,,,,
2,239,0.19874118268489838,,,,,,
2,249,0.540111780166626,,,,,,
2,259,0.05708644911646843,,,,,,
2,269,0.19405603408813477,,,,,,
2,279,0.35672566294670105,,,,,,
2,289,0.4749966859817505,,,,,,
2,299,0.1512659341096878,,,,,,
2,309,0.3889577090740204,,,,,,
2,319,0.22998854517936707,,,,,,
2,323,,0.15562498569488525,0.615437924861908,0.647374153137207,0.4324324429035187,0.8766921758651733,
3,329,0.278081476688385,,,,,,
3,339,0.1231653168797493,,,,,,
3,349,0.6502228379249573,,,,,,
3,359,0.15500615537166595,,,,,,
3,369,0.34060969948768616,,,,,,
3,379,0.1780509650707245,,,,,,
3,389,0.3487541079521179,,,,,,
3,399,0.24890241026878357,,,,,,
3,409,0.6662092208862305,,,,,,
3,419,0.32769063115119934,,,,,,
3,429,0.23929288983345032,,,,,,
3,431,,0.14901088178157806,0.6299373507499695,0.6574710607528687,0.4702702760696411,0.8854511380195618,
4,439,0.11097770184278488,,,,,,
4,449,0.08552967011928558,,,,,,
4,459,0.4068355858325958,,,,,,
4,469,0.02531447820365429,,,,,,
4,479,0.09234361350536346,,,,,,
4,489,0.11315858364105225,,,,,,
4,499,1.0724787712097168,,,,,,
4,509,0.08540525287389755,,,,,,
4,519,0.09875909239053726,,,,,,
4,529,0.1569627821445465,,,,,,
4,539,0.18346187472343445,,,,,,
4,539,,0.15239837765693665,0.6309283971786499,0.6568586230278015,0.4864864945411682,0.8842566013336182,
5,540,,,,,,,0.15239837765693665
