step,epoch,train_loss,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_sas
9,0,3.2123818397521973,,,,,,,,,,
19,0,2.457275390625,,,,,,,,,,
29,0,1.4129775762557983,,,,,,,,,,
39,0,2.223127841949463,,,,,,,,,,
49,0,1.2576435804367065,,,,,,,,,,
52,0,,1.5894571542739868,0.41657716035842896,0.24358974397182465,0.38715624809265137,0.8210160136222839,,,,,
59,1,1.795210838317871,,,,,,,,,,
69,1,0.774315595626831,,,,,,,,,,
79,1,9.979533195495605,,,,,,,,,,
89,1,2.0088956356048584,,,,,,,,,,
99,1,1.185631275177002,,,,,,,,,,
105,1,,1.4336228370666504,0.4818115234375,0.36538460850715637,0.4652901291847229,0.848085880279541,,,,,
109,2,1.4877445697784424,,,,,,,,,,
119,2,1.9321309328079224,,,,,,,,,,
129,2,1.9128657579421997,,,,,,,,,,
139,2,0.7220805883407593,,,,,,,,,,
149,2,1.5564574003219604,,,,,,,,,,
158,2,,1.328959584236145,0.48370361328125,0.3782051205635071,0.46628355979919434,0.8477058410644531,,,,,
159,3,1.6139500141143799,,,,,,,,,,
169,3,1.3636927604675293,,,,,,,,,,
179,3,1.3962370157241821,,,,,,,,,,
189,3,1.6327977180480957,,,,,,,,,,
199,3,0.8482320308685303,,,,,,,,,,
209,3,1.0601893663406372,,,,,,,,,,
211,3,,1.2834570407867432,0.49824219942092896,0.39743590354919434,0.479175329208374,0.8530731201171875,,,,,
219,4,1.003584861755371,,,,,,,,,,
229,4,1.5398032665252686,,,,,,,,,,
239,4,1.3163607120513916,,,,,,,,,,
249,4,0.617982804775238,,,,,,,,,,
259,4,1.1121490001678467,,,,,,,,,,
264,4,,1.2659854888916016,0.517260730266571,0.41025641560554504,0.5012143850326538,0.8574178814888,,,,,
265,5,,,,,,,0.8574178814888,0.5012143850326538,1.2659854888916016,0.41025641560554504,0.517260730266571
