train_loss,step,epoch,val_qa_answer_f1,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,test_loss
0.0931614488363266,9,0,,,,,,
0.09559061378240585,19,0,,,,,,
0.06011112779378891,29,0,,,,,,
0.06338585913181305,39,0,,,,,,
0.05770984664559364,49,0,,,,,,
0.05187545716762543,59,0,,,,,,
0.048426590859889984,69,0,,,,,,
0.05777532607316971,79,0,,,,,,
0.06384731084108353,89,0,,,,,,
0.06662144511938095,99,0,,,,,,
0.04827145114541054,109,0,,,,,,
0.04779511317610741,119,0,,,,,,
0.05837460979819298,129,0,,,,,,
0.07139985263347626,139,0,,,,,,
0.048622217029333115,149,0,,,,,,
0.039493609219789505,159,0,,,,,,
0.058905743062496185,169,0,,,,,,
0.04081550985574722,179,0,,,,,,
,186,0,0.3604280650615692,0.30628272891044617,0.09065427631139755,0.8528302907943726,0.44462335109710693,
0.047410428524017334,189,1,,,,,,
0.04031025990843773,199,1,,,,,,
0.06168543919920921,209,1,,,,,,
0.04877594858407974,219,1,,,,,,
0.04345989227294922,229,1,,,,,,
0.05089560151100159,239,1,,,,,,
0.0575384683907032,249,1,,,,,,
0.036313142627477646,259,1,,,,,,
0.05371598154306412,269,1,,,,,,
0.04717860743403435,279,1,,,,,,
0.041326068341732025,289,1,,,,,,
0.042975474148988724,299,1,,,,,,
0.03151343762874603,309,1,,,,,,
0.023014221340417862,319,1,,,,,,
0.030855784192681313,329,1,,,,,,
0.05462577939033508,339,1,,,,,,
0.02140229195356369,349,1,,,,,,
0.030138477683067322,359,1,,,,,,
0.06394386291503906,369,1,,,,,,
,373,1,0.7090644240379333,0.6832460761070251,0.08745221048593521,0.9348525404930115,0.7354464530944824,
0.024634139612317085,379,2,,,,,,
0.030656946823000908,389,2,,,,,,
0.03912707045674324,399,2,,,,,,
0.032313939183950424,409,2,,,,,,
0.024480294436216354,419,2,,,,,,
0.018943162634968758,429,2,,,,,,
0.04382959008216858,439,2,,,,,,
0.0240162443369627,449,2,,,,,,
0.03760513290762901,459,2,,,,,,
0.021286912262439728,469,2,,,,,,
0.029468929395079613,479,2,,,,,,
0.04389243572950363,489,2,,,,,,
0.039613135159015656,499,2,,,,,,
0.025129470974206924,509,2,,,,,,
0.027048839256167412,519,2,,,,,,
0.026338862255215645,529,2,,,,,,
0.025966795161366463,539,2,,,,,,
0.014106550253927708,549,2,,,,,,
0.03096197545528412,559,2,,,,,,
,560,2,0.7156835198402405,0.6937173008918762,0.06440965831279755,0.9356601238250732,0.7379574775695801,
0.0540374293923378,569,3,,,,,,
0.05657070875167847,579,3,,,,,,
0.03630116954445839,589,3,,,,,,
0.027482125908136368,599,3,,,,,,
0.008795328438282013,609,3,,,,,,
0.027638031169772148,619,3,,,,,,
0.04545007646083832,629,3,,,,,,
0.02379196509718895,639,3,,,,,,
0.02480890043079853,649,3,,,,,,
0.012268510647118092,659,3,,,,,,
0.022398140281438828,669,3,,,,,,
0.013869870454072952,679,3,,,,,,
0.02102716453373432,689,3,,,,,,
0.01650918647646904,699,3,,,,,,
0.014681553468108177,709,3,,,,,,
0.013541740365326405,719,3,,,,,,
0.005501643754541874,729,3,,,,,,
0.014776033349335194,739,3,,,,,,
,747,3,0.7154118418693542,0.6910994648933411,0.06088726595044136,0.9352104067802429,0.7367631196975708,
0.010271916165947914,749,4,,,,,,
0.009686497040092945,759,4,,,,,,
0.027788912877440453,769,4,,,,,,
0.019063854590058327,779,4,,,,,,
0.010010724887251854,789,4,,,,,,
0.021334463730454445,799,4,,,,,,
0.01744222082197666,809,4,,,,,,
0.020828962326049805,819,4,,,,,,
0.011711419560015202,829,4,,,,,,
0.0060877567157149315,839,4,,,,,,
0.016504084691405296,849,4,,,,,,
0.003509403904899955,859,4,,,,,,
0.009543375112116337,869,4,,,,,,
0.00612817844375968,879,4,,,,,,
0.004808515775948763,889,4,,,,,,
0.008204135112464428,899,4,,,,,,
0.018663201481103897,909,4,,,,,,
0.0322551354765892,919,4,,,,,,
0.019516166299581528,929,4,,,,,,
,934,4,0.7089012861251831,0.6858638525009155,0.07202956080436707,0.9326014518737793,0.7301928400993347,
,935,5,,,,,,0.07202956080436707
