epoch,step,train_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,test_loss
0,9,1.4623284339904785,,,,,,
0,19,0.5617738366127014,,,,,,
0,29,0.4915131628513336,,,,,,
0,39,0.3453878164291382,,,,,,
0,49,0.6181003451347351,,,,,,
0,59,0.20529796183109283,,,,,,
0,69,0.4672759771347046,,,,,,
0,79,0.3435870409011841,,,,,,
0,89,0.2377540022134781,,,,,,
0,99,0.19027745723724365,,,,,,
0,109,0.2381950169801712,,,,,,
0,119,0.33461469411849976,,,,,,
0,123,,0.18220339715480804,0.24076847732067108,0.24358223378658295,0.7868978977203369,0.0764862671494484,
1,129,0.22580739855766296,,,,,,
1,139,0.2169630378484726,,,,,,
1,149,0.2420857846736908,,,,,,
1,159,0.3692253828048706,,,,,,
1,169,0.2430681586265564,,,,,,
1,179,0.16518735885620117,,,,,,
1,189,0.3327588140964508,,,,,,
1,199,0.21506604552268982,,,,,,
1,209,0.19878756999969482,,,,,,
1,219,0.18895825743675232,,,,,,
1,229,0.3389244079589844,,,,,,
1,239,0.23288704454898834,,,,,,
1,247,,0.22457626461982727,0.2904893457889557,0.27133455872535706,0.8036617636680603,0.06723088771104813,
2,249,0.13818129897117615,,,,,,
2,259,0.13607408106327057,,,,,,
2,269,0.1285589337348938,,,,,,
2,279,0.1756380796432495,,,,,,
2,289,0.17257867753505707,,,,,,
2,299,0.12945613265037537,,,,,,
2,309,0.2266516387462616,,,,,,
2,319,0.09853290766477585,,,,,,
2,329,0.12599951028823853,,,,,,
2,339,0.11912018805742264,,,,,,
2,349,0.06382835656404495,,,,,,
2,359,0.13004525005817413,,,,,,
2,369,0.07130761444568634,,,,,,
2,371,,0.25,0.3102457821369171,0.2965041995048523,0.8042171597480774,0.06743204593658447,
3,379,0.11434027552604675,,,,,,
3,389,0.11625538766384125,,,,,,
3,399,0.16919100284576416,,,,,,
3,409,0.09220999479293823,,,,,,
3,419,0.07205148041248322,,,,,,
3,429,0.10303720831871033,,,,,,
3,439,0.1269444227218628,,,,,,
3,449,0.06936219334602356,,,,,,
3,459,0.04878528043627739,,,,,,
3,469,0.08997916430234909,,,,,,
3,479,0.08776120096445084,,,,,,
3,489,0.07968020439147949,,,,,,
3,495,,0.2923728823661804,0.35690945386886597,0.33145439624786377,0.8182603120803833,0.07134783267974854,
4,499,0.06708259135484695,,,,,,
4,509,0.06859169155359268,,,,,,
4,519,0.05094863101840019,,,,,,
4,529,0.07740195095539093,,,,,,
4,539,0.050586942583322525,,,,,,
4,549,0.0760025605559349,,,,,,
4,559,0.058400820940732956,,,,,,
4,569,0.07750777900218964,,,,,,
4,579,0.04435635730624199,,,,,,
4,589,0.033235494047403336,,,,,,
4,599,0.027958154678344727,,,,,,
4,609,0.05177929252386093,,,,,,
4,619,0.0014593267114832997,,,,,,
4,619,,0.31779661774635315,0.37426626682281494,0.3566109538078308,0.8244760036468506,0.07984372228384018,
5,620,,,,,,,0.07984372228384018
