step,epoch,train_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_answer_f1
9,0,3.687877655029297,,,,,,,,,,
19,0,2.3620493412017822,,,,,,,,,,
29,0,1.9430351257324219,,,,,,,,,,
39,0,2.6995458602905273,,,,,,,,,,
49,0,2.5198516845703125,,,,,,,,,,
49,0,,0.767441987991333,0.26660069823265076,0.21675452589988708,2.5047266483306885,0.13821138441562653,,,,,
59,1,1.9876879453659058,,,,,,,,,,
69,1,2.479362964630127,,,,,,,,,,
79,1,2.1822092533111572,,,,,,,,,,
89,1,2.5018415451049805,,,,,,,,,,
99,1,2.8817694187164307,,,,,,,,,,
99,1,,0.8003414273262024,0.37047767639160156,0.33815672993659973,2.2099788188934326,0.23577235639095306,,,,,
109,2,2.258939266204834,,,,,,,,,,
119,2,2.2256557941436768,,,,,,,,,,
129,2,1.2126991748809814,,,,,,,,,,
139,2,1.1736748218536377,,,,,,,,,,
149,2,1.6863837242126465,,,,,,,,,,
149,2,,0.8180825114250183,0.4239960312843323,0.39480921626091003,2.124039888381958,0.288617879152298,,,,,
159,3,2.100778102874756,,,,,,,,,,
169,3,1.91678786277771,,,,,,,,,,
179,3,1.4250116348266602,,,,,,,,,,
189,3,1.9228577613830566,,,,,,,,,,
199,3,2.5389788150787354,,,,,,,,,,
199,3,,0.8266111016273499,0.44878897070884705,0.4167768359184265,2.058946371078491,0.3008130192756653,,,,,
209,4,1.4146380424499512,,,,,,,,,,
219,4,2.1818947792053223,,,,,,,,,,
229,4,1.6925537586212158,,,,,,,,,,
239,4,1.507908582687378,,,,,,,,,,
249,4,1.5858001708984375,,,,,,,,,,
249,4,,0.831686794757843,0.46610167622566223,0.4373200535774231,2.004481315612793,0.3333333432674408,,,,,
250,5,,,,,,,0.3333333432674408,0.46610167622566223,2.004481315612793,0.831686794757843,0.4373200535774231
