epoch,step,train_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_loss,val_qa_sas
0,9,0.7417923808097839,,,,,
0,19,0.3727115988731384,,,,,
0,29,0.37414851784706116,,,,,
0,39,0.4066573679447174,,,,,
0,49,0.34581834077835083,,,,,
0,59,0.47812652587890625,,,,,
0,69,0.4065946638584137,,,,,
0,79,0.18049418926239014,,,,,
0,89,0.28504616022109985,,,,,
0,99,0.24819700419902802,,,,,
0,109,0.44909772276878357,,,,,
0,119,0.3321486711502075,,,,,
0,129,0.3946930170059204,,,,,
0,139,0.28813254833221436,,,,,
0,149,0.22027193009853363,,,,,
0,159,0.18347260355949402,,,,,
0,169,0.2515134811401367,,,,,
0,179,0.3417738676071167,,,,,
0,189,0.25421977043151855,,,,,
0,199,0.2559749186038971,,,,,
0,209,0.11547774076461792,,,,,
0,219,0.10068792849779129,,,,,
0,229,0.2216881811618805,,,,,
0,239,0.19553543627262115,,,,,
0,249,0.22747628390789032,,,,,
0,259,0.13329660892486572,,,,,
0,269,0.17307966947555542,,,,,
0,279,0.1904963254928589,,,,,
0,289,0.10772182047367096,,,,,
0,299,0.15139497816562653,,,,,
0,309,0.12975886464118958,,,,,
0,319,0.22293563187122345,,,,,
0,329,0.24711957573890686,,,,,
0,339,0.14950242638587952,,,,,
0,349,0.13827255368232727,,,,,
0,359,0.1592724323272705,,,,,
0,369,0.21829727292060852,,,,,
0,379,0.1417388617992401,,,,,
0,389,0.1529230773448944,,,,,
0,399,0.11878799647092819,,,,,
0,409,0.14121682941913605,,,,,
0,419,0.13922809064388275,,,,,
0,429,0.16958710551261902,,,,,
0,439,0.27972960472106934,,,,,
0,449,0.17848974466323853,,,,,
0,459,0.23255984485149384,,,,,
0,469,0.2149566113948822,,,,,
0,479,0.15890994668006897,,,,,
0,489,0.16132521629333496,,,,,
0,499,0.13171294331550598,,,,,
0,509,0.05939488857984543,,,,,
0,519,0.10897143930196762,,,,,
0,529,0.09877041727304459,,,,,
0,539,0.0800018459558487,,,,,
0,549,0.15459774434566498,,,,,
0,559,0.16199466586112976,,,,,
0,569,0.10058768838644028,,,,,
0,579,nan,,,,,
0,589,0.11619693785905838,,,,,
0,599,0.23332281410694122,,,,,
0,609,0.18590261042118073,,,,,
0,619,0.18303322792053223,,,,,
0,627,,0.3941403329372406,0.3499999940395355,0.8233622908592224,0.15593257546424866,0.386184960603714
1,629,0.06850850582122803,,,,,
1,639,0.10672817379236221,,,,,
1,649,0.13035935163497925,,,,,
1,659,0.04923391342163086,,,,,
1,669,nan,,,,,
1,679,0.10509463399648666,,,,,
1,689,0.10305321961641312,,,,,
1,699,0.10144403576850891,,,,,
1,709,0.13406318426132202,,,,,
1,719,0.11965971440076828,,,,,
1,729,0.11433207243680954,,,,,
1,739,0.11148601770401001,,,,,
1,749,0.2559036314487457,,,,,
1,759,0.08649872988462448,,,,,
1,769,0.08563525974750519,,,,,
1,779,0.06728851795196533,,,,,
