step,train_loss,epoch,val_qa_sas,val_qa_em,val_qa_bert_score,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score
9,0.9544504880905151,0,,,,,,,,,,
19,1.2158867120742798,0,,,,,,,,,,
29,1.4721392393112183,0,,,,,,,,,,
39,1.064518928527832,0,,,,,,,,,,
49,1.1616071462631226,0,,,,,,,,,,
51,,0,0.5337437391281128,0.15813954174518585,0.8381737470626831,0.4173998534679413,1.2344970703125,,,,,
59,1.046486258506775,1,,,,,,,,,,
69,1.104459285736084,1,,,,,,,,,,
79,1.216889500617981,1,,,,,,,,,,
89,1.3243056535720825,1,,,,,,,,,,
99,2.5718393325805664,1,,,,,,,,,,
103,,1,0.5446428656578064,0.1627907007932663,0.8372431397438049,0.4216096103191376,1.1822164058685303,,,,,
109,1.585440993309021,2,,,,,,,,,,
119,1.4464813470840454,2,,,,,,,,,,
129,0.9885478615760803,2,,,,,,,,,,
139,1.332612156867981,2,,,,,,,,,,
149,1.2020870447158813,2,,,,,,,,,,
155,,2,0.5510602593421936,0.19069766998291016,0.8410061001777649,0.4323583245277405,1.1607749462127686,,,,,
159,1.2322746515274048,3,,,,,,,,,,
169,1.0335371494293213,3,,,,,,,,,,
179,0.8005148768424988,3,,,,,,,,,,
189,1.066581130027771,3,,,,,,,,,,
199,1.106946349143982,3,,,,,,,,,,
207,,3,0.5676966905593872,0.1953488439321518,0.8419036269187927,0.4428205192089081,1.1303088665008545,,,,,
209,1.0905083417892456,4,,,,,,,,,,
219,1.3334500789642334,4,,,,,,,,,,
229,1.0713094472885132,4,,,,,,,,,,
239,0.36750441789627075,4,,,,,,,,,,
249,1.1212995052337646,4,,,,,,,,,,
259,0.19576804339885712,4,,,,,,,,,,
259,,4,0.5534319281578064,0.20000000298023224,0.8357176780700684,0.4210380017757416,1.1292569637298584,,,,,
260,,5,,,,,,0.20000000298023224,0.5534319281578064,0.4210380017757416,1.1292569637298584,0.8357176780700684
