step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss
9,0.32767003774642944,0,,,,,,
19,0.39872944355010986,0,,,,,,
29,0.1564294397830963,0,,,,,,
39,0.2662396728992462,0,,,,,,
49,0.2756218910217285,0,,,,,,
59,0.27187883853912354,0,,,,,,
69,0.17992907762527466,0,,,,,,
79,0.21804320812225342,0,,,,,,
89,0.11747703701257706,0,,,,,,
99,0.5201367139816284,0,,,,,,
102,,0,0.125896155834198,0.5725442171096802,0.640476644039154,0.8745392560958862,0.2604651153087616,
109,0.13000303506851196,1,,,,,,
119,0.1766204982995987,1,,,,,,
129,0.1733979433774948,1,,,,,,
139,0.14600950479507446,1,,,,,,
149,0.2099958062171936,1,,,,,,
159,0.13429325819015503,1,,,,,,
169,0.10478589683771133,1,,,,,,
179,0.1805507242679596,1,,,,,,
189,0.13548018038272858,1,,,,,,
199,0.18576933443546295,1,,,,,,
205,,1,0.11383307725191116,0.5848486423492432,0.6527379751205444,0.876409113407135,0.28837209939956665,
209,0.20531341433525085,2,,,,,,
219,0.17765681445598602,2,,,,,,
229,0.12928251922130585,2,,,,,,
239,0.3220626711845398,2,,,,,,
249,0.10512235760688782,2,,,,,,
259,0.121076799929142,2,,,,,,
269,0.08861136436462402,2,,,,,,
279,0.1379278600215912,2,,,,,,
289,0.09807470440864563,2,,,,,,
299,0.09458675980567932,2,,,,,,
308,,2,0.10788080841302872,0.6007206439971924,0.6673477292060852,0.8799811005592346,0.33023256063461304,
309,0.1965961456298828,3,,,,,,
319,0.04407265782356262,3,,,,,,
329,0.10642477124929428,3,,,,,,
339,0.11571402847766876,3,,,,,,
349,0.0885142982006073,3,,,,,,
359,0.048278436064720154,3,,,,,,
369,0.059327661991119385,3,,,,,,
379,0.08695711940526962,3,,,,,,
389,0.06108401343226433,3,,,,,,
399,0.11178601533174515,3,,,,,,
409,0.11619162559509277,3,,,,,,
411,,3,0.09567862749099731,0.6037379503250122,0.6577354073524475,0.880811333656311,0.3162790834903717,
419,0.1287783533334732,4,,,,,,
429,0.0689311996102333,4,,,,,,
439,0.06953535974025726,4,,,,,,
449,0.07383838295936584,4,,,,,,
459,0.047138817608356476,4,,,,,,
469,0.08345318585634232,4,,,,,,
479,0.03583620488643646,4,,,,,,
489,0.05991586670279503,4,,,,,,
499,0.27037304639816284,4,,,,,,
509,0.04917189106345177,4,,,,,,
514,,4,0.09602686762809753,0.6111646890640259,0.6696759462356567,0.8808510303497314,0.3395348787307739,
515,,5,,,,,,0.09602686762809753
