train_loss,step,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_qa_em,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1
2.3611252307891846,9,0,,,,,,,,,,
1.8282020092010498,19,0,,,,,,,,,,
1.2920299768447876,29,0,,,,,,,,,,
2.7868309020996094,39,0,,,,,,,,,,
1.4116660356521606,49,0,,,,,,,,,,
2.2674639225006104,59,0,,,,,,,,,,
1.6702158451080322,69,0,,,,,,,,,,
2.2357757091522217,79,0,,,,,,,,,,
2.881436824798584,89,0,,,,,,,,,,
2.4002249240875244,99,0,,,,,,,,,,
,100,0,1.9826335906982422,0.7362450361251831,0.1891833394765854,0.2773885130882263,0.07446808367967606,,,,,
1.9047709703445435,109,1,,,,,,,,,,
2.4947142601013184,119,1,,,,,,,,,,
1.7265434265136719,129,1,,,,,,,,,,
1.7581483125686646,139,1,,,,,,,,,,
2.311929941177368,149,1,,,,,,,,,,
1.6265588998794556,159,1,,,,,,,,,,
2.106820821762085,169,1,,,,,,,,,,
2.171830177307129,179,1,,,,,,,,,,
1.2261866331100464,189,1,,,,,,,,,,
1.8400049209594727,199,1,,,,,,,,,,
,201,1,1.892721176147461,0.7687729597091675,0.2672094404697418,0.3410390317440033,0.12978723645210266,,,,,
1.6024495363235474,209,2,,,,,,,,,,
2.6813037395477295,219,2,,,,,,,,,,
1.4755513668060303,229,2,,,,,,,,,,
1.8774714469909668,239,2,,,,,,,,,,
1.9819793701171875,249,2,,,,,,,,,,
1.7313919067382812,259,2,,,,,,,,,,
1.5695257186889648,269,2,,,,,,,,,,
1.376382827758789,279,2,,,,,,,,,,
1.807892918586731,289,2,,,,,,,,,,
1.301848292350769,299,2,,,,,,,,,,
,302,2,1.8433618545532227,0.7735912203788757,0.28230020403862,0.35495808720588684,0.12978723645210266,,,,,
1.8531969785690308,309,3,,,,,,,,,,
2.2384960651397705,319,3,,,,,,,,,,
1.6607407331466675,329,3,,,,,,,,,,
1.1195759773254395,339,3,,,,,,,,,,
1.9986233711242676,349,3,,,,,,,,,,
1.365957260131836,359,3,,,,,,,,,,
1.6445229053497314,369,3,,,,,,,,,,
1.4376320838928223,379,3,,,,,,,,,,
1.8582203388214111,389,3,,,,,,,,,,
0.8057167530059814,399,3,,,,,,,,,,
,403,3,1.8146644830703735,0.7745627760887146,0.294488787651062,0.38398438692092896,0.1425531953573227,,,,,
1.7063571214675903,409,4,,,,,,,,,,
1.273776650428772,419,4,,,,,,,,,,
1.1216737031936646,429,4,,,,,,,,,,
2.15643048286438,439,4,,,,,,,,,,
2.41955828666687,449,4,,,,,,,,,,
1.4577817916870117,459,4,,,,,,,,,,
1.545047402381897,469,4,,,,,,,,,,
1.0025382041931152,479,4,,,,,,,,,,
1.1668148040771484,489,4,,,,,,,,,,
2.1498875617980957,499,4,,,,,,,,,,
,504,4,1.8120582103729248,0.7788097262382507,0.3066752552986145,0.3975667357444763,0.1531914919614792,,,,,
,505,5,,,,,,0.7788097262382507,0.1531914919614792,1.8120582103729248,0.3975667357444763,0.3066752552986145
