step,epoch,train_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_answer_f1
9,0,3.7709879875183105,,,,,,,,,,
19,0,1.6618587970733643,,,,,,,,,,
29,0,2.7006468772888184,,,,,,,,,,
39,0,2.3276777267456055,,,,,,,,,,
49,0,2.3920512199401855,,,,,,,,,,
53,0,,0.7478657364845276,0.23119758069515228,0.19609178602695465,1.974285364151001,0.1135135143995285,,,,,
59,1,1.8883492946624756,,,,,,,,,,
69,1,1.6938939094543457,,,,,,,,,,
79,1,2.2706661224365234,,,,,,,,,,
89,1,2.5905208587646484,,,,,,,,,,
99,1,1.9084733724594116,,,,,,,,,,
107,1,,0.7933526635169983,0.3663425147533417,0.3206782341003418,1.6821774244308472,0.18378378450870514,,,,,
109,2,2.2209534645080566,,,,,,,,,,
119,2,1.9247866868972778,,,,,,,,,,
129,2,1.5520724058151245,,,,,,,,,,
139,2,7.254786014556885,,,,,,,,,,
149,2,1.87222158908844,,,,,,,,,,
159,2,1.5463995933532715,,,,,,,,,,
161,2,,0.8115003108978271,0.4236486256122589,0.3763955235481262,1.5475600957870483,0.227027028799057,,,,,
169,3,1.697134017944336,,,,,,,,,,
179,3,4.4215545654296875,,,,,,,,,,
189,3,1.3999768495559692,,,,,,,,,,
199,3,1.346034049987793,,,,,,,,,,
209,3,1.7276898622512817,,,,,,,,,,
215,3,,0.8307344317436218,0.47776660323143005,0.4351329207420349,1.490979790687561,0.2702702581882477,,,,,
219,4,0.8526230454444885,,,,,,,,,,
229,4,1.7287631034851074,,,,,,,,,,
239,4,1.5307400226593018,,,,,,,,,,
249,4,0.37114694714546204,,,,,,,,,,
259,4,3.118380069732666,,,,,,,,,,
269,4,1.6011098623275757,,,,,,,,,,
269,4,,0.836622953414917,0.5052727460861206,0.4646824598312378,1.4405736923217773,0.31351351737976074,,,,,
270,5,,,,,,,0.31351351737976074,0.5052727460861206,1.4405736923217773,0.836622953414917,0.4646824598312378
