epoch,step,train_loss,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_em,val_qa_bert_score,test_loss
0,9,0.10368133336305618,,,,,,
0,19,0.10230270773172379,,,,,,
0,29,0.07403553277254105,,,,,,
0,39,0.06616492569446564,,,,,,
0,49,0.0633542537689209,,,,,,
0,59,0.05402126908302307,,,,,,
0,69,0.05262017622590065,,,,,,
0,79,0.05206522345542908,,,,,,
0,89,0.0671328455209732,,,,,,
0,99,0.05630403012037277,,,,,,
0,109,0.04439541697502136,,,,,,
0,119,0.053207483142614365,,,,,,
0,129,0.0677056536078453,,,,,,
0,139,0.08222510665655136,,,,,,
0,149,0.04378097131848335,,,,,,
0,159,0.044617909938097,,,,,,
0,169,0.06468737125396729,,,,,,
0,179,0.03389758616685867,,,,,,
0,186,,0.1020573303103447,0.41957178711891174,0.3346642553806305,0.27225130796432495,0.849322497844696,
1,189,0.04027082026004791,,,,,,
1,199,0.0449935644865036,,,,,,
1,209,0.05635829642415047,,,,,,
1,219,0.051598623394966125,,,,,,
1,229,0.036327771842479706,,,,,,
1,239,0.03954648599028587,,,,,,
1,249,0.05361998453736305,,,,,,
1,259,0.043626975268125534,,,,,,
1,269,0.062225837260484695,,,,,,
1,279,0.06441666185855865,,,,,,
1,289,0.0534878708422184,,,,,,
1,299,0.035438958555459976,,,,,,
1,309,0.04780746251344681,,,,,,
1,319,0.02563689462840557,,,,,,
1,329,0.04108147695660591,,,,,,
1,339,0.03464894741773605,,,,,,
1,349,0.03887929022312164,,,,,,
1,359,0.03505468741059303,,,,,,
1,369,0.0497114360332489,,,,,,
1,373,,0.09024651348590851,0.6867983937263489,0.6511308550834656,0.6204188466072083,0.9220911264419556,
2,379,0.026437908411026,,,,,,
2,389,0.0357576347887516,,,,,,
2,399,0.022998929023742676,,,,,,
2,409,0.02882382459938526,,,,,,
2,419,0.030712388455867767,,,,,,
2,429,0.01996093988418579,,,,,,
2,439,0.030144313350319862,,,,,,
2,449,0.031296506524086,,,,,,
2,459,0.0337296761572361,,,,,,
2,469,0.05402586981654167,,,,,,
2,479,0.03753974661231041,,,,,,
2,489,0.0597536675632,,,,,,
2,499,0.05404209718108177,,,,,,
2,509,0.033130791038274765,,,,,,
2,519,0.022477982565760612,,,,,,
2,529,0.04580827057361603,,,,,,
2,539,0.04155585914850235,,,,,,
2,549,0.021301425993442535,,,,,,
2,559,0.038133010268211365,,,,,,
2,560,,0.06803461164236069,0.7172868251800537,0.6909306049346924,0.6649214625358582,0.9303582310676575,
3,569,0.05593416839838028,,,,,,
3,579,0.033680085092782974,,,,,,
3,589,0.025546928867697716,,,,,,
3,599,0.04914974048733711,,,,,,
3,609,0.022687498480081558,,,,,,
3,619,0.018593763932585716,,,,,,
3,629,0.06705087423324585,,,,,,
3,639,0.029674772173166275,,,,,,
3,649,0.04725709930062294,,,,,,
3,659,0.009052937850356102,,,,,,
3,669,0.024124791845679283,,,,,,
3,679,0.023791329935193062,,,,,,
3,689,0.020551731809973717,,,,,,
3,699,0.031689561903476715,,,,,,
3,709,0.02843119204044342,,,,,,
3,719,0.016169998794794083,,,,,,
3,729,0.011525583453476429,,,,,,
3,739,0.02708515338599682,,,,,,
3,747,,0.0687660202383995,0.7275322079658508,0.701124370098114,0.6753926873207092,0.9325273036956787,
4,749,0.012490591034293175,,,,,,
4,759,0.034269291907548904,,,,,,
4,769,0.019545385614037514,,,,,,
4,779,0.016926702111959457,,,,,,
4,789,0.014671972952783108,,,,,,
4,799,0.021978026255965233,,,,,,
4,809,0.019864970818161964,,,,,,
4,819,0.021159665659070015,,,,,,
4,829,0.013063224032521248,,,,,,
4,839,0.012547534890472889,,,,,,
4,849,0.004399320110678673,,,,,,
4,859,0.004511804319918156,,,,,,
4,869,0.046954624354839325,,,,,,
4,879,0.007430374156683683,,,,,,
4,889,0.007382053881883621,,,,,,
4,899,0.042011503130197525,,,,,,
4,909,0.031752441078424454,,,,,,
4,919,0.006338456179946661,,,,,,
4,929,0.008270894177258015,,,,,,
4,934,,0.08701618760824203,0.7266858220100403,0.6992602348327637,0.6727748513221741,0.9320358633995056,
5,935,,,,,,,0.08701618760824203
