epoch,step,train_loss,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,val_qa_answer_f1,test_loss
0,9,1.2966848611831665,,,,,,
0,19,0.26151761412620544,,,,,,
0,29,0.5181198120117188,,,,,,
0,39,0.42780637741088867,,,,,,
0,49,0.375305712223053,,,,,,
0,59,0.5042445659637451,,,,,,
0,69,0.4306318461894989,,,,,,
0,79,0.6270610094070435,,,,,,
0,89,0.3430473804473877,,,,,,
0,99,0.7766633629798889,,,,,,
0,102,,0.5579290986061096,0.14185193181037903,0.3185840845108032,0.8573358058929443,0.48887118697166443,
1,109,0.6426522135734558,,,,,,
1,119,1.9637951850891113,,,,,,
1,129,0.8573563098907471,,,,,,
1,139,0.11276115477085114,,,,,,
1,149,0.771373987197876,,,,,,
1,159,0.14610636234283447,,,,,,
1,169,0.27470293641090393,,,,,,
1,179,0.2162303924560547,,,,,,
1,189,0.34995192289352417,,,,,,
1,199,0.5131652355194092,,,,,,
1,205,,0.5732311606407166,0.14239633083343506,0.37168142199516296,0.866416871547699,0.5199581980705261,
2,209,0.12641727924346924,,,,,,
2,219,0.24582824110984802,,,,,,
2,229,0.18158818781375885,,,,,,
2,239,0.28902074694633484,,,,,,
2,249,0.12754642963409424,,,,,,
2,259,0.0885293260216713,,,,,,
2,269,0.2878084182739258,,,,,,
2,279,0.08665714412927628,,,,,,
2,289,0.6234140396118164,,,,,,
2,299,0.13370856642723083,,,,,,
2,308,,0.5907865762710571,0.14056582748889923,0.39823007583618164,0.8710046410560608,0.5424567461013794,
3,309,0.1185261532664299,,,,,,
3,319,0.0758361741900444,,,,,,
3,329,0.13294635713100433,,,,,,
3,339,0.038113489747047424,,,,,,
3,349,0.24127252399921417,,,,,,
3,359,0.10367511212825775,,,,,,
3,369,0.07744752615690231,,,,,,
3,379,0.26181358098983765,,,,,,
3,389,0.07753611356019974,,,,,,
3,399,0.1822270154953003,,,,,,
3,409,0.22461798787117004,,,,,,
3,411,,0.602749228477478,0.14491473138332367,0.4115044176578522,0.8733863234519958,0.5539320111274719,
4,419,0.06264207512140274,,,,,,
4,429,0.1289326548576355,,,,,,
4,439,0.27599912881851196,,,,,,
4,449,0.018986191600561142,,,,,,
4,459,0.0674990639090538,,,,,,
4,469,0.0342818945646286,,,,,,
4,479,0.045218575745821,,,,,,
4,489,0.21348059177398682,,,,,,
4,499,0.025093110278248787,,,,,,
4,509,0.11607024073600769,,,,,,
4,514,,0.5930098295211792,0.1575366109609604,0.4159291982650757,0.8691207766532898,0.5417730808258057,
5,515,,,,,,,0.1575366109609604
