step,epoch,train_loss,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,2.104876756668091,,,,,,,,,,
19,0,0.7722376585006714,,,,,,,,,,
29,0,0.9016422033309937,,,,,,,,,,
39,0,0.6972475647926331,,,,,,,,,,
49,0,0.9186064004898071,,,,,,,,,,
59,0,0.85640549659729,,,,,,,,,,
62,0,,0.8188872933387756,0.35383814573287964,0.39990687370300293,0.2631579041481018,0.3263295590877533,,,,,
69,1,0.4058997631072998,,,,,,,,,,
79,1,0.32389283180236816,,,,,,,,,,
89,1,0.4754578471183777,,,,,,,,,,
99,1,0.4466267228126526,,,,,,,,,,
109,1,0.6983582973480225,,,,,,,,,,
119,1,0.40766191482543945,,,,,,,,,,
125,1,,0.8267895579338074,0.3998991549015045,0.3337535858154297,0.3245614171028137,0.36081066727638245,,,,,
129,2,0.4295092225074768,,,,,,,,,,
139,2,0.6409805417060852,,,,,,,,,,
149,2,0.36446699500083923,,,,,,,,,,
159,2,0.43291667103767395,,,,,,,,,,
169,2,0.3461383283138275,,,,,,,,,,
179,2,0.3108103275299072,,,,,,,,,,
188,2,,0.8457410335540771,0.4559786021709442,0.29896825551986694,0.37719297409057617,0.40850549936294556,,,,,
189,3,0.5759724974632263,,,,,,,,,,
199,3,0.34013378620147705,,,,,,,,,,
209,3,0.4051622152328491,,,,,,,,,,
219,3,0.30567607283592224,,,,,,,,,,
229,3,0.4174783229827881,,,,,,,,,,
239,3,0.34576740860939026,,,,,,,,,,
249,3,0.33241018652915955,,,,,,,,,,
251,3,,0.8469451069831848,0.4570440351963043,0.2865276336669922,0.3815789520740509,0.4117942452430725,,,,,
259,4,0.4421507716178894,,,,,,,,,,
269,4,0.3243916928768158,,,,,,,,,,
279,4,0.34902310371398926,,,,,,,,,,
289,4,0.3732220232486725,,,,,,,,,,
299,4,0.273649126291275,,,,,,,,,,
309,4,0.29821160435676575,,,,,,,,,,
314,4,,0.8519681692123413,0.4765573740005493,0.2759786546230316,0.3947368562221527,0.4249429702758789,,,,,
315,5,,,,,,,0.3947368562221527,0.4765573740005493,0.2759786546230316,0.8519681692123413,0.4249429702758789
