epoch,train_loss,step,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_answer_f1
0,0.7614420056343079,9,,,,,,,,,,
0,0.4696807861328125,19,,,,,,,,,,
0,0.4420391321182251,29,,,,,,,,,,
0,0.215280219912529,39,,,,,,,,,,
0,0.47665733098983765,49,,,,,,,,,,
0,0.44120410084724426,59,,,,,,,,,,
0,0.23802049458026886,69,,,,,,,,,,
0,0.296587735414505,79,,,,,,,,,,
0,0.2838320732116699,89,,,,,,,,,,
0,0.2680983245372772,99,,,,,,,,,,
0,0.28985559940338135,109,,,,,,,,,,
0,0.4534560441970825,119,,,,,,,,,,
0,0.24347823858261108,129,,,,,,,,,,
0,0.26125332713127136,139,,,,,,,,,,
0,0.38767755031585693,149,,,,,,,,,,
0,0.34606367349624634,159,,,,,,,,,,
0,0.19662123918533325,169,,,,,,,,,,
0,0.09991919994354248,179,,,,,,,,,,
0,,179,0.2586035430431366,0.2826666533946991,0.39444318413734436,0.8309815526008606,0.3460620939731598,,,,,
1,0.28030267357826233,189,,,,,,,,,,
1,0.1841810792684555,199,,,,,,,,,,
1,0.24533836543560028,209,,,,,,,,,,
1,0.35694998502731323,219,,,,,,,,,,
1,0.18807221949100494,229,,,,,,,,,,
1,0.15495213866233826,239,,,,,,,,,,
1,0.428274542093277,249,,,,,,,,,,
1,0.23727896809577942,259,,,,,,,,,,
1,0.27518174052238464,269,,,,,,,,,,
1,0.24957208335399628,279,,,,,,,,,,
1,0.13253341615200043,289,,,,,,,,,,
1,0.17976827919483185,299,,,,,,,,,,
1,0.15701670944690704,309,,,,,,,,,,
1,0.1279945820569992,319,,,,,,,,,,
1,0.2647406756877899,329,,,,,,,,,,
1,0.26494860649108887,339,,,,,,,,,,
1,0.3069283962249756,349,,,,,,,,,,
1,0.1517147272825241,359,,,,,,,,,,
1,,359,0.2391515076160431,0.3319999873638153,0.4259012043476105,0.8354642987251282,0.38729244470596313,,,,,
2,0.23234684765338898,369,,,,,,,,,,
2,0.15118174254894257,379,,,,,,,,,,
2,0.13974827527999878,389,,,,,,,,,,
2,0.23102667927742004,399,,,,,,,,,,
2,0.25908780097961426,409,,,,,,,,,,
2,0.17183667421340942,419,,,,,,,,,,
2,0.14776450395584106,429,,,,,,,,,,
2,0.31030037999153137,439,,,,,,,,,,
2,0.16540353000164032,449,,,,,,,,,,
2,0.1940573900938034,459,,,,,,,,,,
2,0.17215988039970398,469,,,,,,,,,,
2,0.15995946526527405,479,,,,,,,,,,
2,0.24590107798576355,489,,,,,,,,,,
2,0.2657935321331024,499,,,,,,,,,,
2,0.12032825499773026,509,,,,,,,,,,
2,0.20002438127994537,519,,,,,,,,,,
2,0.182231143116951,529,,,,,,,,,,
2,0.1562289297580719,539,,,,,,,,,,
2,,539,0.21364633738994598,0.390666663646698,0.4763477146625519,0.8551439046859741,0.446275919675827,,,,,
3,0.21123704314231873,549,,,,,,,,,,
3,0.1883956491947174,559,,,,,,,,,,
3,0.27809077501296997,569,,,,,,,,,,
3,0.15872399508953094,579,,,,,,,,,,
3,0.1276051253080368,589,,,,,,,,,,
3,0.21811945736408234,599,,,,,,,,,,
3,0.2076704204082489,609,,,,,,,,,,
3,0.21723869442939758,619,,,,,,,,,,
3,0.16810888051986694,629,,,,,,,,,,
3,0.14354495704174042,639,,,,,,,,,,
3,0.1433805227279663,649,,,,,,,,,,
3,0.1132437065243721,659,,,,,,,,,,
3,0.30746573209762573,669,,,,,,,,,,
3,0.11665023863315582,679,,,,,,,,,,
3,0.189154714345932,689,,,,,,,,,,
3,0.16925549507141113,699,,,,,,,,,,
3,0.138957217335701,709,,,,,,,,,,
3,0.1758735626935959,719,,,,,,,,,,
3,,719,0.21131427586078644,0.3840000033378601,0.4679293930530548,0.8525397777557373,0.4386516809463501,,,,,
4,0.25406932830810547,729,,,,,,,,,,
4,0.18988221883773804,739,,,,,,,,,,
4,0.1275363266468048,749,,,,,,,,,,
4,0.14504176378250122,759,,,,,,,,,,
4,0.1646493673324585,769,,,,,,,,,,
4,0.19139806926250458,779,,,,,,,,,,
4,0.14687533676624298,789,,,,,,,,,,
4,0.19132153689861298,799,,,,,,,,,,
4,0.16525980830192566,809,,,,,,,,,,
4,0.13990141451358795,819,,,,,,,,,,
4,0.1441110372543335,829,,,,,,,,,,
4,0.1855425387620926,839,,,,,,,,,,
4,0.10702742636203766,849,,,,,,,,,,
4,0.12574444711208344,859,,,,,,,,,,
4,0.2584867477416992,869,,,,,,,,,,
4,0.18269985914230347,879,,,,,,,,,,
4,0.0936325266957283,889,,,,,,,,,,
4,0.2149537354707718,899,,,,,,,,,,
4,,899,0.203115314245224,0.40533334016799927,0.4907591938972473,0.862568736076355,0.4630405604839325,,,,,
5,,900,,,,,,0.4907591938972473,0.40533334016799927,0.203115314245224,0.862568736076355,0.4630405604839325
