epoch,step,train_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_sas
0,9,2.76377010345459,,,,,,,,,,
0,19,1.938253402709961,,,,,,,,,,
0,29,2.140686273574829,,,,,,,,,,
0,39,1.7744598388671875,,,,,,,,,,
0,49,1.425384283065796,,,,,,,,,,
0,50,,0.15100249648094177,0.7000254392623901,0.06956521421670914,0.1348983347415924,1.6818684339523315,,,,,
1,59,1.1186811923980713,,,,,,,,,,
1,69,1.6599292755126953,,,,,,,,,,
1,79,1.4307984113693237,,,,,,,,,,
1,89,2.0868659019470215,,,,,,,,,,
1,99,1.312063217163086,,,,,,,,,,
1,101,,0.2991112768650055,0.770502507686615,0.16521738469600677,0.27785158157348633,1.457015037536621,,,,,
2,109,0.9835389852523804,,,,,,,,,,
2,119,1.6822818517684937,,,,,,,,,,
2,129,1.6514874696731567,,,,,,,,,,
2,139,0.9415283203125,,,,,,,,,,
2,149,1.1572092771530151,,,,,,,,,,
2,152,,0.35141721367836,0.806463360786438,0.22608695924282074,0.333731472492218,1.3756427764892578,,,,,
3,159,1.0013504028320312,,,,,,,,,,
3,169,1.0199475288391113,,,,,,,,,,
3,179,0.8985345363616943,,,,,,,,,,
3,189,1.286733865737915,,,,,,,,,,
3,199,0.9230912923812866,,,,,,,,,,
3,203,,0.4860381484031677,0.8408437371253967,0.321739137172699,0.45126476883888245,1.274533748626709,,,,,
4,209,0.8690446615219116,,,,,,,,,,
4,219,0.8392534255981445,,,,,,,,,,
4,229,0.933349072933197,,,,,,,,,,
4,239,0.8356335759162903,,,,,,,,,,
4,249,0.5823264122009277,,,,,,,,,,
4,254,,0.5236742496490479,0.8526240587234497,0.37826088070869446,0.4882093667984009,1.1541142463684082,,,,,
5,255,,,,,,,0.4882093667984009,0.8526240587234497,0.37826088070869446,1.1541142463684082,0.5236742496490479
