step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
9,2.185779094696045,0,,,,,,,,,,
19,0.7770440578460693,0,,,,,,,,,,
29,0.7469034790992737,0,,,,,,,,,,
39,0.7568926215171814,0,,,,,,,,,,
49,1.082187533378601,0,,,,,,,,,,
59,1.0360047817230225,0,,,,,,,,,,
62,,0,0.31246230006217957,0.4435904324054718,0.7968835830688477,0.21052631735801697,0.26156413555145264,,,,,
69,0.4520336389541626,1,,,,,,,,,,
79,0.35520288348197937,1,,,,,,,,,,
89,0.5546754002571106,1,,,,,,,,,,
99,0.44939765334129333,1,,,,,,,,,,
109,0.6325217485427856,1,,,,,,,,,,
119,0.3627012073993683,1,,,,,,,,,,
125,,1,0.3717498481273651,0.36917203664779663,0.8230904936790466,0.2763157784938812,0.32961538434028625,,,,,
129,0.4429199695587158,2,,,,,,,,,,
139,0.6010778546333313,2,,,,,,,,,,
149,0.5238645672798157,2,,,,,,,,,,
159,0.6027247905731201,2,,,,,,,,,,
169,0.3474677801132202,2,,,,,,,,,,
179,0.30366501212120056,2,,,,,,,,,,
188,,2,0.3629990518093109,0.3485126793384552,0.8194616436958313,0.2719298303127289,0.3125028908252716,,,,,
189,0.6721148490905762,3,,,,,,,,,,
199,0.3229876458644867,3,,,,,,,,,,
209,0.494342178106308,3,,,,,,,,,,
219,0.295975923538208,3,,,,,,,,,,
229,0.5028229355812073,3,,,,,,,,,,
239,0.3400786817073822,3,,,,,,,,,,
249,0.4265788197517395,3,,,,,,,,,,
251,,3,0.41297101974487305,0.3456763029098511,0.8320561647415161,0.3333333432674408,0.3656688332557678,,,,,
259,0.356913685798645,4,,,,,,,,,,
269,0.32223597168922424,4,,,,,,,,,,
279,0.31800946593284607,4,,,,,,,,,,
289,0.3178866505622864,4,,,,,,,,,,
299,0.27736935019493103,4,,,,,,,,,,
309,0.4012224078178406,4,,,,,,,,,,
314,,4,0.45357245206832886,0.30971452593803406,0.8489360809326172,0.3684210479259491,0.41129574179649353,,,,,
315,,5,,,,,,0.8489360809326172,0.45357245206832886,0.41129574179649353,0.3684210479259491,0.30971452593803406
