step,epoch,train_loss,val_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,test_loss
9,0,0.8058431148529053,,,,,,
19,0,0.6339637041091919,,,,,,
29,0,0.6780568957328796,,,,,,
39,0,0.47957053780555725,,,,,,
49,0,0.4441055953502655,,,,,,
59,0,0.46227896213531494,,,,,,
69,0,0.4463683068752289,,,,,,
79,0,0.7483816146850586,,,,,,
89,0,0.6912365555763245,,,,,,
99,0,0.4075538218021393,,,,,,
99,0,,0.3568061590194702,0.29674795269966125,0.43327197432518005,0.462594598531723,0.821436882019043,
109,1,0.2310781627893448,,,,,,
119,1,0.27107569575309753,,,,,,
129,1,1.0061126947402954,,,,,,
139,1,0.3460770547389984,,,,,,
149,1,0.4157641530036926,,,,,,
159,1,0.6639194488525391,,,,,,
169,1,0.30489081144332886,,,,,,
179,1,0.6823078989982605,,,,,,
189,1,0.6956583857536316,,,,,,
199,1,0.3251611590385437,,,,,,
199,1,,0.3274189829826355,0.3983739912509918,0.5189816951751709,0.542540431022644,0.8500596284866333,
209,2,0.16325260698795319,,,,,,
219,2,0.16842502355575562,,,,,,
229,2,0.6249192357063293,,,,,,
239,2,0.24113619327545166,,,,,,
249,2,0.18339639902114868,,,,,,
259,2,0.4546860158443451,,,,,,
269,2,0.12749597430229187,,,,,,
279,2,0.3902577757835388,,,,,,
289,2,0.48150691390037537,,,,,,
299,2,0.14445461332798004,,,,,,
299,2,,0.3193513751029968,0.4268292784690857,0.5420220494270325,0.5598124861717224,0.854615330696106,
309,3,0.08948881924152374,,,,,,
319,3,0.08141355216503143,,,,,,
329,3,0.39135581254959106,,,,,,
339,3,0.18678011000156403,,,,,,
349,3,0.0805954560637474,,,,,,
359,3,0.27086442708969116,,,,,,
369,3,0.049719225615262985,,,,,,
379,3,0.2152388095855713,,,,,,
389,3,0.33109918236732483,,,,,,
399,3,0.06629032641649246,,,,,,
399,3,,0.32792556285858154,0.42276424169540405,0.5494200587272644,0.5690004825592041,0.8550390601158142,
409,4,0.042132649570703506,,,,,,
419,4,0.04039233177900314,,,,,,
429,4,0.26966023445129395,,,,,,
439,4,0.14126940071582794,,,,,,
449,4,0.027313560247421265,,,,,,
459,4,0.17187421023845673,,,,,,
469,4,0.023587306961417198,,,,,,
479,4,0.09120135009288788,,,,,,
489,4,0.1653345674276352,,,,,,
499,4,0.040783438831567764,,,,,,
499,4,,0.352103054523468,0.45121949911117554,0.5743039846420288,0.5935945510864258,0.8619723916053772,
500,5,,,,,,,0.352103054523468
