epoch,step,train_loss,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_bert_score
0,9,0.4956016540527344,,,,,,,,,,
0,19,0.3835403025150299,,,,,,,,,,
0,29,0.24867437779903412,,,,,,,,,,
0,39,0.14222344756126404,,,,,,,,,,
0,49,0.1627434939146042,,,,,,,,,,
0,59,0.24078404903411865,,,,,,,,,,
0,69,0.15850934386253357,,,,,,,,,,
0,79,0.17816871404647827,,,,,,,,,,
0,89,0.1274433434009552,,,,,,,,,,
0,94,,0.8713269233703613,0.38504156470298767,0.11185046285390854,0.49637505412101746,0.4420311450958252,,,,,
1,99,0.09072652459144592,,,,,,,,,,
1,109,0.1198754534125328,,,,,,,,,,
1,119,0.10026305913925171,,,,,,,,,,
1,129,0.10021546483039856,,,,,,,,,,
1,139,0.12848414480686188,,,,,,,,,,
1,149,0.15901948511600494,,,,,,,,,,
1,159,0.09345625340938568,,,,,,,,,,
1,169,0.13973358273506165,,,,,,,,,,
1,179,0.13841328024864197,,,,,,,,,,
1,189,0.12293186038732529,,,,,,,,,,
1,189,,0.8872641921043396,0.4515235424041748,0.09933076798915863,0.5531908273696899,0.5052270889282227,,,,,
2,199,0.1017335057258606,,,,,,,,,,
2,209,0.15123146772384644,,,,,,,,,,
2,219,0.08827419579029083,,,,,,,,,,
2,229,0.12148305028676987,,,,,,,,,,
2,239,0.10800917446613312,,,,,,,,,,
2,249,0.06921106576919556,,,,,,,,,,
2,259,0.12948696315288544,,,,,,,,,,
2,269,0.09863252192735672,,,,,,,,,,
2,279,0.16642597317695618,,,,,,,,,,
2,284,,0.8941453099250793,0.49307480454444885,0.09581605345010757,0.5791652798652649,0.5380032062530518,,,,,
3,289,0.07545647770166397,,,,,,,,,,
3,299,0.10776320099830627,,,,,,,,,,
3,309,0.10393597930669785,,,,,,,,,,
3,319,0.1160491481423378,,,,,,,,,,
3,329,0.13892453908920288,,,,,,,,,,
3,339,0.09480300545692444,,,,,,,,,,
3,349,0.14646844565868378,,,,,,,,,,
3,359,0.10242246091365814,,,,,,,,,,
3,369,0.08803188800811768,,,,,,,,,,
3,379,0.10947952419519424,,,,,,,,,,
3,379,,0.8925919532775879,0.49030470848083496,0.09750161319971085,0.574823796749115,0.5334736108779907,,,,,
4,389,0.1028466522693634,,,,,,,,,,
4,399,0.08991037309169769,,,,,,,,,,
4,409,0.06342483311891556,,,,,,,,,,
4,419,0.10986646264791489,,,,,,,,,,
4,429,0.10691569745540619,,,,,,,,,,
4,439,0.11436591297388077,,,,,,,,,,
4,449,0.08811909705400467,,,,,,,,,,
4,459,0.07569792121648788,,,,,,,,,,
4,469,0.16028918325901031,,,,,,,,,,
4,474,,0.8971010446548462,0.49861496686935425,0.09245247393846512,0.5812563896179199,0.5487017631530762,,,,,
5,475,,,,,,,0.09245247393846512,0.5487017631530762,0.5812563896179199,0.49861496686935425,0.8971010446548462
