epoch,step,train_loss,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_bert_score
0,9,0.5609785914421082,,,,,,,,,,
0,19,0.17404697835445404,,,,,,,,,,
0,29,0.23565857112407684,,,,,,,,,,
0,39,0.18351994454860687,,,,,,,,,,
0,49,0.1321367770433426,,,,,,,,,,
0,59,0.13099679350852966,,,,,,,,,,
0,69,0.10798539221286774,,,,,,,,,,
0,79,0.10117416083812714,,,,,,,,,,
0,89,0.31037577986717224,,,,,,,,,,
0,99,0.13121946156024933,,,,,,,,,,
0,109,0.1149514690041542,,,,,,,,,,
0,119,0.11740823835134506,,,,,,,,,,
0,124,,0.545229434967041,0.0807616114616394,0.897584855556488,0.5867276787757874,0.503685474395752,,,,,
1,129,0.12859465181827545,,,,,,,,,,
1,139,0.42132332921028137,,,,,,,,,,
1,149,0.14310576021671295,,,,,,,,,,
1,159,0.08294081687927246,,,,,,,,,,
1,169,0.1313966065645218,,,,,,,,,,
1,179,0.11700809001922607,,,,,,,,,,
1,189,0.11060813814401627,,,,,,,,,,
1,199,0.09803933650255203,,,,,,,,,,
1,209,0.13030384480953217,,,,,,,,,,
1,219,0.0650763139128685,,,,,,,,,,
1,229,0.4348215162754059,,,,,,,,,,
1,239,0.045916929841041565,,,,,,,,,,
1,249,0.07446721941232681,,,,,,,,,,
1,249,,0.6014031171798706,0.07201642543077469,0.9074647426605225,0.6270264983177185,0.560196578502655,,,,,
2,259,0.048340629786252975,,,,,,,,,,
2,269,0.17790044844150543,,,,,,,,,,
2,279,0.10119564086198807,,,,,,,,,,
2,289,0.07791462540626526,,,,,,,,,,
2,299,0.08980758488178253,,,,,,,,,,
2,309,0.08195223659276962,,,,,,,,,,
2,319,0.08540714532136917,,,,,,,,,,
2,329,0.09463102370500565,,,,,,,,,,
2,339,0.07134521007537842,,,,,,,,,,
2,349,0.05949964001774788,,,,,,,,,,
2,359,0.1259785145521164,,,,,,,,,,
2,369,0.20751775801181793,,,,,,,,,,
2,374,,0.6225334405899048,0.06751228123903275,0.9136311411857605,0.6495562791824341,0.5847665667533875,,,,,
3,379,0.10664786398410797,,,,,,,,,,
3,389,0.06177582964301109,,,,,,,,,,
3,399,0.07850827276706696,,,,,,,,,,
3,409,0.06969038397073746,,,,,,,,,,
3,419,0.14903594553470612,,,,,,,,,,
3,429,0.08847405016422272,,,,,,,,,,
3,439,0.06342828273773193,,,,,,,,,,
3,449,0.12857098877429962,,,,,,,,,,
3,459,0.07181736826896667,,,,,,,,,,
3,469,0.0706143006682396,,,,,,,,,,
3,479,0.1382186859846115,,,,,,,,,,
3,489,0.09376459568738937,,,,,,,,,,
3,499,0.14523231983184814,,,,,,,,,,
3,499,,0.6386116147041321,0.06420636922121048,0.9170989394187927,0.6608136296272278,0.601965606212616,,,,,
4,509,0.08136825263500214,,,,,,,,,,
4,519,0.07541728019714355,,,,,,,,,,
4,529,0.06175387650728226,,,,,,,,,,
4,539,0.09957637637853622,,,,,,,,,,
4,549,0.09560105204582214,,,,,,,,,,
4,559,0.08081607520580292,,,,,,,,,,
4,569,0.06145620718598366,,,,,,,,,,
4,579,0.10229119658470154,,,,,,,,,,
4,589,0.03844310715794563,,,,,,,,,,
4,599,0.07338913530111313,,,,,,,,,,
4,609,0.07596299797296524,,,,,,,,,,
4,619,0.04694464057683945,,,,,,,,,,
4,624,,0.6629217267036438,0.06309827417135239,0.9235521554946899,0.6845399141311646,0.6289926171302795,,,,,
5,625,,,,,,,0.6845399141311646,0.6629217267036438,0.06309827417135239,0.6289926171302795,0.9235521554946899
