step,epoch,train_loss,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,val_loss,test_loss
9,0,0.4080795347690582,,,,,,
19,0,0.25691699981689453,,,,,,
29,0,0.3059594929218292,,,,,,
39,0,0.2152317464351654,,,,,,
49,0,0.26143789291381836,,,,,,
59,0,0.21308016777038574,,,,,,
69,0,0.455649197101593,,,,,,
79,0,0.2692174017429352,,,,,,
89,0,0.20246624946594238,,,,,,
99,0,0.2761017084121704,,,,,,
109,0,0.09821689128875732,,,,,,
119,0,0.23332856595516205,,,,,,
129,0,0.20214278995990753,,,,,,
139,0,0.25623956322669983,,,,,,
149,0,0.1693928837776184,,,,,,
159,0,0.09799232333898544,,,,,,
169,0,0.233914315700531,,,,,,
179,0,0.2280638962984085,,,,,,
189,0,0.106653593480587,,,,,,
199,0,0.13380645215511322,,,,,,
209,0,0.14334018528461456,,,,,,
219,0,0.1397106647491455,,,,,,
229,0,0.17504411935806274,,,,,,
239,0,0.1798485964536667,,,,,,
249,0,0.14979073405265808,,,,,,
259,0,0.29153525829315186,,,,,,
269,0,0.14948832988739014,,,,,,
279,0,0.19769185781478882,,,,,,
289,0,0.12965983152389526,,,,,,
299,0,0.2283521145582199,,,,,,
309,0,0.2454691380262375,,,,,,
319,0,0.2154124528169632,,,,,,
329,0,0.19660165905952454,,,,,,
339,0,0.19031326472759247,,,,,,
349,0,0.2190903276205063,,,,,,
359,0,0.19762158393859863,,,,,,
369,0,0.15425030887126923,,,,,,
379,0,0.1971701979637146,,,,,,
389,0,0.16649828851222992,,,,,,
399,0,0.12461342662572861,,,,,,
409,0,0.13921618461608887,,,,,,
419,0,0.1885291486978531,,,,,,
429,0,0.1624668687582016,,,,,,
439,0,0.1254323273897171,,,,,,
449,0,0.1674078106880188,,,,,,
459,0,0.19572386145591736,,,,,,
469,0,0.22316041588783264,,,,,,
479,0,0.19623932242393494,,,,,,
489,0,0.07757171988487244,,,,,,
499,0,0.16284847259521484,,,,,,
509,0,0.12351499497890472,,,,,,
519,0,0.18837031722068787,,,,,,
529,0,0.16461247205734253,,,,,,
539,0,0.15092074871063232,,,,,,
549,0,0.12727901339530945,,,,,,
559,0,0.11909037828445435,,,,,,
569,0,0.0761299878358841,,,,,,
579,0,0.1842537820339203,,,,,,
589,0,0.2129264622926712,,,,,,
599,0,0.24812249839305878,,,,,,
609,0,0.4783078134059906,,,,,,
619,0,0.17404384911060333,,,,,,
629,0,0.2101496458053589,,,,,,
639,0,0.08999820053577423,,,,,,
649,0,0.14528724551200867,,,,,,
659,0,0.1732901930809021,,,,,,
669,0,0.1273156702518463,,,,,,
679,0,0.18402226269245148,,,,,,
689,0,0.1937769651412964,,,,,,
699,0,0.15014034509658813,,,,,,
709,0,0.15473619103431702,,,,,,
719,0,0.16402213275432587,,,,,,
729,0,0.10049229115247726,,,,,,
739,0,0.14936138689517975,,,,,,
749,0,0.11774073541164398,,,,,,
759,0,0.1199161559343338,,,,,,
769,0,0.13387919962406158,,,,,,
779,0,0.17390990257263184,,,,,,
789,0,0.1610531061887741,,,,,,
799,0,0.09568130970001221,,,,,,
809,0,0.1120324358344078,,,,,,
819,0,0.13798698782920837,,,,,,
829,0,0.17042720317840576,,,,,,
839,0,0.09481115639209747,,,,,,
849,0,0.09114450216293335,,,,,,
859,0,0.20828545093536377,,,,,,
869,0,0.1535567045211792,,,,,,
879,0,0.08655674755573273,,,,,,
889,0,0.19256813824176788,,,,,,
899,0,0.08371403813362122,,,,,,
909,0,0.09179450571537018,,,,,,
919,0,0.10894931107759476,,,,,,
