train_loss,step,epoch,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,val_loss,test_loss
1.3477805852890015,9,0,,,,,,
0.43641120195388794,19,0,,,,,,
0.43466630578041077,29,0,,,,,,
0.3258514702320099,39,0,,,,,,
0.6226682066917419,49,0,,,,,,
0.23502448201179504,59,0,,,,,,
0.5228530764579773,69,0,,,,,,
0.4190131425857544,79,0,,,,,,
0.3112083673477173,89,0,,,,,,
0.20895493030548096,99,0,,,,,,
0.20211151242256165,109,0,,,,,,
0.29728370904922485,119,0,,,,,,
,123,0,0.23359958827495575,0.23254841566085815,0.7875601649284363,0.1525423675775528,0.07505534589290619,
0.2081076055765152,129,1,,,,,,
0.23303525149822235,139,1,,,,,,
0.2407955527305603,149,1,,,,,,
0.3529582917690277,159,1,,,,,,
0.25676774978637695,169,1,,,,,,
0.21853649616241455,179,1,,,,,,
0.4135400950908661,189,1,,,,,,
0.17537952959537506,199,1,,,,,,
0.19670456647872925,209,1,,,,,,
0.1265215277671814,219,1,,,,,,
0.4198315441608429,229,1,,,,,,
0.21088097989559174,239,1,,,,,,
,247,1,0.2591703236103058,0.2571621239185333,0.7958968877792358,0.19491524994373322,0.06507009267807007,
0.16021563112735748,249,2,,,,,,
0.16364353895187378,259,2,,,,,,
0.1623951494693756,269,2,,,,,,
0.13111291825771332,279,2,,,,,,
0.14831824600696564,289,2,,,,,,
0.10353528708219528,299,2,,,,,,
0.183077871799469,309,2,,,,,,
0.19352813065052032,319,2,,,,,,
0.1677735596895218,329,2,,,,,,
0.07965663075447083,339,2,,,,,,
0.03773882985115051,349,2,,,,,,
0.10071412473917007,359,2,,,,,,
0.12710578739643097,369,2,,,,,,
,371,2,0.3089207410812378,0.2931496202945709,0.8059318661689758,0.25,0.06752660125494003,
0.11042077839374542,379,3,,,,,,
0.11093565821647644,389,3,,,,,,
0.1598445624113083,399,3,,,,,,
0.07534663379192352,409,3,,,,,,
0.11229841411113739,419,3,,,,,,
0.10789899528026581,429,3,,,,,,
0.09733745455741882,439,3,,,,,,
0.09216739982366562,449,3,,,,,,
0.053601909428834915,459,3,,,,,,
0.12447991967201233,469,3,,,,,,
0.06745065003633499,479,3,,,,,,
0.07162808626890182,489,3,,,,,,
,495,3,0.31279388070106506,0.2970542907714844,0.810124397277832,0.26271185278892517,0.07426059246063232,
0.05278600752353668,499,4,,,,,,
0.03322877734899521,509,4,,,,,,
0.0918237566947937,519,4,,,,,,
0.0957217887043953,529,4,,,,,,
0.058353111147880554,539,4,,,,,,
0.059053633362054825,549,4,,,,,,
0.05568245053291321,559,4,,,,,,
0.07304725795984268,569,4,,,,,,
0.05911950767040253,579,4,,,,,,
0.08273254334926605,589,4,,,,,,
0.026047656312584877,599,4,,,,,,
0.035259395837783813,609,4,,,,,,
0.0026081011164933443,619,4,,,,,,
,619,4,0.3530324101448059,0.33540746569633484,0.8194413781166077,0.2838982939720154,0.083622507750988,
,620,5,,,,,,0.083622507750988
