step,train_loss,epoch,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score
9,0.3689408302307129,0,,,,,,,,,,
19,0.2570856511592865,0,,,,,,,,,,
29,0.30957937240600586,0,,,,,,,,,,
39,0.22825272381305695,0,,,,,,,,,,
49,0.15838733315467834,0,,,,,,,,,,
59,0.17458097636699677,0,,,,,,,,,,
69,0.1389763206243515,0,,,,,,,,,,
79,0.1709429919719696,0,,,,,,,,,,
89,0.11105169355869293,0,,,,,,,,,,
96,,0,0.5081031322479248,0.44431835412979126,0.0991525948047638,0.8770349621772766,0.4055727422237396,,,,,
99,0.12170280516147614,1,,,,,,,,,,
109,0.12264308333396912,1,,,,,,,,,,
119,0.12608617544174194,1,,,,,,,,,,
129,0.11911923438310623,1,,,,,,,,,,
139,0.13131657242774963,1,,,,,,,,,,
149,0.12909483909606934,1,,,,,,,,,,
159,0.14169208705425262,1,,,,,,,,,,
169,0.0930476188659668,1,,,,,,,,,,
179,0.16604512929916382,1,,,,,,,,,,
189,0.11371014267206192,1,,,,,,,,,,
193,,1,0.591924786567688,0.5485438704490662,0.0827491506934166,0.8946526646614075,0.5108358860015869,,,,,
199,0.08682256191968918,2,,,,,,,,,,
209,0.11066274344921112,2,,,,,,,,,,
219,0.136027529835701,2,,,,,,,,,,
229,0.11999069899320602,2,,,,,,,,,,
239,0.0903908982872963,2,,,,,,,,,,
249,0.204729363322258,2,,,,,,,,,,
259,0.11296592652797699,2,,,,,,,,,,
269,0.1848393976688385,2,,,,,,,,,,
279,0.07832109928131104,2,,,,,,,,,,
289,0.12054592370986938,2,,,,,,,,,,
290,,2,0.62646484375,0.6003168821334839,0.07393006980419159,0.906296968460083,0.5634675025939941,,,,,
299,0.09445848315954208,3,,,,,,,,,,
309,0.12228357046842575,3,,,,,,,,,,
319,0.06633920967578888,3,,,,,,,,,,
329,0.1334482878446579,3,,,,,,,,,,
339,0.08152089267969131,3,,,,,,,,,,
349,0.09435321390628815,3,,,,,,,,,,
359,0.11265884339809418,3,,,,,,,,,,
369,0.08214057981967926,3,,,,,,,,,,
379,0.12423258274793625,3,,,,,,,,,,
387,,3,0.6364862322807312,0.603881299495697,0.06917604804039001,0.9090777635574341,0.5634675025939941,,,,,
389,0.11746978759765625,4,,,,,,,,,,
399,0.16135920584201813,4,,,,,,,,,,
409,0.07613656669855118,4,,,,,,,,,,
419,0.08139152824878693,4,,,,,,,,,,
429,0.11191201210021973,4,,,,,,,,,,
439,0.07266057282686234,4,,,,,,,,,,
449,0.0973019152879715,4,,,,,,,,,,
459,0.07631320506334305,4,,,,,,,,,,
469,0.07643909007310867,4,,,,,,,,,,
479,0.06342017650604248,4,,,,,,,,,,
484,,4,0.6230933666229248,0.5993366241455078,0.06987133622169495,0.9067261219024658,0.5572755336761475,,,,,
485,,5,,,,,,0.06987133622169495,0.6230933666229248,0.5993366241455078,0.5572755336761475,0.9067261219024658
