step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,val_qa_answer_f1,test_loss
9,1.4116076231002808,0,,,,,,
19,0.8717735409736633,0,,,,,,
29,0.45880016684532166,0,,,,,,
39,0.4874778687953949,0,,,,,,
49,0.9954913854598999,0,,,,,,
59,0.6367153525352478,0,,,,,,
69,0.8795575499534607,0,,,,,,
79,0.7773488759994507,0,,,,,,
89,1.177191138267517,0,,,,,,
99,0.766916811466217,0,,,,,,
101,,0,0.26779940724372864,0.8189886808395386,0.49656856060028076,0.269565224647522,0.4444367587566376,
109,0.6222360730171204,1,,,,,,
119,0.4017617702484131,1,,,,,,
129,0.8379082679748535,1,,,,,,
139,0.2994312047958374,1,,,,,,
149,0.6861791014671326,1,,,,,,
159,0.8759351968765259,1,,,,,,
169,0.5088165402412415,1,,,,,,
179,0.46656346321105957,1,,,,,,
189,0.42699089646339417,1,,,,,,
199,0.3655935525894165,1,,,,,,
203,,1,0.24269044399261475,0.8537617921829224,0.5746137499809265,0.40434783697128296,0.5351043939590454,
209,0.9044278860092163,2,,,,,,
219,0.3359549939632416,2,,,,,,
229,0.5176376700401306,2,,,,,,
239,0.33899879455566406,2,,,,,,
249,0.3440631330013275,2,,,,,,
259,0.2198103666305542,2,,,,,,
269,0.27764463424682617,2,,,,,,
279,0.6414588689804077,2,,,,,,
289,0.6713622212409973,2,,,,,,
299,0.3689291775226593,2,,,,,,
305,,2,0.23529715836048126,0.8716381788253784,0.6219162940979004,0.4434782564640045,0.5850561261177063,
309,0.4252822995185852,3,,,,,,
319,0.25067636370658875,3,,,,,,
329,0.41216719150543213,3,,,,,,
339,0.6971505284309387,3,,,,,,
349,0.3726066052913666,3,,,,,,
359,0.38312065601348877,3,,,,,,
369,0.22685320675373077,3,,,,,,
379,0.395880788564682,3,,,,,,
389,0.2920001745223999,3,,,,,,
399,0.3627530336380005,3,,,,,,
407,,3,0.23338639736175537,0.8811840415000916,0.6489348411560059,0.47826087474823,0.6174006462097168,
409,0.21991869807243347,4,,,,,,
419,0.2834412753582001,4,,,,,,
429,0.2723295986652374,4,,,,,,
439,0.11902643740177155,4,,,,,,
449,0.2999495565891266,4,,,,,,
459,0.0321059376001358,4,,,,,,
469,0.22834385931491852,4,,,,,,
479,0.7878567576408386,4,,,,,,
489,0.1816616654396057,4,,,,,,
499,2.5980305671691895,4,,,,,,
509,0.4224580228328705,4,,,,,,
509,,4,0.24359279870986938,0.8813710808753967,0.6408945322036743,0.47826087474823,0.6110402941703796,
510,,5,,,,,,0.24359279870986938
