step,epoch,train_loss,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,val_qa_bert_score,test_loss
9,0,0.24740935862064362,,,,,,
19,0,0.1274966150522232,,,,,,
29,0,0.09006324410438538,,,,,,
39,0,0.21373090147972107,,,,,,
49,0,0.17147064208984375,,,,,,
59,0,1.6966743469238281,,,,,,
69,0,0.4016915261745453,,,,,,
79,0,0.16080309450626373,,,,,,
89,0,0.14845295250415802,,,,,,
99,0,0.13169877231121063,,,,,,
109,0,0.06425634026527405,,,,,,
109,0,,0.588940441608429,0.29012346267700195,0.6412296295166016,0.12738385796546936,0.8849447965621948,
119,1,0.16207978129386902,,,,,,
129,1,0.14874310791492462,,,,,,
139,1,0.2250605970621109,,,,,,
149,1,0.24421878159046173,,,,,,
159,1,0.20536698400974274,,,,,,
169,1,0.2927319407463074,,,,,,
179,1,0.1050611063838005,,,,,,
189,1,0.1039329245686531,,,,,,
199,1,0.17463040351867676,,,,,,
209,1,0.07307945191860199,,,,,,
219,1,0.44487470388412476,,,,,,
219,1,,0.6070241332054138,0.32098764181137085,0.6780856847763062,0.12264122068881989,0.8912874460220337,
229,2,0.14663371443748474,,,,,,
239,2,0.14940378069877625,,,,,,
249,2,0.13585209846496582,,,,,,
259,2,0.21565446257591248,,,,,,
269,2,0.11934547126293182,,,,,,
279,2,0.2474667876958847,,,,,,
289,2,0.10555744171142578,,,,,,
299,2,0.07302969694137573,,,,,,
309,2,0.13063479959964752,,,,,,
319,2,0.07161585986614227,,,,,,
329,2,0.4809626042842865,,,,,,
329,2,,0.6602405309677124,0.3827160596847534,0.7055215835571289,0.11380800604820251,0.9054114818572998,
339,3,0.08688638359308243,,,,,,
349,3,0.07926108688116074,,,,,,
359,3,0.12331632524728775,,,,,,
369,3,0.09989926964044571,,,,,,
379,3,0.08162956684827805,,,,,,
389,3,0.12520557641983032,,,,,,
399,3,0.0719207376241684,,,,,,
409,3,0.06215398386120796,,,,,,
419,3,0.0926235020160675,,,,,,
429,3,0.03274098411202431,,,,,,
439,3,0.42324143648147583,,,,,,
439,3,,0.6333414316177368,0.3395061790943146,0.6926941275596619,0.10727380216121674,0.8981989026069641,
449,4,0.04747305065393448,,,,,,
459,4,0.05512490123510361,,,,,,
469,4,0.06053522601723671,,,,,,
479,4,0.05240600183606148,,,,,,
489,4,0.04440675303339958,,,,,,
499,4,0.0601123608648777,,,,,,
509,4,0.05294298008084297,,,,,,
519,4,0.03482317179441452,,,,,,
529,4,0.04820987209677696,,,,,,
539,4,0.01600261963903904,,,,,,
549,4,0.16130229830741882,,,,,,
549,4,,0.6313745379447937,0.3580246865749359,0.6960937976837158,0.11533275991678238,0.8985603451728821,
550,5,,,,,,,0.11533275991678238
