step,train_loss,epoch,val_qa_sas,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_loss,test_loss
9,0.11909356713294983,0,,,,,,
19,0.06772540509700775,0,,,,,,
29,0.1380762755870819,0,,,,,,
39,0.05568517744541168,0,,,,,,
49,0.06117085739970207,0,,,,,,
59,0.060182392597198486,0,,,,,,
69,0.06505666673183441,0,,,,,,
79,0.04520348086953163,0,,,,,,
89,0.06665173172950745,0,,,,,,
99,0.05669919028878212,0,,,,,,
109,0.05055367201566696,0,,,,,,
119,0.06259668618440628,0,,,,,,
129,0.05235527455806732,0,,,,,,
139,0.08241957426071167,0,,,,,,
149,0.04511403292417526,0,,,,,,
159,0.05175008252263069,0,,,,,,
169,0.05357063189148903,0,,,,,,
179,0.05394778400659561,0,,,,,,
189,0.08331770449876785,0,,,,,,
193,,0,0.35446634888648987,0.1764705926179886,0.24769721925258636,0.8272578716278076,0.11299696564674377,
199,0.06462971866130829,1,,,,,,
209,0.047184109687805176,1,,,,,,
219,0.04502907022833824,1,,,,,,
229,0.06241818889975548,1,,,,,,
239,0.06463363021612167,1,,,,,,
249,0.04200120270252228,1,,,,,,
259,0.0538334995508194,1,,,,,,
269,0.04242841154336929,1,,,,,,
279,0.05085288733243942,1,,,,,,
289,0.061305977404117584,1,,,,,,
299,0.04626765102148056,1,,,,,,
309,0.05659806355834007,1,,,,,,
319,0.052091654390096664,1,,,,,,
329,0.03976093977689743,1,,,,,,
339,0.09335502237081528,1,,,,,,
349,0.034632183611392975,1,,,,,,
359,0.05725182965397835,1,,,,,,
369,0.06102404370903969,1,,,,,,
379,0.058963216841220856,1,,,,,,
387,,1,0.36839067935943604,0.20123839378356934,0.2667785584926605,0.8330655097961426,0.10862258076667786,
389,0.05642808601260185,2,,,,,,
399,0.06744050979614258,2,,,,,,
409,0.0502796545624733,2,,,,,,
419,0.045466549694538116,2,,,,,,
429,0.04555855691432953,2,,,,,,
439,0.046638548374176025,2,,,,,,
449,0.04809483140707016,2,,,,,,
459,0.05901963636279106,2,,,,,,
469,0.038355909287929535,2,,,,,,
479,0.07227668911218643,2,,,,,,
489,0.04360505938529968,2,,,,,,
499,0.0708266869187355,2,,,,,,
509,0.0369146466255188,2,,,,,,
519,0.07357954233884811,2,,,,,,
529,0.0427982360124588,2,,,,,,
539,0.05320742726325989,2,,,,,,
549,0.03778507560491562,2,,,,,,
559,0.06719634681940079,2,,,,,,
569,0.05481019988656044,2,,,,,,
579,0.03787795081734657,2,,,,,,
581,,2,0.35836854577064514,0.19504643976688385,0.26240482926368713,0.8321256637573242,0.11362428963184357,
589,0.04651768505573273,3,,,,,,
599,0.04551573470234871,3,,,,,,
609,0.03930671140551567,3,,,,,,
619,0.056930363178253174,3,,,,,,
629,0.028641877695918083,3,,,,,,
639,0.032570838928222656,3,,,,,,
649,0.04663383960723877,3,,,,,,
659,0.04932297393679619,3,,,,,,
669,0.06343422830104828,3,,,,,,
679,0.03580225631594658,3,,,,,,
689,0.0415254607796669,3,,,,,,
699,0.039389096200466156,3,,,,,,
709,0.030218910425901413,3,,,,,,
719,0.0488198846578598,3,,,,,,
729,0.030375657603144646,3,,,,,,
739,0.027791371569037437,3,,,,,,
749,0.04053143039345741,3,,,,,,
759,0.029746633023023605,3,,,,,,
769,0.04234426096081734,3,,,,,,
775,,3,0.36900457739830017,0.21671827137470245,0.283082515001297,0.835788905620575,0.13945887982845306,
779,0.036348309367895126,4,,,,,,
789,0.027664711698889732,4,,,,,,
799,0.036764517426490784,4,,,,,,
809,0.025774328038096428,4,,,,,,
819,0.03830156475305557,4,,,,,,
829,0.025650063529610634,4,,,,,,
839,0.02502797730267048,4,,,,,,
849,0.024699397385120392,4,,,,,,
859,0.0457315519452095,4,,,,,,
869,0.023557592183351517,4,,,,,,
879,0.01730518229305744,4,,,,,,
889,0.01518320944160223,4,,,,,,
899,0.02110615372657776,4,,,,,,
909,0.010638735257089138,4,,,,,,
919,0.016818683594465256,4,,,,,,
929,0.01927977427840233,4,,,,,,
939,0.012925596907734871,4,,,,,,
949,0.013266223482787609,4,,,,,,
959,0.011038906872272491,4,,,,,,
969,0.005845026578754187,4,,,,,,
969,,4,0.3789471983909607,0.23529411852359772,0.2973322570323944,0.8393807411193848,0.26928550004959106,
970,,5,,,,,,0.26928550004959106
