train_loss,step,epoch,val_qa_em,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_sas,test_loss
0.8488288521766663,9,0,,,,,,
0.7257527112960815,19,0,,,,,,
0.5288464426994324,29,0,,,,,,
0.4867885410785675,39,0,,,,,,
0.4477790296077728,49,0,,,,,,
0.7077504396438599,59,0,,,,,,
0.48588088154792786,69,0,,,,,,
0.471227765083313,79,0,,,,,,
0.3046081066131592,89,0,,,,,,
0.34177884459495544,99,0,,,,,,
,107,0,0.3513513505458832,0.8534306287765503,0.5405329465866089,0.17445793747901917,0.5786139965057373,
0.7114091515541077,109,1,,,,,,
0.4908987581729889,119,1,,,,,,
0.2621191740036011,129,1,,,,,,
0.14096106588840485,139,1,,,,,,
0.30047163367271423,149,1,,,,,,
0.7209686636924744,159,1,,,,,,
0.40417835116386414,169,1,,,,,,
0.2018466740846634,179,1,,,,,,
0.38259223103523254,189,1,,,,,,
0.7187463045120239,199,1,,,,,,
0.5016582012176514,209,1,,,,,,
,215,1,0.4486486613750458,0.8813676238059998,0.6261793971061707,0.146213561296463,0.6618991494178772,
0.13180632889270782,219,2,,,,,,
0.1827002763748169,229,2,,,,,,
0.21065731346607208,239,2,,,,,,
0.6489007472991943,249,2,,,,,,
0.07484481483697891,259,2,,,,,,
0.14920638501644135,269,2,,,,,,
0.25357717275619507,279,2,,,,,,
0.4502844512462616,289,2,,,,,,
0.20003026723861694,299,2,,,,,,
0.23141394555568695,309,2,,,,,,
0.18376514315605164,319,2,,,,,,
,323,2,0.4324324429035187,0.8794720768928528,0.6243253350257874,0.14253273606300354,0.6652668118476868,
0.14666065573692322,329,3,,,,,,
0.07175563275814056,339,3,,,,,,
0.36899781227111816,349,3,,,,,,
0.10807593166828156,359,3,,,,,,
0.17141194641590118,369,3,,,,,,
0.17287671566009521,379,3,,,,,,
0.14188650250434875,389,3,,,,,,
0.135525181889534,399,3,,,,,,
0.4026598632335663,409,3,,,,,,
0.09496305137872696,419,3,,,,,,
0.20593804121017456,429,3,,,,,,
,431,3,0.4324324429035187,0.8777537941932678,0.6179970502853394,0.1524553745985031,0.6538653373718262,
0.05140906572341919,439,4,,,,,,
0.05239463970065117,449,4,,,,,,
0.3350304365158081,459,4,,,,,,
0.026581067591905594,469,4,,,,,,
0.020960791036486626,479,4,,,,,,
0.06136656925082207,489,4,,,,,,
0.7271979451179504,499,4,,,,,,
0.03137567639350891,509,4,,,,,,
0.05603406950831413,519,4,,,,,,
0.06633295118808746,529,4,,,,,,
0.035071004182100296,539,4,,,,,,
,539,4,0.41081079840660095,0.8743448853492737,0.6012378334999084,0.1665540188550949,0.6440892219543457,
,540,5,,,,,,0.1665540188550949
