train_loss,epoch,step,val_qa_sas,val_qa_answer_f1,val_qa_em,val_loss,val_qa_bert_score
0.7571479082107544,0,9,,,,,
0.7953775525093079,0,19,,,,,
0.7736296057701111,0,29,,,,,
0.4240734577178955,0,39,,,,,
0.5348820090293884,0,49,,,,,
0.3997627794742584,0,59,,,,,
0.34933632612228394,0,69,,,,,
0.2760966420173645,0,79,,,,,
0.3918246328830719,0,89,,,,,
0.372097373008728,0,99,,,,,
0.26470568776130676,0,109,,,,,
0.350282222032547,0,119,,,,,
0.20713716745376587,0,129,,,,,
0.31750738620758057,0,139,,,,,
0.19179627299308777,0,149,,,,,
0.33114513754844666,0,159,,,,,
0.3063928782939911,0,169,,,,,
,0,172,0.3487277626991272,0.30795344710350037,0.25528913736343384,0.23534570634365082,0.7945072650909424
0.29988932609558105,1,179,,,,,
0.3032290041446686,1,189,,,,,
0.31386828422546387,1,199,,,,,
0.16816499829292297,1,209,,,,,
0.25389325618743896,1,219,,,,,
0.2727106809616089,1,229,,,,,
0.18169383704662323,1,239,,,,,
0.18611973524093628,1,249,,,,,
0.23014406859874725,1,259,,,,,
0.17862722277641296,1,269,,,,,
0.3706493079662323,1,279,,,,,
0.2976623475551605,1,289,,,,,
0.18283356726169586,1,299,,,,,
0.3571610450744629,1,309,,,,,
0.3258754014968872,1,319,,,,,
0.28113049268722534,1,329,,,,,
0.16278907656669617,1,339,,,,,
,1,345,0.40016818046569824,0.36600178480148315,0.3173483908176422,0.20150558650493622,0.8147414922714233
0.2015506625175476,2,349,,,,,
0.2222958505153656,2,359,,,,,
0.222382590174675,2,369,,,,,
0.1877571940422058,2,379,,,,,
0.22143183648586273,2,389,,,,,
0.14363938570022583,2,399,,,,,
0.238223135471344,2,409,,,,,
0.2722405791282654,2,419,,,,,
0.36953961849212646,2,429,,,,,
0.301224946975708,2,439,,,,,
0.18179364502429962,2,449,,,,,
0.26623886823654175,2,459,,,,,
0.27159881591796875,2,469,,,,,
0.23907367885112762,2,479,,,,,
0.1386626809835434,2,489,,,,,
0.31065353751182556,2,499,,,,,
0.11374194920063019,2,509,,,,,
,2,518,0.44240179657936096,0.41316986083984375,0.35825106501579285,0.18725712597370148,0.835387647151947
0.3330725133419037,3,519,,,,,
0.12022171169519424,3,529,,,,,
0.13088952004909515,3,539,,,,,
0.14550408720970154,3,549,,,,,
0.21071764826774597,3,559,,,,,
0.1674177050590515,3,569,,,,,
0.13364453613758087,3,579,,,,,
0.16977274417877197,3,589,,,,,
0.14542068541049957,3,599,,,,,
0.27516281604766846,3,609,,,,,
0.21670673787593842,3,619,,,,,
0.12108486145734787,3,629,,,,,
0.2011471688747406,3,639,,,,,
0.18498064577579498,3,649,,,,,
0.16204704344272614,3,659,,,,,
0.1583321988582611,3,669,,,,,
0.24480865895748138,3,679,,,,,
0.13673247396945953,3,689,,,,,
,3,691,0.47944337129592896,0.4586186408996582,0.41184768080711365,0.17831285297870636,0.8453509211540222
