epoch,train_loss,step,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,val_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
0,0.3610135316848755,9,,,,,,,,,,
0,0.2693425118923187,19,,,,,,,,,,
0,0.24393749237060547,29,,,,,,,,,,
0,0.13511234521865845,39,,,,,,,,,,
0,0.12640368938446045,49,,,,,,,,,,
0,0.1631431132555008,59,,,,,,,,,,
0,0.11386652290821075,69,,,,,,,,,,
0,0.13191653788089752,79,,,,,,,,,,
0,0.07805990427732468,89,,,,,,,,,,
0,,90,0.12402131408452988,0.8922920823097229,0.5648871660232544,0.470862478017807,0.5243702530860901,,,,,
1,0.1323583722114563,99,,,,,,,,,,
1,0.11110863089561462,109,,,,,,,,,,
1,0.11753541976213455,119,,,,,,,,,,
1,0.09586226940155029,129,,,,,,,,,,
1,0.11789315938949585,139,,,,,,,,,,
1,0.1367667019367218,149,,,,,,,,,,
1,0.09318042546510696,159,,,,,,,,,,
1,0.07091400772333145,169,,,,,,,,,,
1,0.10164499282836914,179,,,,,,,,,,
1,,181,0.11660507321357727,0.9035905003547668,0.6045826077461243,0.5221444964408875,0.5709841251373291,,,,,
2,0.10618662089109421,189,,,,,,,,,,
2,0.06486663967370987,199,,,,,,,,,,
2,0.12003152817487717,209,,,,,,,,,,
2,0.07473842054605484,219,,,,,,,,,,
2,0.14900094270706177,229,,,,,,,,,,
2,0.09708398580551147,239,,,,,,,,,,
2,0.12315836548805237,249,,,,,,,,,,
2,0.08009906113147736,259,,,,,,,,,,
2,0.1345616579055786,269,,,,,,,,,,
2,,272,0.113367959856987,0.9056141972541809,0.6153971552848816,0.5384615659713745,0.582276463508606,,,,,
3,0.047555483877658844,279,,,,,,,,,,
3,0.13316190242767334,289,,,,,,,,,,
3,0.08925322443246841,299,,,,,,,,,,
3,0.11268966645002365,309,,,,,,,,,,
3,0.09329314529895782,319,,,,,,,,,,
3,0.12705135345458984,329,,,,,,,,,,
3,0.09488784521818161,339,,,,,,,,,,
3,0.047591470181941986,349,,,,,,,,,,
3,0.11189544945955276,359,,,,,,,,,,
3,,363,0.11192928999662399,0.9111717343330383,0.6340693831443787,0.559440553188324,0.603428065776825,,,,,
4,0.06653115153312683,369,,,,,,,,,,
4,0.0954117402434349,379,,,,,,,,,,
4,0.09840701520442963,389,,,,,,,,,,
4,0.06252243369817734,399,,,,,,,,,,
4,0.059464726597070694,409,,,,,,,,,,
4,0.0702168196439743,419,,,,,,,,,,
4,0.07078474760055542,429,,,,,,,,,,
4,0.03980627655982971,439,,,,,,,,,,
4,0.06866175681352615,449,,,,,,,,,,
4,,454,0.11221954226493835,0.9108834862709045,0.6330024003982544,0.5641025900840759,0.6051414608955383,,,,,
5,,455,,,,,,0.5641025900840759,0.11221954226493835,0.6330024003982544,0.6051414608955383,0.9108834862709045
