epoch,train_loss,step,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_bert_score,test_loss
0,1.405705213546753,9,,,,,,,,,,
0,0.9818246960639954,19,,,,,,,,,,
0,1.0786172151565552,29,,,,,,,,,,
0,0.8483814597129822,39,,,,,,,,,,
0,0.5319738984107971,49,,,,,,,,,,
0,0.9037261009216309,59,,,,,,,,,,
0,0.15836313366889954,69,,,,,,,,,,
0,0.3978748023509979,79,,,,,,,,,,
0,1.235019564628601,89,,,,,,,,,,
0,0.8056535124778748,99,,,,,,,,,,
0,0.9152065515518188,109,,,,,,,,,,
0,0.93898606300354,119,,,,,,,,,,
0,,124,0.38779541850090027,0.49640369415283203,0.5401265025138855,0.4373464286327362,0.8858181238174438,,,,,
1,0.7391965985298157,129,,,,,,,,,,
1,1.202723503112793,139,,,,,,,,,,
1,1.07838773727417,149,,,,,,,,,,
1,0.8505815267562866,159,,,,,,,,,,
1,0.45052435994148254,169,,,,,,,,,,
1,0.25103679299354553,179,,,,,,,,,,
1,0.36664247512817383,189,,,,,,,,,,
1,0.8821504712104797,199,,,,,,,,,,
1,0.5133638381958008,209,,,,,,,,,,
1,0.8919569253921509,219,,,,,,,,,,
1,0.9838933944702148,229,,,,,,,,,,
1,0.3787517547607422,239,,,,,,,,,,
1,0.8172473907470703,249,,,,,,,,,,
1,,249,0.36496615409851074,0.551906943321228,0.5932291746139526,0.46437346935272217,0.898346483707428,,,,,
2,0.8003579378128052,259,,,,,,,,,,
2,1.3337229490280151,269,,,,,,,,,,
2,0.6675862669944763,279,,,,,,,,,,
2,0.4133639335632324,289,,,,,,,,,,
2,0.6412672400474548,299,,,,,,,,,,
2,0.12009580433368683,309,,,,,,,,,,
2,0.5114849805831909,319,,,,,,,,,,
2,0.2566886842250824,329,,,,,,,,,,
2,0.17956048250198364,339,,,,,,,,,,
2,0.4957817494869232,349,,,,,,,,,,
2,0.5153566598892212,359,,,,,,,,,,
2,0.372403621673584,369,,,,,,,,,,
2,,374,0.35296937823295593,0.5469229221343994,0.5884816646575928,0.46437346935272217,0.8974419236183167,,,,,
3,0.34470173716545105,379,,,,,,,,,,
3,0.285287469625473,389,,,,,,,,,,
3,0.629583477973938,399,,,,,,,,,,
3,0.557412326335907,409,,,,,,,,,,
3,0.14437778294086456,419,,,,,,,,,,
3,0.8823629021644592,429,,,,,,,,,,
3,0.5155690908432007,439,,,,,,,,,,
3,0.06661947071552277,449,,,,,,,,,,
3,0.5096698999404907,459,,,,,,,,,,
3,0.4522874057292938,469,,,,,,,,,,
3,0.9992671608924866,479,,,,,,,,,,
3,0.805914044380188,489,,,,,,,,,,
3,0.7565196752548218,499,,,,,,,,,,
3,,499,0.3397666811943054,0.5582618713378906,0.595932126045227,0.4742014706134796,0.8995313048362732,,,,,
4,0.4652611315250397,509,,,,,,,,,,
4,0.874555766582489,519,,,,,,,,,,
4,0.45769503712654114,529,,,,,,,,,,
4,0.46212196350097656,539,,,,,,,,,,
4,0.9981069564819336,549,,,,,,,,,,
4,0.6996603608131409,559,,,,,,,,,,
4,0.06839984655380249,569,,,,,,,,,,
4,0.49882158637046814,579,,,,,,,,,,
4,0.44415944814682007,589,,,,,,,,,,
4,0.2740844786167145,599,,,,,,,,,,
4,0.6968478560447693,609,,,,,,,,,,
4,0.5769606828689575,619,,,,,,,,,,
4,,624,0.34120631217956543,0.5576768517494202,0.5983433127403259,0.4742014706134796,0.8999736309051514,,,,,
5,,625,,,,,,0.5576768517494202,0.5983433127403259,0.4742014706134796,0.8999736309051514,0.34120631217956543
