epoch,train_loss,step,val_qa_bert_score,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas
0,0.8812758922576904,9,,,,,,,,,,
0,1.6364154815673828,19,,,,,,,,,,
0,0.9363430142402649,29,,,,,,,,,,
0,0.9203910827636719,39,,,,,,,,,,
0,0.7796260714530945,49,,,,,,,,,,
0,2.47942852973938,59,,,,,,,,,,
0,0.6689760684967041,69,,,,,,,,,,
0,1.2531075477600098,79,,,,,,,,,,
0,1.8059240579605103,89,,,,,,,,,,
0,2.4450840950012207,99,,,,,,,,,,
0,,108,0.8291127681732178,1.1411442756652832,0.51055908203125,0.18443803489208221,0.4291868507862091,,,,,
1,1.6691551208496094,109,,,,,,,,,,
1,0.4954807460308075,119,,,,,,,,,,
1,0.5619799494743347,129,,,,,,,,,,
1,1.117491602897644,139,,,,,,,,,,
1,1.4173921346664429,149,,,,,,,,,,
1,0.9506152272224426,159,,,,,,,,,,
1,1.1424239873886108,169,,,,,,,,,,
1,0.8451069593429565,179,,,,,,,,,,
1,0.7609720826148987,189,,,,,,,,,,
1,0.6466748714447021,199,,,,,,,,,,
1,1.6050102710723877,209,,,,,,,,,,
1,,217,0.8364759087562561,1.0679433345794678,0.5141934752464294,0.2219020128250122,0.4475571811199188,,,,,
2,1.2104849815368652,219,,,,,,,,,,
2,1.025307297706604,229,,,,,,,,,,
2,0.9347660541534424,239,,,,,,,,,,
2,1.193862795829773,249,,,,,,,,,,
2,0.8721603751182556,259,,,,,,,,,,
2,1.1801897287368774,269,,,,,,,,,,
2,1.3118515014648438,279,,,,,,,,,,
2,1.3456217050552368,289,,,,,,,,,,
2,0.4660947918891907,299,,,,,,,,,,
2,0.7740164995193481,309,,,,,,,,,,
2,1.1298719644546509,319,,,,,,,,,,
2,,326,0.8447723388671875,1.0394248962402344,0.5495439171791077,0.24207492172718048,0.4716944694519043,,,,,
3,1.0893927812576294,329,,,,,,,,,,
3,1.5929203033447266,339,,,,,,,,,,
3,1.0744491815567017,349,,,,,,,,,,
3,1.1129969358444214,359,,,,,,,,,,
3,0.8457494378089905,369,,,,,,,,,,
3,0.5287988781929016,379,,,,,,,,,,
3,1.126819133758545,389,,,,,,,,,,
3,1.0101183652877808,399,,,,,,,,,,
3,0.7571382522583008,409,,,,,,,,,,
3,0.46642011404037476,419,,,,,,,,,,
3,1.0035614967346191,429,,,,,,,,,,
3,,435,0.850899875164032,1.0171141624450684,0.5532781481742859,0.2536022961139679,0.4805462658405304,,,,,
4,1.0877622365951538,439,,,,,,,,,,
4,0.6198984384536743,449,,,,,,,,,,
4,1.5828585624694824,459,,,,,,,,,,
4,1.9583079814910889,469,,,,,,,,,,
4,0.5541139245033264,479,,,,,,,,,,
4,0.5645958781242371,489,,,,,,,,,,
4,1.0760486125946045,499,,,,,,,,,,
4,1.551990270614624,509,,,,,,,,,,
4,1.2324261665344238,519,,,,,,,,,,
4,0.4473453462123871,529,,,,,,,,,,
4,0.3472447395324707,539,,,,,,,,,,
4,,544,0.854318380355835,1.0196864604949951,0.5567405223846436,0.2593660056591034,0.4900248348712921,,,,,
5,,545,,,,,,1.0196864604949951,0.2593660056591034,0.854318380355835,0.4900248348712921,0.5567405223846436
