step,train_loss,epoch,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,test_loss
9,0.9506425857543945,0,,,,,,
19,0.7084274291992188,0,,,,,,
29,0.5490461587905884,0,,,,,,
39,0.5873234272003174,0,,,,,,
49,0.3199414908885956,0,,,,,,
59,0.304226815700531,0,,,,,,
69,0.5328344702720642,0,,,,,,
79,0.3418136239051819,0,,,,,,
83,,0,0.2721518874168396,0.35344573855400085,0.38146713376045227,0.8133275508880615,0.08869925141334534,
89,0.38782861828804016,1,,,,,,
99,0.20169948041439056,1,,,,,,
109,0.14489874243736267,1,,,,,,
119,0.2507001459598541,1,,,,,,
129,0.20053184032440186,1,,,,,,
139,0.2341720163822174,1,,,,,,
149,0.2706845998764038,1,,,,,,
159,0.24212677776813507,1,,,,,,
167,,1,0.39240506291389465,0.45335954427719116,0.4378759562969208,0.8358765840530396,0.08954617381095886,
169,0.11495020985603333,2,,,,,,
179,0.32388803362846375,2,,,,,,
189,0.1703178733587265,2,,,,,,
199,0.14353372156620026,2,,,,,,
209,0.12344615906476974,2,,,,,,
219,0.0985364019870758,2,,,,,,
229,0.07618499547243118,2,,,,,,
239,0.24558185040950775,2,,,,,,
249,0.10490460693836212,2,,,,,,
251,,2,0.4113923907279968,0.4702693223953247,0.4500999450683594,0.841683030128479,0.08851581066846848,
259,0.10100647062063217,3,,,,,,
269,0.08097285777330399,3,,,,,,
279,0.07885295152664185,3,,,,,,
289,0.08335144072771072,3,,,,,,
299,0.0746288001537323,3,,,,,,
309,0.1288190335035324,3,,,,,,
319,0.06865308433771133,3,,,,,,
329,0.13345228135585785,3,,,,,,
335,,3,0.4177215099334717,0.489372581243515,0.4636514484882355,0.848909318447113,0.09038013219833374,
339,0.19217979907989502,4,,,,,,
349,0.1992211639881134,4,,,,,,
359,0.2267962247133255,4,,,,,,
369,0.23189619183540344,4,,,,,,
379,0.15493856370449066,4,,,,,,
389,0.24554747343063354,4,,,,,,
399,0.2163778841495514,4,,,,,,
409,0.09862805902957916,4,,,,,,
419,0.12511615455150604,4,,,,,,
419,,4,0.4113923907279968,0.4797504246234894,0.459766149520874,0.8447365760803223,0.0791948214173317,
420,,5,,,,,,0.09038013219833374
