train_loss,step,epoch,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_sas,test_loss
4.548205852508545,9,0,,,,,,
3.100738763809204,19,0,,,,,,
2.350756883621216,29,0,,,,,,
1.7404847145080566,39,0,,,,,,
1.5515056848526,49,0,,,,,,
1.2362861633300781,59,0,,,,,,
0.7105945944786072,69,0,,,,,,
0.8049300909042358,79,0,,,,,,
0.3728415369987488,89,0,,,,,,
0.30697959661483765,99,0,,,,,,
0.21953296661376953,109,0,,,,,,
0.14646394550800323,119,0,,,,,,
0.24667471647262573,129,0,,,,,,
0.10193133354187012,139,0,,,,,,
0.08034820109605789,149,0,,,,,,
0.043228741735219955,159,0,,,,,,
0.03921687230467796,169,0,,,,,,
0.12084916979074478,179,0,,,,,,
0.12652833759784698,189,0,,,,,,
0.0390135794878006,199,0,,,,,,
0.07485422492027283,209,0,,,,,,
0.033861495554447174,219,0,,,,,,
0.02849382348358631,229,0,,,,,,
0.016234921291470528,239,0,,,,,,
0.038358017802238464,249,0,,,,,,
0.01454976573586464,259,0,,,,,,
0.08692622929811478,269,0,,,,,,
0.07267967611551285,279,0,,,,,,
0.08258330821990967,289,0,,,,,,
0.03353573754429817,299,0,,,,,,
0.01568075641989708,309,0,,,,,,
0.022283535450696945,319,0,,,,,,
0.036558762192726135,329,0,,,,,,
0.06692615151405334,339,0,,,,,,
0.06508944928646088,349,0,,,,,,
0.01684129238128662,359,0,,,,,,
0.09840872138738632,369,0,,,,,,
0.009906316176056862,379,0,,,,,,
0.016525937244296074,389,0,,,,,,
0.024908240884542465,399,0,,,,,,
0.0277792289853096,409,0,,,,,,
0.01973915845155716,419,0,,,,,,
0.007901872508227825,429,0,,,,,,
0.00529153598472476,439,0,,,,,,
0.03713194653391838,449,0,,,,,,
0.03708324208855629,459,0,,,,,,
0.09596771746873856,469,0,,,,,,
0.009002511389553547,479,0,,,,,,
0.04379886016249657,489,0,,,,,,
0.007996704429388046,499,0,,,,,,
