train_loss,step,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_qa_em,test_loss
0.8663763999938965,9,0,,,,,,
1.2548868656158447,19,0,,,,,,
0.4882911145687103,29,0,,,,,,
0.5974973440170288,39,0,,,,,,
1.310059905052185,49,0,,,,,,
0.6180100440979004,59,0,,,,,,
0.8672793507575989,69,0,,,,,,
0.6794883608818054,79,0,,,,,,
0.3996436595916748,89,0,,,,,,
0.6432647705078125,99,0,,,,,,
,104,0,0.15968725085258484,0.8184767961502075,0.4266727566719055,0.46818864345550537,0.29487180709838867,
0.6876965761184692,109,1,,,,,,
0.5339649319648743,119,1,,,,,,
0.1817944049835205,129,1,,,,,,
0.3110925257205963,139,1,,,,,,
0.2867884933948517,149,1,,,,,,
0.46471264958381653,159,1,,,,,,
0.599694013595581,169,1,,,,,,
0.3241012692451477,179,1,,,,,,
0.31979256868362427,189,1,,,,,,
0.261918306350708,199,1,,,,,,
0.2530728578567505,209,1,,,,,,
,209,1,0.13916847109794617,0.8601322770118713,0.5523615479469299,0.5850173830986023,0.45512819290161133,
0.14413990080356598,219,2,,,,,,
0.27436232566833496,229,2,,,,,,
0.2977791726589203,239,2,,,,,,
0.26799067854881287,249,2,,,,,,
0.17864669859409332,259,2,,,,,,
0.3861098289489746,269,2,,,,,,
nan,279,2,,,,,,
0.22998163104057312,289,2,,,,,,
0.08770982921123505,299,2,,,,,,
0.1193903312087059,309,2,,,,,,
,314,2,0.13116559386253357,0.8739253878593445,0.5908231735229492,0.6288290619850159,0.4871794879436493,
0.2575176954269409,319,3,,,,,,
0.17888155579566956,329,3,,,,,,
0.059377677738666534,339,3,,,,,,
0.09724289178848267,349,3,,,,,,
0.0802408903837204,359,3,,,,,,
0.17743705213069916,369,3,,,,,,
0.19686220586299896,379,3,,,,,,
0.16595067083835602,389,3,,,,,,
0.14152792096138,399,3,,,,,,
0.09019216895103455,409,3,,,,,,
0.02036808431148529,419,3,,,,,,
,419,3,0.1356612741947174,0.8804743885993958,0.6180875301361084,0.651121973991394,0.5128205418586731,
0.05736415088176727,429,4,,,,,,
0.10681647062301636,439,4,,,,,,
0.1314549744129181,449,4,,,,,,
0.15210309624671936,459,4,,,,,,
0.06532546132802963,469,4,,,,,,
0.2496325671672821,479,4,,,,,,
0.07295792549848557,489,4,,,,,,
0.07408230006694794,499,4,,,,,,
0.021121330559253693,509,4,,,,,,
0.05049220100045204,519,4,,,,,,
,524,4,0.1465626209974289,0.8819573521614075,0.6246046423912048,0.6533129811286926,0.5320512652397156,
,525,5,,,,,,0.1465626209974289
