step,train_loss,epoch,val_qa_em,val_loss,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,test_loss
9,1.2154227495193481,0,,,,,,
19,0.8023343682289124,0,,,,,,
29,0.5812050104141235,0,,,,,,
39,0.8032975792884827,0,,,,,,
49,0.3816903233528137,0,,,,,,
59,0.3178432881832123,0,,,,,,
69,0.29686665534973145,0,,,,,,
79,0.385099858045578,0,,,,,,
83,,0,0.22727273404598236,0.09601819515228271,0.3397785425186157,0.7939978837966919,0.31132766604423523,
89,0.15602289140224457,1,,,,,,
99,0.27363720536231995,1,,,,,,
109,0.36624234914779663,1,,,,,,
119,0.17832587659358978,1,,,,,,
129,0.27364981174468994,1,,,,,,
139,0.2859116792678833,1,,,,,,
149,0.13776443898677826,1,,,,,,
159,0.33397698402404785,1,,,,,,
167,,1,0.3571428656578064,0.07117119431495667,0.398088663816452,0.8205750584602356,0.41003087162971497,
169,0.2100449651479721,2,,,,,,
179,0.1055479571223259,2,,,,,,
189,0.13137616217136383,2,,,,,,
199,0.14289137721061707,2,,,,,,
209,0.1296124905347824,2,,,,,,
219,0.1361316293478012,2,,,,,,
229,0.19349341094493866,2,,,,,,
239,0.11881254613399506,2,,,,,,
249,0.06260628253221512,2,,,,,,
251,,2,0.37662336230278015,0.06631138175725937,0.41204458475112915,0.8280708193778992,0.4344041049480438,
259,0.08856084942817688,3,,,,,,
269,0.1265852153301239,3,,,,,,
279,0.07558073848485947,3,,,,,,
289,0.1762503683567047,3,,,,,,
299,0.0832420289516449,3,,,,,,
309,0.10069767385721207,3,,,,,,
319,0.08696138113737106,3,,,,,,
329,0.05210377275943756,3,,,,,,
335,,3,0.4025973975658417,0.06713713705539703,0.4307248890399933,0.8334205746650696,0.45113086700439453,
339,0.07195663452148438,4,,,,,,
349,0.11102859675884247,4,,,,,,
359,0.053263742476701736,4,,,,,,
369,0.03722984343767166,4,,,,,,
379,0.053632333874702454,4,,,,,,
389,0.023178815841674805,4,,,,,,
399,0.071139395236969,4,,,,,,
409,0.03885948657989502,4,,,,,,
419,0.07974203675985336,4,,,,,,
419,,4,0.40909090638160706,0.06971175968647003,0.43711674213409424,0.8362706899642944,0.45776867866516113,
420,,5,,,,,,0.06971175968647003
