train_loss,epoch,step,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
0.40839117765426636,0,9,,,,,,,,,,
0.2645770311355591,0,19,,,,,,,,,,
0.18046212196350098,0,29,,,,,,,,,,
0.15028353035449982,0,39,,,,,,,,,,
0.21037425100803375,0,49,,,,,,,,,,
0.1451396644115448,0,59,,,,,,,,,,
0.14626047015190125,0,69,,,,,,,,,,
0.11881069839000702,0,79,,,,,,,,,,
0.10387777537107468,0,89,,,,,,,,,,
0.17646528780460358,0,99,,,,,,,,,,
0.20634479820728302,0,109,,,,,,,,,,
,0,117,0.4397806227207184,0.8702728152275085,0.3866666555404663,0.11084182560443878,0.5072221755981445,,,,,
0.1499960720539093,1,119,,,,,,,,,,
0.10051364451646805,1,129,,,,,,,,,,
0.264914333820343,1,139,,,,,,,,,,
0.10099999606609344,1,149,,,,,,,,,,
0.40676045417785645,1,159,,,,,,,,,,
0.21708600223064423,1,169,,,,,,,,,,
0.3879469633102417,1,179,,,,,,,,,,
0.08130157738924026,1,189,,,,,,,,,,
0.1173650473356247,1,199,,,,,,,,,,
0.10175476968288422,1,209,,,,,,,,,,
0.09278816729784012,1,219,,,,,,,,,,
0.09155479818582535,1,229,,,,,,,,,,
,1,235,0.4934164583683014,0.8828533291816711,0.44380950927734375,0.09836380928754807,0.5526872277259827,,,,,
0.2665604054927826,2,239,,,,,,,,,,
0.12094011902809143,2,249,,,,,,,,,,
0.1885068118572235,2,259,,,,,,,,,,
0.1046353131532669,2,269,,,,,,,,,,
0.13634006679058075,2,279,,,,,,,,,,
0.2669919729232788,2,289,,,,,,,,,,
0.13100659847259521,2,299,,,,,,,,,,
0.26838231086730957,2,309,,,,,,,,,,
0.07912231981754303,2,319,,,,,,,,,,
0.07506483793258667,2,329,,,,,,,,,,
0.11068380624055862,2,339,,,,,,,,,,
0.20602424442768097,2,349,,,,,,,,,,
,2,353,0.537074089050293,0.8943446278572083,0.4876190423965454,0.09115235507488251,0.5898525714874268,,,,,
0.10118690878152847,3,359,,,,,,,,,,
0.1375901848077774,3,369,,,,,,,,,,
0.1242690309882164,3,379,,,,,,,,,,
0.16146811842918396,3,389,,,,,,,,,,
0.09424380213022232,3,399,,,,,,,,,,
0.10277841240167618,3,409,,,,,,,,,,
0.10056650638580322,3,419,,,,,,,,,,
0.10019994527101517,3,429,,,,,,,,,,
0.07366971671581268,3,439,,,,,,,,,,
0.07490076869726181,3,449,,,,,,,,,,
0.14592412114143372,3,459,,,,,,,,,,
0.08137254416942596,3,469,,,,,,,,,,
,3,471,0.5499217510223389,0.8974829912185669,0.5009523630142212,0.08745206892490387,0.6040794849395752,,,,,
0.11525195837020874,4,479,,,,,,,,,,
0.28985077142715454,4,489,,,,,,,,,,
0.07595071196556091,4,499,,,,,,,,,,
0.08252836763858795,4,509,,,,,,,,,,
0.09114353358745575,4,519,,,,,,,,,,
0.07231654226779938,4,529,,,,,,,,,,
0.3229402005672455,4,539,,,,,,,,,,
0.0850629135966301,4,549,,,,,,,,,,
0.06665396690368652,4,559,,,,,,,,,,
0.09265465289354324,4,569,,,,,,,,,,
0.05086253210902214,4,579,,,,,,,,,,
0.14106294512748718,4,589,,,,,,,,,,
,4,589,0.5446157455444336,0.8957746624946594,0.4952380955219269,0.08775613456964493,0.5941038131713867,,,,,
,5,590,,,,,,0.08775613456964493,0.4952380955219269,0.5941038131713867,0.5446157455444336,0.8957746624946594
