train_loss,epoch,step,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_loss
4.638801097869873,0,9,,,,,,
3.448370933532715,0,19,,,,,,
2.7671399116516113,0,29,,,,,,
2.1019511222839355,0,39,,,,,,
1.656455636024475,0,49,,,,,,
1.1837865114212036,0,59,,,,,,
0.8781065940856934,0,69,,,,,,
0.5903786420822144,0,79,,,,,,
0.34785810112953186,0,89,,,,,,
0.2236843705177307,0,99,,,,,,
0.27577218413352966,0,109,,,,,,
0.12310568988323212,0,119,,,,,,
0.06263940036296844,0,129,,,,,,
0.08926423639059067,0,139,,,,,,
0.09562376141548157,0,149,,,,,,
0.049673259258270264,0,159,,,,,,
0.06383440643548965,0,169,,,,,,
0.034217480570077896,0,179,,,,,,
0.04017239063978195,0,189,,,,,,
0.01740276999771595,0,199,,,,,,
0.07323354482650757,0,209,,,,,,
0.07986235618591309,0,219,,,,,,
0.01587657816708088,0,229,,,,,,
0.1533081978559494,0,239,,,,,,
0.08151739835739136,0,249,,,,,,
0.04280241206288338,0,259,,,,,,
0.049856316298246384,0,269,,,,,,
0.08754245191812515,0,279,,,,,,
0.04396889731287956,0,289,,,,,,
0.0540987029671669,0,299,,,,,,
0.04083631932735443,0,309,,,,,,
0.009336967952549458,0,319,,,,,,
0.05587516725063324,0,329,,,,,,
0.04343974590301514,0,339,,,,,,
0.04972580447793007,0,349,,,,,,
0.02565053105354309,0,359,,,,,,
0.03170567378401756,0,369,,,,,,
0.013728633522987366,0,379,,,,,,
0.012180263176560402,0,389,,,,,,
0.014218793250620365,0,399,,,,,,
0.019745539873838425,0,409,,,,,,
0.0914708822965622,0,419,,,,,,
0.023762943223118782,0,429,,,,,,
0.009954839944839478,0,439,,,,,,
0.017896534875035286,0,449,,,,,,
0.19949759542942047,0,459,,,,,,
0.0340522937476635,0,469,,,,,,
0.013564127497375011,0,479,,,,,,
0.008383365347981453,0,489,,,,,,
0.007671391125768423,0,499,,,,,,
0.038724809885025024,0,509,,,,,,
0.014573853462934494,0,519,,,,,,
0.0052194599993526936,0,529,,,,,,
0.09032313525676727,0,539,,,,,,
0.01061328873038292,0,549,,,,,,
0.01831205189228058,0,559,,,,,,
0.012782758101820946,0,569,,,,,,
0.009571812115609646,0,579,,,,,,
0.014827768318355083,0,589,,,,,,
0.005055306479334831,0,599,,,,,,
0.0066255927085876465,0,609,,,,,,
0.0075484164990484715,0,619,,,,,,
0.12051160633563995,0,629,,,,,,
0.01768391579389572,0,639,,,,,,
0.023194076493382454,0,649,,,,,,
0.014360236003994942,0,659,,,,,,
0.009646139107644558,0,669,,,,,,
0.005023145582526922,0,679,,,,,,
