train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_loss
0.334535151720047,9,0,,,,,,,,,,
0.24533268809318542,19,0,,,,,,,,,,
0.1648629605770111,29,0,,,,,,,,,,
0.16653457283973694,39,0,,,,,,,,,,
0.1246127113699913,49,0,,,,,,,,,,
0.12270322442054749,59,0,,,,,,,,,,
0.08339924365282059,69,0,,,,,,,,,,
0.09322712570428848,79,0,,,,,,,,,,
0.058700405061244965,89,0,,,,,,,,,,
0.07175443321466446,99,0,,,,,,,,,,
0.06288827210664749,109,0,,,,,,,,,,
,118,0,0.7094093561172485,0.14071175456047058,0.9319881200790405,0.7328439950942993,0.6731517314910889,,,,,
0.08331137895584106,119,1,,,,,,,,,,
0.05887413024902344,129,1,,,,,,,,,,
0.06251013278961182,139,1,,,,,,,,,,
0.08510638773441315,149,1,,,,,,,,,,
0.02678251825273037,159,1,,,,,,,,,,
0.07176996022462845,169,1,,,,,,,,,,
0.07234272360801697,179,1,,,,,,,,,,
0.04864388704299927,189,1,,,,,,,,,,
0.0860133171081543,199,1,,,,,,,,,,
0.05695325508713722,209,1,,,,,,,,,,
0.059343524277210236,219,1,,,,,,,,,,
0.0608319453895092,229,1,,,,,,,,,,
,237,1,0.7259516716003418,0.13114063441753387,0.9336919784545898,0.7349964380264282,0.6926069855690002,,,,,
0.04426832124590874,239,2,,,,,,,,,,
0.05385567620396614,249,2,,,,,,,,,,
0.06080174446105957,259,2,,,,,,,,,,
0.05147744342684746,269,2,,,,,,,,,,
0.06326179206371307,279,2,,,,,,,,,,
0.05905173718929291,289,2,,,,,,,,,,
0.06030040234327316,299,2,,,,,,,,,,
0.13459999859333038,309,2,,,,,,,,,,
0.06074951961636543,319,2,,,,,,,,,,
0.04123446345329285,329,2,,,,,,,,,,
0.02644738368690014,339,2,,,,,,,,,,
0.057459279894828796,349,2,,,,,,,,,,
,356,2,0.7475596070289612,0.12377651780843735,0.9442857503890991,0.7720447778701782,0.7159532904624939,,,,,
0.03689674660563469,359,3,,,,,,,,,,
0.047449152916669846,369,3,,,,,,,,,,
0.05333419889211655,379,3,,,,,,,,,,
0.03939186781644821,389,3,,,,,,,,,,
0.05348439887166023,399,3,,,,,,,,,,
0.061513811349868774,409,3,,,,,,,,,,
0.05574167147278786,419,3,,,,,,,,,,
0.04825017601251602,429,3,,,,,,,,,,
0.08431512862443924,439,3,,,,,,,,,,
0.20256534218788147,449,3,,,,,,,,,,
0.032994382083415985,459,3,,,,,,,,,,
0.08810240030288696,469,3,,,,,,,,,,
,475,3,0.7454993724822998,0.12010561674833298,0.9436072111129761,0.7698291540145874,0.7140077948570251,,,,,
0.04695132002234459,479,4,,,,,,,,,,
0.042887553572654724,489,4,,,,,,,,,,
0.16961319744586945,499,4,,,,,,,,,,
0.03425655514001846,509,4,,,,,,,,,,
0.0771450623869896,519,4,,,,,,,,,,
0.04460911452770233,529,4,,,,,,,,,,
0.04360461235046387,539,4,,,,,,,,,,
0.04022432118654251,549,4,,,,,,,,,,
0.1340484768152237,559,4,,,,,,,,,,
0.05798117816448212,569,4,,,,,,,,,,
0.036378275603055954,579,4,,,,,,,,,,
0.0555301271378994,589,4,,,,,,,,,,
,594,4,0.7435706257820129,0.11653648316860199,0.939954936504364,0.7561860084533691,0.7120622396469116,,,,,
,595,5,,,,,,0.7561860084533691,0.939954936504364,0.7120622396469116,0.7435706257820129,0.11653648316860199
