train_loss,step,epoch,val_qa_sas,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_loss,test_loss
0.9511677026748657,9,0,,,,,,
0.6885493993759155,19,0,,,,,,
0.3553684651851654,29,0,,,,,,
0.4543512165546417,39,0,,,,,,
0.5572824478149414,49,0,,,,,,
0.3656618893146515,59,0,,,,,,
0.3315356373786926,69,0,,,,,,
0.17945680022239685,79,0,,,,,,
0.3393760025501251,89,0,,,,,,
0.29328465461730957,99,0,,,,,,
0.4203498959541321,109,0,,,,,,
0.18666645884513855,119,0,,,,,,
,124,0,0.3180120587348938,0.3260944187641144,0.2599118947982788,0.7969902753829956,0.07880423218011856,
0.31036221981048584,129,1,,,,,,
0.19796793162822723,139,1,,,,,,
0.08988354355096817,149,1,,,,,,
0.0978456512093544,159,1,,,,,,
0.24109569191932678,169,1,,,,,,
0.36005520820617676,179,1,,,,,,
0.2164236605167389,189,1,,,,,,
0.3817004859447479,199,1,,,,,,
0.2750653624534607,209,1,,,,,,
0.3366655707359314,219,1,,,,,,
0.3745672404766083,229,1,,,,,,
0.07544287294149399,239,1,,,,,,
0.15352334082126617,249,1,,,,,,
,249,1,0.3808686435222626,0.38702744245529175,0.3348017632961273,0.8147669434547424,0.07003307342529297,
0.1475972831249237,259,2,,,,,,
0.10237843543291092,269,2,,,,,,
0.20332087576389313,279,2,,,,,,
0.09788655489683151,289,2,,,,,,
0.09228131175041199,299,2,,,,,,
0.1934017390012741,309,2,,,,,,
0.13463012874126434,319,2,,,,,,
0.07587715238332748,329,2,,,,,,
0.11787664890289307,339,2,,,,,,
0.1743864119052887,349,2,,,,,,
0.08211132138967514,359,2,,,,,,
0.17139796912670135,369,2,,,,,,
,374,2,0.404184490442276,0.4158743619918823,0.3612334728240967,0.8249941468238831,0.07209523022174835,
0.1350533366203308,379,3,,,,,,
0.0954020693898201,389,3,,,,,,
0.03878330439329147,399,3,,,,,,
0.035884592682123184,409,3,,,,,,
0.12248904258012772,419,3,,,,,,
0.07886802405118942,429,3,,,,,,
0.0861138328909874,439,3,,,,,,
0.11069132387638092,449,3,,,,,,
0.07719976454973221,459,3,,,,,,
0.10402721166610718,469,3,,,,,,
0.09348143637180328,479,3,,,,,,
0.013533167541027069,489,3,,,,,,
0.02140529826283455,499,3,,,,,,
,499,3,0.4275665283203125,0.42787986993789673,0.3788546323776245,0.8314581513404846,0.08000603318214417,
0.049089476466178894,509,4,,,,,,
0.03730210289359093,519,4,,,,,,
0.10120101273059845,529,4,,,,,,
0.045126594603061676,539,4,,,,,,
0.04261797294020653,549,4,,,,,,
0.07733248174190521,559,4,,,,,,
0.0728529840707779,569,4,,,,,,
0.018514461815357208,579,4,,,,,,
0.04594677314162254,589,4,,,,,,
0.06584536284208298,599,4,,,,,,
0.02667611464858055,609,4,,,,,,
0.061178773641586304,619,4,,,,,,
,624,4,0.43848738074302673,0.43929600715637207,0.3876652121543884,0.8327111005783081,0.09049352258443832,
,625,5,,,,,,0.09049352258443832
