step,epoch,train_loss,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,1.35602867603302,,,,,,,,,,
19,0,1.2606955766677856,,,,,,,,,,
29,0,0.8498730659484863,,,,,,,,,,
39,0,0.922804594039917,,,,,,,,,,
49,0,0.4976084530353546,,,,,,,,,,
59,0,0.6317175626754761,,,,,,,,,,
61,0,,0.7983546853065491,0.26887866854667664,0.4956812262535095,0.18644067645072937,0.24377956986427307,,,,,
69,1,0.4320564270019531,,,,,,,,,,
79,1,0.3768100142478943,,,,,,,,,,
89,1,0.47883644700050354,,,,,,,,,,
99,1,0.3333037793636322,,,,,,,,,,
109,1,0.6072177886962891,,,,,,,,,,
119,1,0.6424018144607544,,,,,,,,,,
123,1,,0.8108088374137878,0.3221847414970398,0.4158729910850525,0.24576270580291748,0.2994694113731384,,,,,
129,2,0.5061734914779663,,,,,,,,,,
139,2,0.5202067494392395,,,,,,,,,,
149,2,0.4628056585788727,,,,,,,,,,
159,2,0.3360089659690857,,,,,,,,,,
169,2,0.34594956040382385,,,,,,,,,,
179,2,0.301852822303772,,,,,,,,,,
185,2,,0.8277003169059753,0.36754336953163147,0.3547879457473755,0.30084747076034546,0.3376822769641876,,,,,
189,3,0.3028095066547394,,,,,,,,,,
199,3,0.38206782937049866,,,,,,,,,,
209,3,0.27775803208351135,,,,,,,,,,
219,3,0.3738624155521393,,,,,,,,,,
229,3,0.48410141468048096,,,,,,,,,,
239,3,0.3268866539001465,,,,,,,,,,
247,3,,0.8335402011871338,0.4021523892879486,0.34641924500465393,0.3305084705352783,0.37559252977371216,,,,,
249,4,0.27223464846611023,,,,,,,,,,
259,4,0.36608704924583435,,,,,,,,,,
269,4,0.30828842520713806,,,,,,,,,,
279,4,0.16930322349071503,,,,,,,,,,
289,4,0.3311341404914856,,,,,,,,,,
299,4,0.1498441994190216,,,,,,,,,,
309,4,0.255666583776474,,,,,,,,,,
309,4,,0.8375594615936279,0.3975389897823334,0.3229636549949646,0.32203391194343567,0.3678467869758606,,,,,
310,5,,,,,,,0.32203391194343567,0.3975389897823334,0.3229636549949646,0.8375594615936279,0.3678467869758606
