epoch,train_loss,step,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,val_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
0,0.2829188108444214,9,,,,,,,,,,
0,0.4036291241645813,19,,,,,,,,,,
0,0.16212250292301178,29,,,,,,,,,,
0,0.2557142376899719,39,,,,,,,,,,
0,0.1620963215827942,49,,,,,,,,,,
0,0.13597562909126282,59,,,,,,,,,,
0,0.2037501037120819,69,,,,,,,,,,
0,0.1845594346523285,79,,,,,,,,,,
0,0.0758911520242691,89,,,,,,,,,,
0,,94,0.09565705806016922,0.8961457014083862,0.5856509208679199,0.49860724806785583,0.5471387505531311,,,,,
1,0.10336538404226303,99,,,,,,,,,,
1,0.09390172362327576,109,,,,,,,,,,
1,0.24038490653038025,119,,,,,,,,,,
1,0.1256634145975113,129,,,,,,,,,,
1,0.09182962030172348,139,,,,,,,,,,
1,0.07297778129577637,149,,,,,,,,,,
1,0.08130845427513123,159,,,,,,,,,,
1,0.10730838775634766,169,,,,,,,,,,
1,0.12035965919494629,179,,,,,,,,,,
1,0.060882553458213806,189,,,,,,,,,,
1,,189,0.08916852623224258,0.8999544382095337,0.6025815010070801,0.515320360660553,0.5619338154792786,,,,,
2,0.07885784655809402,199,,,,,,,,,,
2,0.0913214385509491,209,,,,,,,,,,
2,0.07614871859550476,219,,,,,,,,,,
2,0.0884537398815155,229,,,,,,,,,,
2,0.10269058495759964,239,,,,,,,,,,
2,0.11556907743215561,249,,,,,,,,,,
2,0.10967250913381577,259,,,,,,,,,,
2,0.09274610877037048,269,,,,,,,,,,
2,0.12474848330020905,279,,,,,,,,,,
2,,284,0.08356441557407379,0.9012373089790344,0.6077190637588501,0.523676872253418,0.5691770315170288,,,,,
3,0.07942389696836472,289,,,,,,,,,,
3,0.243040531873703,299,,,,,,,,,,
3,0.2161034345626831,309,,,,,,,,,,
3,0.08638709783554077,319,,,,,,,,,,
3,0.08259709924459457,329,,,,,,,,,,
3,0.06027878820896149,339,,,,,,,,,,
3,0.09096260368824005,349,,,,,,,,,,
3,0.07235836237668991,359,,,,,,,,,,
3,0.07727724313735962,369,,,,,,,,,,
3,0.048899825662374496,379,,,,,,,,,,
3,,379,0.08330757170915604,0.9043441414833069,0.6195651888847351,0.5403899550437927,0.5842007398605347,,,,,
4,0.13872189819812775,389,,,,,,,,,,
4,0.11308615654706955,399,,,,,,,,,,
4,0.07145720720291138,409,,,,,,,,,,
4,0.13974310457706451,419,,,,,,,,,,
4,0.04240363463759422,429,,,,,,,,,,
4,0.10320983082056046,439,,,,,,,,,,
4,0.08648660778999329,449,,,,,,,,,,
4,0.054340168833732605,459,,,,,,,,,,
4,0.04714082181453705,469,,,,,,,,,,
4,,474,0.08078832924365997,0.9088778495788574,0.6302861571311951,0.5515320301055908,0.5970414876937866,,,,,
5,,475,,,,,,0.5515320301055908,0.08078832924365997,0.6302861571311951,0.5970414876937866,0.9088778495788574
