step,epoch,train_loss,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
9,0,1.2697529792785645,,,,,,,,,,
19,0,0.968046247959137,,,,,,,,,,
29,0,0.509766697883606,,,,,,,,,,
39,0,2.986053705215454,,,,,,,,,,
49,0,1.4763927459716797,,,,,,,,,,
54,0,,0.11728394776582718,0.8402889370918274,0.5280983448028564,0.3945746123790741,1.1100695133209229,,,,,
59,1,0.3223598897457123,,,,,,,,,,
69,1,1.2333170175552368,,,,,,,,,,
79,1,2.9418957233428955,,,,,,,,,,
89,1,0.8773136734962463,,,,,,,,,,
99,1,1.2139887809753418,,,,,,,,,,
109,1,0.5785040855407715,,,,,,,,,,
109,1,,0.1358024626970291,0.8519911170005798,0.5406605005264282,0.43321365118026733,1.0693321228027344,,,,,
119,2,1.5609074831008911,,,,,,,,,,
129,2,0.7341707944869995,,,,,,,,,,
139,2,1.2204641103744507,,,,,,,,,,
149,2,1.2030620574951172,,,,,,,,,,
159,2,0.9226090908050537,,,,,,,,,,
164,2,,0.1358024626970291,0.8549362421035767,0.5474964380264282,0.44391104578971863,1.0519906282424927,,,,,
169,3,1.33660888671875,,,,,,,,,,
179,3,1.0766441822052002,,,,,,,,,,
189,3,0.8962616324424744,,,,,,,,,,
199,3,0.6635642051696777,,,,,,,,,,
209,3,1.546846866607666,,,,,,,,,,
219,3,1.196500539779663,,,,,,,,,,
219,3,,0.15432098507881165,0.8563562631607056,0.5605690479278564,0.45374104380607605,1.0310990810394287,,,,,
229,4,1.7024728059768677,,,,,,,,,,
239,4,0.5833999514579773,,,,,,,,,,
249,4,0.9537025690078735,,,,,,,,,,
259,4,0.9529125094413757,,,,,,,,,,
269,4,1.2417067289352417,,,,,,,,,,
274,4,,0.16049382090568542,0.8559533953666687,0.5634543895721436,0.4538435637950897,1.0233969688415527,,,,,
275,5,,,,,,,0.8559533953666687,0.16049382090568542,0.4538435637950897,0.5634543895721436,1.0233969688415527
