step,epoch,train_loss,val_loss,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,val_qa_em,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em
9,0,0.8766777515411377,,,,,,,,,,
19,0,0.5943306088447571,,,,,,,,,,
29,0,0.40382352471351624,,,,,,,,,,
39,0,0.4689258337020874,,,,,,,,,,
49,0,0.6436700224876404,,,,,,,,,,
59,0,0.5828876495361328,,,,,,,,,,
69,0,0.3123936057090759,,,,,,,,,,
79,0,0.27361664175987244,,,,,,,,,,
89,0,0.3548140823841095,,,,,,,,,,
99,0,0.28588491678237915,,,,,,,,,,
109,0,0.3983410894870758,,,,,,,,,,
119,0,0.2788797616958618,,,,,,,,,,
129,0,0.36887282133102417,,,,,,,,,,
139,0,0.36192330718040466,,,,,,,,,,
149,0,0.2433784306049347,,,,,,,,,,
159,0,0.30540329217910767,,,,,,,,,,
169,0,0.34723541140556335,,,,,,,,,,
175,0,,0.22769571840763092,0.381693035364151,0.7981993556022644,0.3551759421825409,0.30214723944664,,,,,
179,1,0.35721439123153687,,,,,,,,,,
189,1,0.25481584668159485,,,,,,,,,,
199,1,0.29837706685066223,,,,,,,,,,
209,1,0.18878699839115143,,,,,,,,,,
219,1,0.26639580726623535,,,,,,,,,,
229,1,0.2752215564250946,,,,,,,,,,
239,1,0.434139221906662,,,,,,,,,,
249,1,0.1710899919271469,,,,,,,,,,
259,1,0.35261479020118713,,,,,,,,,,
269,1,0.28984835743904114,,,,,,,,,,
279,1,0.25209054350852966,,,,,,,,,,
289,1,0.2718765139579773,,,,,,,,,,
299,1,0.19537045061588287,,,,,,,,,,
309,1,0.3175286054611206,,,,,,,,,,
319,1,0.24875982105731964,,,,,,,,,,
329,1,0.18401303887367249,,,,,,,,,,
339,1,0.16216720640659332,,,,,,,,,,
349,1,0.2082744538784027,,,,,,,,,,
351,1,,0.1989932805299759,0.4516303837299347,0.8292781710624695,0.42854490876197815,0.3788343667984009,,,,,
359,2,0.10760819911956787,,,,,,,,,,
369,2,0.24494290351867676,,,,,,,,,,
379,2,0.13755184412002563,,,,,,,,,,
389,2,0.35200583934783936,,,,,,,,,,
399,2,0.18278582394123077,,,,,,,,,,
409,2,0.2415299415588379,,,,,,,,,,
419,2,0.24717576801776886,,,,,,,,,,
429,2,0.14270704984664917,,,,,,,,,,
439,2,0.18723085522651672,,,,,,,,,,
449,2,0.2012501060962677,,,,,,,,,,
459,2,0.1631806641817093,,,,,,,,,,
469,2,0.26387012004852295,,,,,,,,,,
479,2,0.15101498365402222,,,,,,,,,,
489,2,0.19439749419689178,,,,,,,,,,
499,2,0.19950197637081146,,,,,,,,,,
509,2,0.12606510519981384,,,,,,,,,,
519,2,0.15079571306705475,,,,,,,,,,
527,2,,0.19350670278072357,0.4646829664707184,0.837235689163208,0.43850964307785034,0.3849693238735199,,,,,
529,3,0.21312926709651947,,,,,,,,,,
539,3,0.1728370487689972,,,,,,,,,,
549,3,0.2342359572649002,,,,,,,,,,
559,3,0.14542755484580994,,,,,,,,,,
569,3,0.28596121072769165,,,,,,,,,,
579,3,0.2029978483915329,,,,,,,,,,
589,3,0.18964946269989014,,,,,,,,,,
599,3,0.2085230052471161,,,,,,,,,,
609,3,0.21390752494335175,,,,,,,,,,
619,3,0.2034609168767929,,,,,,,,,,
629,3,0.22851192951202393,,,,,,,,,,
639,3,0.1566959023475647,,,,,,,,,,
649,3,0.18950143456459045,,,,,,,,,,
659,3,0.19834226369857788,,,,,,,,,,
669,3,0.17219719290733337,,,,,,,,,,
679,3,0.24318048357963562,,,,,,,,,,
689,3,0.13398100435733795,,,,,,,,,,
699,3,0.1835695505142212,,,,,,,,,,
703,3,,0.17719680070877075,0.47606825828552246,0.8479785323143005,0.4621462821960449,0.40644171833992004,,,,,
709,4,0.16403914988040924,,,,,,,,,,
719,4,0.26330697536468506,,,,,,,,,,
729,4,0.24982529878616333,,,,,,,,,,
739,4,0.2240937352180481,,,,,,,,,,
749,4,0.16134560108184814,,,,,,,,,,
759,4,0.12070176005363464,,,,,,,,,,
769,4,0.14910170435905457,,,,,,,,,,
779,4,0.18131880462169647,,,,,,,,,,
789,4,0.21587784588336945,,,,,,,,,,
799,4,0.1498110443353653,,,,,,,,,,
809,4,0.19747552275657654,,,,,,,,,,
819,4,0.1461770385503769,,,,,,,,,,
829,4,0.20261022448539734,,,,,,,,,,
839,4,0.22533605992794037,,,,,,,,,,
849,4,0.1444447934627533,,,,,,,,,,
859,4,0.20920103788375854,,,,,,,,,,
869,4,0.1082061380147934,,,,,,,,,,
879,4,0.16513405740261078,,,,,,,,,,
879,4,,0.16704438626766205,0.480325847864151,0.8504326939582825,0.46766752004623413,0.4141104221343994,,,,,
880,5,,,,,,,0.8504326939582825,0.16704438626766205,0.480325847864151,0.46766752004623413,0.4141104221343994
