step,epoch,train_loss,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_sas
9,0,1.7255749702453613,,,,,,,,,,
19,0,1.7216767072677612,,,,,,,,,,
29,0,1.3028501272201538,,,,,,,,,,
39,0,1.338936448097229,,,,,,,,,,
48,0,,1.5399398803710938,0.5501360297203064,0.3031674325466156,0.49808332324028015,0.853039562702179,,,,,
49,1,2.2982378005981445,,,,,,,,,,
59,1,1.2550848722457886,,,,,,,,,,
69,1,1.4239771366119385,,,,,,,,,,
79,1,0.9173561334609985,,,,,,,,,,
89,1,0.9012391567230225,,,,,,,,,,
97,1,,1.4045692682266235,0.5636160969734192,0.3665158450603485,0.5240045189857483,0.8673318028450012,,,,,
99,2,1.7412735223770142,,,,,,,,,,
109,2,1.2237308025360107,,,,,,,,,,
119,2,1.1518515348434448,,,,,,,,,,
129,2,1.0495647192001343,,,,,,,,,,
139,2,0.8449047207832336,,,,,,,,,,
146,2,,1.324899673461914,0.5826764702796936,0.3891402781009674,0.5358661413192749,0.8703970313072205,,,,,
149,3,0.6766027212142944,,,,,,,,,,
159,3,1.0078654289245605,,,,,,,,,,
169,3,0.6959506869316101,,,,,,,,,,
179,3,1.0052682161331177,,,,,,,,,,
189,3,1.151944875717163,,,,,,,,,,
195,3,,1.287176489830017,0.5809674859046936,0.38009050488471985,0.537988543510437,0.8737443089485168,,,,,
199,4,0.8560278415679932,,,,,,,,,,
209,4,1.4282070398330688,,,,,,,,,,
219,4,1.4892691373825073,,,,,,,,,,
229,4,1.2986646890640259,,,,,,,,,,
239,4,1.3670587539672852,,,,,,,,,,
244,4,,1.2701759338378906,0.5717598795890808,0.38461539149284363,0.5354891419410706,0.8734846115112305,,,,,
245,5,,,,,,,0.8737443089485168,0.537988543510437,1.287176489830017,0.38009050488471985,0.5809674859046936
