step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_loss,val_qa_answer_f1,val_qa_sas,test_loss
9,1.4569635391235352,0,,,,,,
19,1.0510355234146118,0,,,,,,
29,0.4142446219921112,0,,,,,,
39,0.2223905622959137,0,,,,,,
49,0.8801364898681641,0,,,,,,
59,0.8430618047714233,0,,,,,,
69,1.118438482284546,0,,,,,,
79,0.36972418427467346,0,,,,,,
89,0.5300456285476685,0,,,,,,
94,,0,0.8249768614768982,0.3160173296928406,0.3728775382041931,0.4389914572238922,0.4677884876728058,
99,0.30458304286003113,1,,,,,,
109,0.9826814532279968,1,,,,,,
119,0.35461437702178955,1,,,,,,
129,0.511530339717865,1,,,,,,
139,0.6203343868255615,1,,,,,,
149,0.3233296871185303,1,,,,,,
159,0.07584422826766968,1,,,,,,
169,0.35312309861183167,1,,,,,,
179,0.2811972200870514,1,,,,,,
189,0.5057473182678223,1,,,,,,
189,,1,0.8463442325592041,0.3982684016227722,0.32577669620513916,0.5045481324195862,0.5250144004821777,
199,0.2232840657234192,2,,,,,,
209,0.20987631380558014,2,,,,,,
219,0.2777712345123291,2,,,,,,
229,0.43070244789123535,2,,,,,,
239,0.23990613222122192,2,,,,,,
249,0.6346127390861511,2,,,,,,
259,0.4145371615886688,2,,,,,,
269,0.2679072320461273,2,,,,,,
279,0.20347020030021667,2,,,,,,
284,,2,0.8574548959732056,0.4285714328289032,0.31568577885627747,0.5427727699279785,0.5628112554550171,
289,0.072967529296875,3,,,,,,
299,0.48052501678466797,3,,,,,,
309,0.10466716438531876,3,,,,,,
319,0.18139797449111938,3,,,,,,
329,0.18183672428131104,3,,,,,,
339,0.08830788731575012,3,,,,,,
349,0.02736605890095234,3,,,,,,
359,0.20724506676197052,3,,,,,,
369,0.09407652169466019,3,,,,,,
379,0.22606152296066284,3,,,,,,
379,,3,0.8604270815849304,0.4502164423465729,0.3194073736667633,0.5538821816444397,0.5724374055862427,
389,0.06999559700489044,4,,,,,,
399,0.12054648995399475,4,,,,,,
409,0.1379493772983551,4,,,,,,
419,0.11583889275789261,4,,,,,,
429,0.10328097641468048,4,,,,,,
439,0.33259356021881104,4,,,,,,
449,0.1548546999692917,4,,,,,,
459,0.13222171366214752,4,,,,,,
469,0.03602297976613045,4,,,,,,
474,,4,0.8599539399147034,0.4545454680919647,0.33471566438674927,0.5552723407745361,0.573519766330719,
475,,5,,,,,,0.33471566438674927
