step,epoch,train_loss,val_qa_em,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_sas,test_loss,test_avg_qa_answer_f1
9,0,1.0173596143722534,,,,,,,,,,
19,0,0.5536500215530396,,,,,,,,,,
29,0,0.4889286756515503,,,,,,,,,,
39,0,0.24738074839115143,,,,,,,,,,
49,0,0.3072730600833893,,,,,,,,,,
59,0,0.5840528011322021,,,,,,,,,,
69,0,0.27457931637763977,,,,,,,,,,
79,0,0.4987698793411255,,,,,,,,,,
89,0,0.28875717520713806,,,,,,,,,,
99,0,0.25345584750175476,,,,,,,,,,
109,0,0.4799991846084595,,,,,,,,,,
119,0,0.3281261622905731,,,,,,,,,,
129,0,0.2448297142982483,,,,,,,,,,
139,0,0.2042425572872162,,,,,,,,,,
149,0,0.2918076515197754,,,,,,,,,,
159,0,0.1765901744365692,,,,,,,,,,
169,0,0.3953518569469452,,,,,,,,,,
169,0,,0.3994743824005127,0.8401092886924744,0.4493664801120758,0.4659983217716217,0.24100986123085022,,,,,
179,1,0.22197459638118744,,,,,,,,,,
189,1,0.2082241028547287,,,,,,,,,,
199,1,0.1581031084060669,,,,,,,,,,
209,1,0.216677725315094,,,,,,,,,,
219,1,0.18117046356201172,,,,,,,,,,
229,1,0.2757960557937622,,,,,,,,,,
239,1,0.24160391092300415,,,,,,,,,,
249,1,0.22842620313167572,,,,,,,,,,
259,1,0.23315300047397614,,,,,,,,,,
269,1,0.16412660479545593,,,,,,,,,,
279,1,0.1773611456155777,,,,,,,,,,
289,1,0.16687752306461334,,,,,,,,,,
299,1,0.09576250612735748,,,,,,,,,,
309,1,0.3564814329147339,,,,,,,,,,
319,1,0.1953280121088028,,,,,,,,,,
329,1,0.16144609451293945,,,,,,,,,,
339,1,0.07623042911291122,,,,,,,,,,
339,1,,0.46254926919937134,0.857563316822052,0.508039653301239,0.52056884765625,0.19291681051254272,,,,,
349,2,0.22595949470996857,,,,,,,,,,
359,2,0.2839956283569336,,,,,,,,,,
369,2,0.2549201548099518,,,,,,,,,,
379,2,0.12208463251590729,,,,,,,,,,
389,2,0.5938338041305542,,,,,,,,,,
399,2,0.1360815018415451,,,,,,,,,,
409,2,0.15346166491508484,,,,,,,,,,
419,2,0.12340332567691803,,,,,,,,,,
429,2,0.3700593113899231,,,,,,,,,,
439,2,0.18268078565597534,,,,,,,,,,
449,2,0.16882731020450592,,,,,,,,,,
459,2,0.15333116054534912,,,,,,,,,,
469,2,0.15206149220466614,,,,,,,,,,
479,2,0.3696190118789673,,,,,,,,,,
489,2,0.22966602444648743,,,,,,,,,,
499,2,0.12673494219779968,,,,,,,,,,
509,2,0.048155419528484344,,,,,,,,,,
509,2,,0.4980289041996002,0.8674885630607605,0.5459380745887756,0.5524851679801941,0.1702764928340912,,,,,
519,3,0.21736368536949158,,,,,,,,,,
529,3,0.14030411839485168,,,,,,,,,,
539,3,0.2079402655363083,,,,,,,,,,
549,3,0.1370575726032257,,,,,,,,,,
559,3,0.17587250471115112,,,,,,,,,,
569,3,0.1174250990152359,,,,,,,,,,
579,3,0.11611500382423401,,,,,,,,,,
589,3,0.11779820919036865,,,,,,,,,,
599,3,0.13687428832054138,,,,,,,,,,
609,3,0.13338607549667358,,,,,,,,,,
619,3,0.08569633215665817,,,,,,,,,,
629,3,0.12258467823266983,,,,,,,,,,
639,3,0.14517973363399506,,,,,,,,,,
649,3,0.0968470573425293,,,,,,,,,,
659,3,0.1412973254919052,,,,,,,,,,
669,3,0.08897829055786133,,,,,,,,,,
679,3,0.17238160967826843,,,,,,,,,,
679,3,,0.5203679203987122,0.8747434616088867,0.5671976804733276,0.5732218623161316,0.15977154672145844,,,,,
689,4,0.15174035727977753,,,,,,,,,,
699,4,0.16606439650058746,,,,,,,,,,
709,4,0.1153615340590477,,,,,,,,,,
719,4,0.593084990978241,,,,,,,,,,
729,4,0.14987598359584808,,,,,,,,,,
739,4,0.1165650486946106,,,,,,,,,,
749,4,0.06836895644664764,,,,,,,,,,
759,4,0.27826398611068726,,,,,,,,,,
769,4,0.12047985941171646,,,,,,,,,,
779,4,0.112995445728302,,,,,,,,,,
789,4,0.1829037070274353,,,,,,,,,,
799,4,0.11162858456373215,,,,,,,,,,
809,4,0.1212758719921112,,,,,,,,,,
819,4,0.16197527945041656,,,,,,,,,,
829,4,0.21340712904930115,,,,,,,,,,
839,4,0.07946079969406128,,,,,,,,,,
849,4,0.03509628772735596,,,,,,,,,,
849,4,,0.5348225831985474,0.8801209926605225,0.5820443034172058,0.5876871943473816,0.15402893722057343,,,,,
850,5,,,,,,,0.5348225831985474,0.8801209926605225,0.5876871943473816,0.15402893722057343,0.5820443034172058
