epoch,step,train_loss,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_loss
0,9,2.39459228515625,,,,,,,,,,
0,19,1.1233935356140137,,,,,,,,,,
0,29,1.8573570251464844,,,,,,,,,,
0,39,1.6288577318191528,,,,,,,,,,
0,49,0.5462647676467896,,,,,,,,,,
0,59,1.333693265914917,,,,,,,,,,
0,69,1.8220447301864624,,,,,,,,,,
0,79,0.5882319808006287,,,,,,,,,,
0,89,0.6282121539115906,,,,,,,,,,
0,99,0.7924071550369263,,,,,,,,,,
0,107,,0.3956144452095032,0.47060227394104004,1.1953024864196777,0.23822714388370514,0.8232374787330627,,,,,
1,109,2.2640249729156494,,,,,,,,,,
1,119,2.222372531890869,,,,,,,,,,
1,129,0.7590999007225037,,,,,,,,,,
1,139,0.6197202801704407,,,,,,,,,,
1,149,0.7220368981361389,,,,,,,,,,
1,159,0.45388147234916687,,,,,,,,,,
1,169,1.165659785270691,,,,,,,,,,
1,179,1.4073750972747803,,,,,,,,,,
1,189,1.2861868143081665,,,,,,,,,,
1,199,1.0965367555618286,,,,,,,,,,
1,209,1.1568235158920288,,,,,,,,,,
1,215,,0.42347484827041626,0.49607783555984497,1.1289989948272705,0.2631579041481018,0.8337906002998352,,,,,
2,219,1.207244634628296,,,,,,,,,,
2,229,1.0652345418930054,,,,,,,,,,
2,239,0.7426902055740356,,,,,,,,,,
2,249,0.6487603187561035,,,,,,,,,,
2,259,0.649095892906189,,,,,,,,,,
2,269,1.1502045392990112,,,,,,,,,,
2,279,1.6684534549713135,,,,,,,,,,
2,289,1.3107560873031616,,,,,,,,,,
2,299,1.4204188585281372,,,,,,,,,,
2,309,0.8324625492095947,,,,,,,,,,
2,319,1.6336839199066162,,,,,,,,,,
2,323,,0.44847574830055237,0.516017735004425,1.1041852235794067,0.2880886495113373,0.8418931365013123,,,,,
3,329,0.39644473791122437,,,,,,,,,,
3,339,1.5575567483901978,,,,,,,,,,
3,349,1.1747709512710571,,,,,,,,,,
3,359,0.6724432110786438,,,,,,,,,,
3,369,1.6623907089233398,,,,,,,,,,
3,379,1.080403208732605,,,,,,,,,,
3,389,0.5990361571311951,,,,,,,,,,
3,399,1.28642737865448,,,,,,,,,,
3,409,0.979387104511261,,,,,,,,,,
3,419,1.3510644435882568,,,,,,,,,,
3,429,1.6505829095840454,,,,,,,,,,
3,431,,0.44068649411201477,0.5184803605079651,1.0910048484802246,0.2770083248615265,0.8434639573097229,,,,,
4,439,1.3142412900924683,,,,,,,,,,
4,449,0.8893733024597168,,,,,,,,,,
4,459,0.6997309327125549,,,,,,,,,,
4,469,1.0896849632263184,,,,,,,,,,
4,479,1.4897152185440063,,,,,,,,,,
4,489,0.391459196805954,,,,,,,,,,
4,499,1.164663314819336,,,,,,,,,,
4,509,1.2966458797454834,,,,,,,,,,
4,519,1.3370481729507446,,,,,,,,,,
4,529,2.514699697494507,,,,,,,,,,
4,539,0.9300290942192078,,,,,,,,,,
4,539,,0.4523892402648926,0.519658625125885,1.071134328842163,0.29916897416114807,0.8462203741073608,,,,,
5,540,,,,,,,0.519658625125885,0.8462203741073608,0.29916897416114807,0.4523892402648926,1.071134328842163
