step,epoch,train_loss,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
9,0,0.7049015760421753,,,,,,,,,,
19,0,1.085349202156067,,,,,,,,,,
29,0,1.1939144134521484,,,,,,,,,,
39,0,0.9863548278808594,,,,,,,,,,
49,0,1.0475506782531738,,,,,,,,,,
52,0,,0.2227722704410553,0.8438740968704224,0.5254094004631042,0.42118534445762634,1.1564985513687134,,,,,
59,1,1.419747233390808,,,,,,,,,,
69,1,1.5840890407562256,,,,,,,,,,
79,1,1.4820899963378906,,,,,,,,,,
89,1,0.756671667098999,,,,,,,,,,
99,1,0.980309784412384,,,,,,,,,,
105,1,,0.21287128329277039,0.8355381488800049,0.500807523727417,0.3908846974372864,1.13288414478302,,,,,
109,2,1.6175769567489624,,,,,,,,,,
119,2,0.5160239934921265,,,,,,,,,,
129,2,0.9657881855964661,,,,,,,,,,
139,2,1.0595512390136719,,,,,,,,,,
149,2,0.7212010025978088,,,,,,,,,,
158,2,,0.19801980257034302,0.8353602886199951,0.4967886209487915,0.3864336907863617,1.107060194015503,,,,,
159,3,1.4358941316604614,,,,,,,,,,
169,3,0.9017236828804016,,,,,,,,,,
179,3,1.0087867975234985,,,,,,,,,,
189,3,1.049221158027649,,,,,,,,,,
199,3,0.8047994375228882,,,,,,,,,,
209,3,1.3376578092575073,,,,,,,,,,
211,3,,0.20792078971862793,0.8372024893760681,0.509033203125,0.3981158435344696,1.0982192754745483,,,,,
219,4,1.564833402633667,,,,,,,,,,
229,4,0.7359804511070251,,,,,,,,,,
239,4,0.4867337942123413,,,,,,,,,,
249,4,0.786698579788208,,,,,,,,,,
259,4,1.3780264854431152,,,,,,,,,,
264,4,,0.1782178282737732,0.8339388370513916,0.49966195225715637,0.3893629014492035,1.0890065431594849,,,,,
265,5,,,,,,,0.8339388370513916,0.1782178282737732,0.3893629014492035,0.49966195225715637,1.0890065431594849
