step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
9,1.3081828355789185,0,,,,,,,,,,
19,1.1539572477340698,0,,,,,,,,,,
29,0.9754659533500671,0,,,,,,,,,,
39,0.8609811067581177,0,,,,,,,,,,
41,,0,0.7855470776557922,0.20886075496673584,0.27735596895217896,0.59907066822052,0.2939858138561249,,,,,
49,0.5675721764564514,1,,,,,,,,,,
59,0.5957992076873779,1,,,,,,,,,,
69,0.5118239521980286,1,,,,,,,,,,
79,0.7497105598449707,1,,,,,,,,,,
83,,1,0.8034889101982117,0.2594936788082123,0.32679444551467896,0.45780226588249207,0.3467027544975281,,,,,
89,0.3434431850910187,2,,,,,,,,,,
99,0.37558653950691223,2,,,,,,,,,,
109,0.3263326585292816,2,,,,,,,,,,
119,0.3321297764778137,2,,,,,,,,,,
125,,2,0.8094767332077026,0.29113924503326416,0.35389405488967896,0.4139474928379059,0.37118494510650635,,,,,
129,0.3633776605129242,3,,,,,,,,,,
139,0.5039685964584351,3,,,,,,,,,,
149,0.4266948699951172,3,,,,,,,,,,
159,0.3695952892303467,3,,,,,,,,,,
167,,3,0.8307555317878723,0.34810125827789307,0.40227049589157104,0.4104102551937103,0.42895883321762085,,,,,
169,0.3474341928958893,4,,,,,,,,,,
179,0.3227287530899048,4,,,,,,,,,,
189,0.3806101977825165,4,,,,,,,,,,
199,0.3368569016456604,4,,,,,,,,,,
209,0.3084515929222107,4,,,,,,,,,,
209,,4,0.8283879160881042,0.3417721390724182,0.3956542909145355,0.3965013921260834,0.42099717259407043,,,,,
210,,5,,,,,,0.42895883321762085,0.8307555317878723,0.4104102551937103,0.40227049589157104,0.34810125827789307
