epoch,step,train_loss,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_loss
0,9,0.7218362092971802,,,,,,,,,,
0,19,0.5018376708030701,,,,,,,,,,
0,29,0.37457820773124695,,,,,,,,,,
0,39,0.19108040630817413,,,,,,,,,,
0,49,0.3802485167980194,,,,,,,,,,
0,59,0.42597001791000366,,,,,,,,,,
0,69,0.16971568763256073,,,,,,,,,,
0,79,0.22999776899814606,,,,,,,,,,
0,89,0.3247964680194855,,,,,,,,,,
0,99,0.34888023138046265,,,,,,,,,,
0,109,0.24457703530788422,,,,,,,,,,
0,119,0.3673875331878662,,,,,,,,,,
0,129,0.2659977972507477,,,,,,,,,,
0,139,0.1914246380329132,,,,,,,,,,
0,149,0.42120614647865295,,,,,,,,,,
0,159,0.32849711179733276,,,,,,,,,,
0,169,0.1474606990814209,,,,,,,,,,
0,179,0.1182522103190422,,,,,,,,,,
0,179,,0.4689714014530182,0.8509974479675293,0.4287633001804352,0.24134674668312073,0.37066665291786194,,,,,
1,189,0.23034806549549103,,,,,,,,,,
1,199,0.16711917519569397,,,,,,,,,,
1,209,0.17145855724811554,,,,,,,,,,
1,219,0.25569015741348267,,,,,,,,,,
1,229,0.15343572199344635,,,,,,,,,,
1,239,0.1619814932346344,,,,,,,,,,
1,249,0.4267866313457489,,,,,,,,,,
1,259,0.20459379255771637,,,,,,,,,,
1,269,0.1740269809961319,,,,,,,,,,
1,279,0.2910648286342621,,,,,,,,,,
1,289,0.10830549895763397,,,,,,,,,,
1,299,0.1620192676782608,,,,,,,,,,
1,309,0.16913263499736786,,,,,,,,,,
1,319,0.15451769530773163,,,,,,,,,,
1,329,0.26120665669441223,,,,,,,,,,
1,339,0.2584003806114197,,,,,,,,,,
1,349,0.2887948155403137,,,,,,,,,,
1,359,0.11886611580848694,,,,,,,,,,
1,359,,0.49658840894699097,0.8560773134231567,0.4565869867801666,0.21820145845413208,0.40400001406669617,,,,,
2,369,0.23815397918224335,,,,,,,,,,
2,379,0.14989443123340607,,,,,,,,,,
2,389,0.179290771484375,,,,,,,,,,
2,399,0.24216336011886597,,,,,,,,,,
2,409,0.3448694348335266,,,,,,,,,,
2,419,0.2004418969154358,,,,,,,,,,
2,429,0.18598884344100952,,,,,,,,,,
2,439,0.24951015412807465,,,,,,,,,,
2,449,0.11512647569179535,,,,,,,,,,
2,459,0.18716974556446075,,,,,,,,,,
2,469,0.12796984612941742,,,,,,,,,,
2,479,0.14113986492156982,,,,,,,,,,
2,489,0.19233812391757965,,,,,,,,,,
2,499,0.1570563018321991,,,,,,,,,,
2,509,0.11006707698106766,,,,,,,,,,
2,519,0.1566026657819748,,,,,,,,,,
2,529,0.1353897601366043,,,,,,,,,,
2,539,0.15449628233909607,,,,,,,,,,
2,539,,0.5279994606971741,0.8703481554985046,0.5053725838661194,0.2004970759153366,0.4506666660308838,,,,,
3,549,0.11990384012460709,,,,,,,,,,
3,559,0.1734256148338318,,,,,,,,,,
3,569,0.2774707078933716,,,,,,,,,,
3,579,0.20981918275356293,,,,,,,,,,
3,589,0.17938289046287537,,,,,,,,,,
3,599,0.2200796753168106,,,,,,,,,,
3,609,0.1276143193244934,,,,,,,,,,
3,619,0.11356844753026962,,,,,,,,,,
3,629,0.11972327530384064,,,,,,,,,,
3,639,0.13704454898834229,,,,,,,,,,
3,649,0.10393154621124268,,,,,,,,,,
3,659,0.08892447501420975,,,,,,,,,,
3,669,0.2646210491657257,,,,,,,,,,
3,679,0.12880122661590576,,,,,,,,,,
3,689,0.145207017660141,,,,,,,,,,
3,699,0.11147091537714005,,,,,,,,,,
3,709,0.14678357541561127,,,,,,,,,,
3,719,0.17002587020397186,,,,,,,,,,
3,719,,0.5456638932228088,0.8748078942298889,0.5227298140525818,0.19321309030056,0.47066667675971985,,,,,
4,729,0.23085327446460724,,,,,,,,,,
4,739,0.19880034029483795,,,,,,,,,,
4,749,0.08940955251455307,,,,,,,,,,
4,759,0.1477571427822113,,,,,,,,,,
4,769,0.24349452555179596,,,,,,,,,,
4,779,0.2144540399312973,,,,,,,,,,
4,789,0.13150115311145782,,,,,,,,,,
4,799,0.14116382598876953,,,,,,,,,,
4,809,0.17827516794204712,,,,,,,,,,
4,819,0.11590683460235596,,,,,,,,,,
4,829,0.13071207702159882,,,,,,,,,,
4,839,0.177368625998497,,,,,,,,,,
4,849,0.10555432736873627,,,,,,,,,,
4,859,0.11964911967515945,,,,,,,,,,
4,869,0.20295237004756927,,,,,,,,,,
4,879,0.19194824993610382,,,,,,,,,,
4,889,0.08431720733642578,,,,,,,,,,
4,899,0.1743689477443695,,,,,,,,,,
4,899,,0.5556386113166809,0.8801568150520325,0.5376618504524231,0.18498504161834717,0.48266667127609253,,,,,
5,900,,,,,,,0.5376618504524231,0.8801568150520325,0.48266667127609253,0.5556386113166809,0.18498504161834717
