epoch,step,train_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_loss
0,9,0.10767306387424469,,,,,,
0,19,0.06217557191848755,,,,,,
0,29,0.04771477356553078,,,,,,
0,39,0.07932502776384354,,,,,,
0,49,0.06721779704093933,,,,,,
0,59,0.05737261474132538,,,,,,
0,69,0.08414386957883835,,,,,,
0,79,0.09266785532236099,,,,,,
0,89,0.060657110065221786,,,,,,
0,99,0.04023436829447746,,,,,,
0,109,0.05161071568727493,,,,,,
0,119,0.04936234652996063,,,,,,
0,129,0.05401567369699478,,,,,,
0,139,0.04654274135828018,,,,,,
0,149,0.04302040860056877,,,,,,
0,159,0.046033263206481934,,,,,,
0,169,0.055541764944791794,,,,,,
0,179,0.035460829734802246,,,,,,
0,189,0.06667051464319229,,,,,,
0,199,0.0536821112036705,,,,,,
0,209,0.06601378321647644,,,,,,
0,219,0.04174766689538956,,,,,,
0,229,0.05837700143456459,,,,,,
0,235,,0.6053080558776855,0.9003493785858154,0.523809552192688,0.5614201426506042,0.10728158056735992,
1,239,0.06157487630844116,,,,,,
1,249,0.038651108741760254,,,,,,
1,259,0.054791875183582306,,,,,,
1,269,0.03818904981017113,,,,,,
1,279,0.045712485909461975,,,,,,
1,289,0.05731974169611931,,,,,,
1,299,0.05810259282588959,,,,,,
1,309,0.03422275558114052,,,,,,
1,319,0.05846622958779335,,,,,,
1,329,0.055950917303562164,,,,,,
1,339,0.03366600349545479,,,,,,
1,349,0.041936036199331284,,,,,,
1,359,0.03369932621717453,,,,,,
1,369,0.02892056666314602,,,,,,
1,379,0.02001478709280491,,,,,,
1,389,0.0425516702234745,,,,,,
1,399,0.026698343455791473,,,,,,
1,409,0.036704469472169876,,,,,,
1,419,0.036912500858306885,,,,,,
1,429,0.017924558371305466,,,,,,
1,439,0.032124388962984085,,,,,,
1,449,0.040644001215696335,,,,,,
1,459,0.02050274796783924,,,,,,
1,469,0.021001728251576424,,,,,,
1,471,,0.6710607409477234,0.9187911748886108,0.607619047164917,0.6391425728797913,0.08568338304758072,
2,479,0.03824448212981224,,,,,,
2,489,0.029232027009129524,,,,,,
2,499,0.022448597475886345,,,,,,
2,509,0.02514914609491825,,,,,,
2,519,0.02919316478073597,,,,,,
2,529,0.038632966578006744,,,,,,
2,539,0.02049281820654869,,,,,,
2,549,0.03242557495832443,,,,,,
2,559,0.035877544432878494,,,,,,
2,569,0.04895307868719101,,,,,,
2,579,0.04351941868662834,,,,,,
2,589,0.034018125385046005,,,,,,
2,599,0.031113604083657265,,,,,,
2,609,0.02956901118159294,,,,,,
2,619,0.03553817421197891,,,,,,
2,629,0.015277903527021408,,,,,,
2,639,0.007028430700302124,,,,,,
2,649,0.025299567729234695,,,,,,
2,659,0.02351370081305504,,,,,,
2,669,0.022212743759155273,,,,,,
2,679,0.013172069564461708,,,,,,
2,689,0.015026770532131195,,,,,,
2,699,0.009045617654919624,,,,,,
2,707,,0.6878896355628967,0.9228401184082031,0.6266666650772095,0.6574147939682007,0.07828986644744873,
3,709,0.014824343845248222,,,,,,
3,719,0.01136485580354929,,,,,,
3,729,0.02536039799451828,,,,,,
3,739,0.015496374107897282,,,,,,
3,749,0.017242027446627617,,,,,,
3,759,0.01889142021536827,,,,,,
3,769,0.007501382380723953,,,,,,
3,779,0.009647069498896599,,,,,,
3,789,0.01991761475801468,,,,,,
3,799,0.012105089612305164,,,,,,
3,809,0.006745647639036179,,,,,,
3,819,0.019510412588715553,,,,,,
3,829,0.01320976484566927,,,,,,
3,839,0.005484355613589287,,,,,,
3,849,0.014551232568919659,,,,,,
3,859,0.027126986533403397,,,,,,
3,869,0.005122313741594553,,,,,,
3,879,0.0011761579662561417,,,,,,
3,889,0.011185973882675171,,,,,,
3,899,0.013269593939185143,,,,,,
3,909,0.010633024387061596,,,,,,
3,919,0.008472714573144913,,,,,,
3,929,0.017075372859835625,,,,,,
3,939,0.025447716936469078,,,,,,
3,943,,0.6944293975830078,0.9245695471763611,0.6361904740333557,0.666754424571991,0.09183549135923386,
4,949,0.0072986953891813755,,,,,,
4,959,0.0061826384626328945,,,,,,
4,969,0.0036811360623687506,,,,,,
4,979,0.004729477223008871,,,,,,
4,989,0.0014416660415008664,,,,,,
4,999,0.0015758732333779335,,,,,,
4,1009,0.0049604796804487705,,,,,,
4,1019,0.001588007085956633,,,,,,
4,1029,0.00229835556820035,,,,,,
4,1039,0.014177918434143066,,,,,,
4,1049,0.003316965652629733,,,,,,
4,1059,0.008421868085861206,,,,,,
4,1069,0.001230932422913611,,,,,,
4,1079,0.010197843424975872,,,,,,
4,1089,0.0033021243289113045,,,,,,
4,1099,0.0022073653526604176,,,,,,
4,1109,0.009252947755157948,,,,,,
4,1119,0.02215019427239895,,,,,,
4,1129,0.0036217058077454567,,,,,,
4,1139,0.011589518748223782,,,,,,
4,1149,0.0030841128900647163,,,,,,
4,1159,0.0016205266583710909,,,,,,
4,1169,0.001313401386141777,,,,,,
4,1179,0.00017785037925932556,,,,,,
4,1179,,0.7037002444267273,0.9267316460609436,0.6495237946510315,0.6785736083984375,0.09117600321769714,
5,1180,,,,,,,0.09117600321769714
